label,exp,problema,obj,wape,corr,mu_min,mu_max,f_min,f_max
BBOB_F1,off,BBOB_F1,0,0.06815041316940498,0.9650728357057932,4.927934646606445,274.175537109375,11.7104395000324,306.4568847955735
BBOB_F1,off,BBOB_F1,1,0.06593291886991585,0.9663634911876027,7.233874320983887,260.7861022949219,13.893290014977344,306.7031376047071
BBOB_F17,off,BBOB_F17,0,0.1772479331396831,0.9636046248018433,-6094316.5,80972024.0,42790.350406993566,77612566.26445545
BBOB_F17,off,BBOB_F17,1,0.9999956659537776,0.008148985010961458,5.556260514925046e-40,6.21132755279541,3.9443131913733183,4057.614795059684
BBOB_F22,off,BBOB_F22,0,0.13095219319352214,0.9532603357574942,-171353.453125,2405225.0,96.25394802238294,3056673.876379221
BBOB_F22,off,BBOB_F22,1,0.045659573575560095,0.9515212135554658,793.6453247070312,3442.728759765625,573.8273807651971,3703.486741069855
BBOB_F37,off,BBOB_F37,0,0.05846988496805457,0.9373961402906166,785.7272338867188,3514.610107421875,539.4039240624936,4080.4874398681127
BBOB_F37,off,BBOB_F37,1,0.3459923494828849,0.786412697734944,-372.7801818847656,6118.11279296875,115.11127025807971,17129.738145474174
BBOB_F49,off,BBOB_F49,0,0.3190702661266296,0.7693961567007988,-500.4633483886719,11240.5517578125,125.8576342354904,22351.583398704202
BBOB_F49,off,BBOB_F49,1,0.08569560266150265,0.25134514974239464,-4.399407386779785,103.66017150878906,18.071411226917274,86.48049390230561
BBOB_F5,off,BBOB_F5,0,0.0637794744068761,0.9690374074283957,-3.7661330699920654,240.46707153320312,4.28091515182762,291.0874455282069
BBOB_F5,off,BBOB_F5,1,0.05555800572293773,0.927931404312518,727.4774780273438,3211.907470703125,493.7633001379723,3747.1318719990268
BBOB_F55,off,BBOB_F55,0,0.07725674111833734,0.2837190201755816,34.570465087890625,105.14765167236328,11.746767103956262,86.5148713062384
BBOB_F55,off,BBOB_F55,1,0.07309811396372976,0.19174202732137963,43.46137237548828,106.75214385986328,15.977962376013485,86.49980551176326
DTLZ1,off,DTLZ1,0,0.9999999999999994,-0.005547775324167733,0.0,6.465309954073462e-10,0.0007867178773757698,425.9462845886335
DTLZ1,off,DTLZ1,1,0.35789823923228614,0.8189904185157356,-23.98173713684082,311.171142578125,0.001271083578702773,442.47080664271755
DTLZ1,off,DTLZ1,2,0.9999999999999957,0.014551256224854174,0.0,1.1704040403515137e-08,0.000462445156499098,481.0793737905896
DTLZ2,off,DTLZ2,0,1.0,,0.0,0.0,3.836977908068911e-06,2.57959020506767
DTLZ2,off,DTLZ2,1,0.99999962472758,0.003838424476209991,1.3560449317179114e-37,0.0017556162783876061,1.90431944785322e-05,2.5578628104646874
DTLZ2,off,DTLZ2,2,1.0,,0.0,0.0,0.0001063285097157721,2.7334428509939714
DTLZ3,off,DTLZ3,0,1.0,,0.0,0.0,0.01417123847804623,1749.5823835567157
DTLZ3,off,DTLZ3,1,0.9999993292520662,0.009545249263790249,1.224529707724713e-37,2.084369659423828,0.003196656139419432,1675.7600204134487
DTLZ3,off,DTLZ3,2,0.2807585747320194,0.7412360742765689,-174.58555603027344,1623.7130126953125,0.04138780130976943,1822.2453809445622
DTLZ4,off,DTLZ4,0,1.0,,0.0,0.0,0.0032817411496238505,2.806484473879175
DTLZ4,off,DTLZ4,1,2.059249749943517,0.1275966390926729,-0.12453114986419678,0.9370982050895691,0.0,2.362421743479946
DTLZ4,off,DTLZ4,2,1.0,,0.0,0.0,0.0,2.306785116586957
DTLZ7,off,DTLZ7,0,1.1150353039821345e-05,0.9999999997083637,4.779547452926636e-05,0.9999865293502808,2.0641833543777466e-05,0.9999881833791733
DTLZ7,off,DTLZ7,1,1.039864769000964e-05,0.9999999997363459,3.152107819914818e-05,1.0000007152557373,4.0893442928791046e-05,0.9999884851276875
DTLZ7,off,DTLZ7,2,0.026713832510546973,0.948920633787776,10.579143524169922,26.079565048217773,10.150388241972415,26.398425073427507
MMF1,off,MMF1,0,0.0711994588853909,0.9827712791517369,-0.008243698626756668,1.0745933055877686,3.353878855705261e-05,0.9999641738831997
MMF1,off,MMF1,1,0.9556092387607243,0.21960370817267896,0.0,6.764087200164795,0.0015044268884807396,8.616371937884661
MMF11_L,off,MMF11_L,0,0.0028597806666199915,0.9998411223510674,0.09903941303491592,1.098846673965454,0.10003116205334664,1.0999391036108137
MMF11_L,off,MMF11_L,1,0.45767913143039324,0.69063869664043,0.031055597588419914,18.764772415161133,0.9519370848651566,19.952442631603038
MMF16_20,off,MMF16_20,0,0.15528711291831396,0.9611597164203357,-0.4612082540988922,3.4691896438598633,1.2499579564734536e-06,2.9960476379098124
MMF16_20,off,MMF16_20,1,0.1581587798989712,0.9601987276433953,-0.4840308427810669,3.476846694946289,5.75824836223127e-05,2.994481549561811
MMF16_20,off,MMF16_20,2,0.12682683618252422,0.9448455366111761,-0.44310829043388367,3.480067014694214,6.847906862721302e-06,2.9999346982543798
MMF4,off,MMF4,0,0.20082153329530555,0.8430671636710156,0.0004849068645853549,0.9924765825271606,7.265619933605194e-05,0.9999697953462601
MMF4,off,MMF4,1,0.23269501725994196,0.7705423606926037,-0.1234031617641449,2.8198986053466797,0.00036326503706894333,2.9676453689161715
WFG1,off,WFG1,0,0.010566935079795631,0.6456939328606796,2.68198561668396,3.1024367809295654,2.5654674923617873,2.9904039293076257
WFG1,off,WFG1,1,0.03206620449890107,0.19824833923545063,0.8091111779212952,1.2883789539337158,0.9579702788089035,1.610474394322324
