problema,geracao,fe,n_pop,n_front1,tempo_geracao_s
MMF11_L,2,36,20,8,0.12467
MMF11_L,3,52,20,7,0.035683
MMF16_20,1,219,15,15,0.253398
MMF16_20,2,233,15,11,0.121703
MMF16_20,3,248,15,12,0.027636
MMF16_20,4,262,15,15,0.021468
MMF16_20,5,275,15,15,0.035019
MMF16_20,6,289,15,15,0.033302
MMF16_20,7,301,15,14,0.021069
MMF16_20,8,316,15,15,0.015787
MMF16_20,9,328,15,15,0.017675
MMF16_20,10,342,15,14,0.016005
MMF16_20,11,355,15,14,0.016644
MMF16_20,12,369,15,14,0.015706
MMF16_20,13,384,15,14,0.015481
MMF16_20,14,397,15,15,0.016505
MMF16_20,15,411,15,13,0.019898
MMF16_20,16,425,15,14,0.017613
MMF16_20,17,440,15,14,0.015286
MMF16_20,18,454,15,15,0.018169
MMF16_20,19,469,15,15,0.017
MMF16_20,20,484,15,15,0.016291
MMF16_20,21,499,15,15,0.015656
MMF16_20,22,514,15,14,0.015431
MMF16_20,23,529,15,14,0.015092
MMF16_20,24,544,15,15,0.015088
MMF16_20,25,559,15,15,0.015111
MMF16_20,26,574,15,14,0.015177
MMF16_20,27,587,15,14,0.020727
MMF16_20,28,601,15,14,0.019409
MMF16_20,29,614,15,14,0.015909
MMF4,1,21,20,9,0.237595
MMF4,2,35,20,10,0.125907
MMF4,3,53,20,15,0.02943
WFG1,1,241,20,18,0.240434
WFG1,2,261,20,14,0.150913
WFG1,3,276,20,17,0.035752
WFG1,4,288,20,16,0.027452
WFG1,5,302,20,15,0.042224
WFG1,6,317,20,16,0.045301
WFG1,7,332,20,16,0.02408
WFG1,8,349,20,18,0.022948
WFG1,9,366,20,20,0.02283
WFG1,10,378,20,20,0.023522
WFG1,11,393,20,17,0.022896
WFG1,12,407,20,17,0.027916
WFG1,13,423,20,18,0.022957
WFG1,14,440,20,14,0.022155
WFG1,15,453,20,14,0.02244
WFG1,16,470,20,14,0.021871
WFG1,17,485,20,14,0.022204
WFG1,18,502,20,13,0.022323
WFG1,19,516,20,13,0.02262
WFG1,20,526,20,18,0.024055
WFG1,21,541,20,18,0.028848
WFG1,22,555,20,18,0.033561
WFG1,23,568,20,19,0.02288
WFG1,24,582,20,19,0.02269
WFG1,25,594,20,18,0.023725
WFG1,26,608,20,18,0.022459
WFG1,27,623,20,18,0.022634
WFG1,28,640,20,16,0.022605
WFG1,29,653,20,16,0.024771
WFG1,30,669,20,16,0.023875
WFG1,31,679,20,16,0.022583
WFG2,1,241,20,8,0.239079
WFG2,2,261,20,6,0.119024
WFG2,3,278,20,7,0.037311
WFG2,4,293,20,6,0.028837
WFG2,5,307,20,9,0.055732
WFG2,6,324,20,8,0.042197
WFG2,7,339,20,7,0.026208
WFG2,8,357,20,7,0.024377
WFG2,9,374,20,7,0.024303
WFG2,10,389,20,6,0.024305
WFG2,11,406,20,6,0.023864
WFG2,12,421,20,6,0.030111
WFG2,13,437,20,6,0.023874
WFG2,14,455,20,6,0.028559
WFG2,15,470,20,6,0.023967
WFG2,16,490,20,5,0.023593
WFG2,17,507,20,5,0.025704
WFG2,18,525,20,5,0.026975
WFG2,19,544,20,5,0.025397
WFG2,20,556,20,5,0.034949
WFG2,21,573,20,5,0.02823
WFG2,22,590,20,5,0.025524
WFG2,23,607,20,5,0.026695
WFG2,24,623,20,5,0.028884
WFG2,25,639,20,5,0.024494
WFG2,26,656,20,5,0.024866
WFG2,27,674,20,5,0.02698
WFG4,1,241,20,20,0.248
WFG4,2,260,20,14,0.138292
WFG4,3,278,20,17,0.03949
WFG4,4,293,20,15,0.028799
WFG4,5,307,20,16,0.039753
WFG4,6,323,20,16,0.043815
WFG4,7,336,20,16,0.026586
WFG4,8,354,20,16,0.022412
WFG4,9,372,20,16,0.024218
WFG4,10,387,20,17,0.022738
WFG4,11,405,20,15,0.023174
WFG4,12,422,20,14,0.027235
WFG4,13,438,20,14,0.024095
WFG4,14,453,20,14,0.024638
WFG4,15,468,20,14,0.023737
WFG4,16,486,20,14,0.022822
WFG4,17,502,20,12,0.02182
WFG4,18,522,20,12,0.023833
WFG4,19,538,20,12,0.022297
WFG4,20,552,20,12,0.032735
WFG4,21,571,20,12,0.020913
WFG4,22,587,20,11,0.022248
WFG4,23,606,20,11,0.02325
WFG4,24,621,20,11,0.024627
WFG4,25,635,20,11,0.022697
WFG4,26,651,20,10,0.021855
WFG4,27,669,20,10,0.02183
WFG5,1,241,20,20,0.245771
WFG5,2,260,20,15,0.118664
WFG5,3,274,20,14,0.033359
WFG5,4,289,20,16,0.026579
WFG5,5,302,20,14,0.03961
WFG5,6,319,20,14,0.041719
WFG5,7,336,20,14,0.02487
WFG5,8,354,20,14,0.020944
WFG5,9,371,20,14,0.021385
WFG5,10,387,20,14,0.021196
WFG5,11,404,20,15,0.021646
WFG5,12,421,20,15,0.021853
WFG5,13,439,20,18,0.021175
WFG5,14,457,20,17,0.027001
WFG5,15,474,20,17,0.028084
WFG5,16,493,20,17,0.020767
WFG5,17,510,20,17,0.022013
WFG5,18,529,20,16,0.020656
WFG5,19,546,20,18,0.021243
