problema,D,M,maxfe,n_doe,n_ger,N_nom,N_ef,N_lat,lat_n,lat_soma_err,u1_len,u1_denso,u1_fefinal,termino,status,n_init,n_init_ok,doe_hash_ok,dX_max,dupX_total,dupX_doe,sur_vazia,sur_cols,fit_series_vazia,sonda_status,sonda_blocos,tim_rows_ok,tim_fit_null,tim_busca_null,tim_sonda_null,dt_ev_pq,soma_tger,t_total,t_aval,frac_tger,nacc_unicos,nacc_min,nacc_max,ch_jsonl,ch_man,ch_foot,hs_jsonl,ch_seed_bloco,seed_hits_doe,ch_off,alvo_doe,alvo_infill,sid_repetidos,max_hits_sid,tentativas,novos,ledger,pop_rows_ok,taxa_clone,uniq_g1,uniq_med,uniq_min,uniq_gf,maxmult,frac_doe_final,viol_ideal,npop_ok,nf1_g1,nf1_fim,nf1_max,fe_g1,dfe_min,dfe_max,dfe_med,seed_n_doe,seed_f1,seed_exc,seed_nfr,cp_init,algo_version,n_evs,n_guards
BBOB_F1,10,2,309,109,12,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,109,True,True,0.0,2,0,True,29,True,nao_se_aplica,0,True,True,True,True,4.282951354683817e-09,0.7549440022557974,4.443082,0.09356600000000005,0.1699144877937876,0,,,55,55,55,1,21,True,35,1,34,10,4,240,200,4,True,0.14583333333333334,1.0,0.8,0.7,0.8,2,0.0,7,True,7,3,7,109,15,20,17.0,109,7,False,17,True,piso-MOEAD-PlatEMO4.15-type1-PBI,72,56
BBOB_F17,10,2,309,109,14,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,109,True,True,0.0,1,0,True,29,True,nao_se_aplica,0,True,True,True,True,8.836746223650493e-09,0.8800810128450394,4.813238,0.15306500000000006,0.18284593715187974,0,,,95,95,95,1,21,True,75,1,74,16,6,280,200,4,True,0.26785714285714285,1.0,0.6,0.55,0.55,2,0.0,6,True,6,8,11,109,10,19,15.0,109,6,False,14,True,piso-MOEAD-PlatEMO4.15-type1-PBI,114,96
BBOB_F22,10,2,309,109,14,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,109,True,True,0.0,3,0,True,29,True,nao_se_aplica,0,True,True,True,True,1.0108947734455143e-08,0.8646259848028421,4.641169,0.128314,0.18629487200376504,0,,,84,84,84,1,21,True,64,3,61,16,5,280,200,15,True,0.22857142857142856,1.0,0.6,0.55,0.55,2,0.0,6,True,5,8,11,109,10,19,15.0,109,5,False,20,True,piso-MOEAD-PlatEMO4.15-type1-PBI,103,85
BBOB_F37,10,2,309,109,13,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,109,True,True,0.0,1,0,True,29,True,nao_se_aplica,0,True,True,True,True,1.998424536964194e-09,0.6403120029717684,4.617853,0.128517,0.13866010957294836,0,,,62,62,62,1,21,True,42,1,41,7,4,260,200,17,True,0.16153846153846155,1.0,0.75,0.65,0.75,2,0.0,4,True,5,6,9,109,15,20,16.0,109,5,False,17,True,piso-MOEAD-PlatEMO4.15-type1-PBI,80,63
BBOB_F49,10,2,309,109,14,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,109,True,True,0.0,0,0,True,29,True,nao_se_aplica,0,True,True,True,True,5.825042725948748e-09,0.9612460099160671,5.21697,0.58248,0.18425369705328326,0,,,90,90,90,1,21,True,70,1,69,14,7,280,200,9,True,0.25,1.0,0.6,0.55,0.6,2,0.0,5,True,5,10,10,109,12,19,15.0,109,5,False,20,True,piso-MOEAD-PlatEMO4.15-type1-PBI,109,91
BBOB_F5,10,2,309,109,14,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,109,True,True,0.0,0,0,True,29,True,nao_se_aplica,0,True,True,True,True,4.298210148911963e-09,0.7574950028210878,4.972182,0.128612,0.15234659608620277,0,,,90,90,90,1,21,True,70,1,69,16,5,280,200,9,True,0.25,1.0,0.55,0.55,0.55,2,0.0,7,True,7,8,8,109,12,20,15.0,109,7,False,22,True,piso-MOEAD-PlatEMO4.15-type1-PBI,109,91
BBOB_F55,10,2,309,109,13,20,20,20,20,9.999999999177334e-07,True,True,True,normal,ok,109,True,True,0.0,1,0,True,29,True,nao_se_aplica,0,True,True,True,True,7.306098948056672e-09,1.3302799947559834,5.473182,1.1418410000000005,0.2430542223437816,0,,,72,72,72,1,21,True,52,1,51,12,4,260,200,7,True,0.2,1.0,0.7,0.6,0.75,2,0.0,4,True,4,4,6,109,12,20,16.5,109,4,False,17,True,piso-MOEAD-PlatEMO4.15-type1-PBI,90,73
DTLZ1,7,3,216,76,11,20,15,15,15,2.0000000000575113e-06,True,True,True,normal,ok,76,True,True,0.0,1,0,True,28,True,nao_se_aplica,0,True,True,True,True,3.770828260751813e-09,0.5569940032437444,4.304676,0.06758600000000002,0.1293927819988646,0,,,28,28,28,1,16,True,13,1,12,3,3,165,140,11,True,0.07878787878787878,1.0,0.8,0.7333333333333333,0.8,2,0.0,6,True,15,11,15,76,12,15,14.0,76,17,False,6,True,piso-MOEAD-PlatEMO4.15-type1-PBI,44,29
DTLZ2,12,3,371,131,17,20,15,15,15,2.0000000000575113e-06,True,True,True,normal,ok,131,True,True,0.0,1,0,True,33,True,nao_se_aplica,0,True,True,True,True,3.684997557096281e-09,0.6338129984214902,4.289777,0.1135470000000003,0.14774963789993983,0,,,28,28,28,1,16,True,13,1,12,1,4,255,240,1,True,0.050980392156862744,1.0,0.8666666666666667,0.8,0.9333333333333333,2,0.0,7,True,15,14,15,131,12,15,15.0,131,40,True,6,True,piso-MOEAD-PlatEMO4.15-type1-PBI,50,29
DTLZ3,12,3,371,131,18,20,15,15,15,2.0000000000575113e-06,True,True,True,normal,ok,131,True,True,0.0,5,0,True,33,True,nao_se_aplica,0,True,True,True,True,1.0763168356575648e-08,0.6672580130398273,5.119199,0.11046900000000004,0.13034422241444948,0,,,42,42,42,1,16,True,27,1,26,5,4,270,240,2,True,0.1,1.0,0.7333333333333333,0.6666666666666666,0.8666666666666667,2,0.0,8,True,15,9,15,131,11,15,14.0,131,19,False,7,True,piso-MOEAD-PlatEMO4.15-type1-PBI,65,43
