problema,geracao,subst,co_subst,N,pares_id_antes,pares_id_depois,distintos_antes,distintos_depois,doe_antes,doe_depois
DTLZ7,15,10,3,15,7,5,10,12,0,0
DTLZ7,16,9,5,15,5,8,12,10,0,0
DTLZ7,17,6,2,15,8,6,10,11,0,0
DTLZ7,18,10,5,15,6,6,11,11,0,0
DTLZ7,19,11,4,15,6,5,11,11,0,0
DTLZ7,20,8,2,15,5,3,11,12,0,0
DTLZ7,21,8,4,15,3,5,12,12,0,0
DTLZ7,22,12,4,15,5,6,12,11,0,0
DTLZ7,23,5,1,15,6,5,11,11,0,0
DTLZ7,24,8,5,15,5,6,11,11,0,0
DTLZ7,25,7,4,15,6,6,11,12,0,0
DTLZ7,26,9,5,15,6,5,12,12,0,0
DTLZ7,27,7,2,15,5,5,12,12,0,0
DTLZ7,28,10,6,15,5,6,12,12,0,0
DTLZ7,29,14,6,15,6,6,12,11,0,0
DTLZ7,30,7,3,15,6,6,11,11,0,0
DTLZ7,31,10,3,15,6,5,11,12,0,0
DTLZ7,32,9,2,15,5,3,12,13,0,0
MMF1,1,14,9,20,0,13,20,13,20,8
MMF1,2,7,3,20,13,14,13,12,8,6
MMF11_L,1,15,8,20,0,14,20,13,20,8
MMF11_L,2,13,10,20,14,14,13,13,8,1
MMF16_20,1,10,4,15,0,4,15,12,15,5
MMF16_20,2,13,4,15,4,4,12,12,5,1
MMF16_20,3,12,5,15,4,6,12,11,1,1
MMF16_20,4,13,6,15,6,6,11,11,1,1
MMF16_20,5,10,7,15,6,7,11,11,1,1
MMF16_20,6,10,3,15,7,4,11,11,1,0
MMF16_20,7,11,5,15,4,5,11,11,0,0
MMF16_20,8,7,3,15,5,5,11,11,0,0
MMF16_20,9,9,4,15,5,5,11,11,0,0
MMF16_20,10,10,4,15,5,5,11,11,0,0
MMF16_20,11,12,5,15,5,5,11,11,0,0
MMF16_20,12,12,4,15,5,4,11,12,0,0
MMF16_20,13,9,2,15,4,3,12,12,0,0
MMF16_20,14,8,3,15,3,4,12,12,0,0
MMF16_20,15,12,3,15,4,3,12,12,0,0
MMF16_20,16,10,2,15,3,2,12,13,0,0
MMF16_20,17,9,2,15,2,2,13,13,0,0
MMF16_20,18,10,2,15,2,2,13,13,0,0
MMF16_20,19,10,2,15,2,2,13,13,0,0
MMF16_20,20,10,2,15,2,2,13,13,0,0
MMF16_20,21,11,1,15,2,1,13,14,0,0
MMF16_20,22,6,1,15,1,1,14,14,0,0
MMF16_20,23,9,2,15,1,2,14,13,0,0
MMF16_20,24,6,1,15,2,1,13,14,0,0
MMF16_20,25,9,2,15,1,2,14,14,0,0
MMF16_20,26,6,1,15,2,3,14,13,0,0
MMF16_20,27,8,2,15,3,3,13,13,0,0
MMF16_20,28,4,2,15,3,3,13,13,0,0
MMF4,1,11,5,20,0,9,20,15,20,11
MMF4,2,14,10,20,9,12,15,14,11,4
WFG1,1,13,8,20,0,8,20,16,20,7
WFG1,2,10,6,20,8,12,16,14,7,2
WFG1,3,11,8,20,12,14,14,13,2,0
WFG1,4,10,5,20,14,13,13,13,0,0
WFG1,5,6,2,20,13,13,13,13,0,0
WFG1,6,10,6,20,13,13,13,13,0,0
WFG1,7,14,11,20,13,15,13,12,0,0
WFG1,8,14,12,20,15,17,12,11,0,0
WFG1,9,10,8,20,17,17,11,11,0,0
WFG1,10,12,8,20,17,14,11,13,0,0
WFG1,11,6,2,20,14,14,13,13,0,0
WFG1,12,10,8,20,14,14,13,13,0,0
WFG1,13,11,8,20,14,14,13,13,0,0
WFG1,14,12,8,20,14,14,13,13,0,0
WFG1,15,9,6,20,14,14,13,13,0,0
WFG1,16,4,2,20,14,14,13,13,0,0
WFG1,17,14,10,20,14,14,13,13,0,0
WFG1,18,7,4,20,14,14,13,13,0,0
WFG1,19,7,3,20,14,13,13,13,0,0
WFG1,20,14,10,20,13,14,13,13,0,0
WFG1,21,9,6,20,14,14,13,13,0,0
WFG1,22,8,6,20,14,15,13,12,0,0
WFG1,23,10,8,20,15,16,12,12,0,0
WFG1,24,6,4,20,16,14,12,13,0,0
WFG1,25,9,6,20,14,14,13,13,0,0
WFG1,26,15,12,20,14,14,13,13,0,0
WFG1,27,14,12,20,14,14,13,13,0,0
WFG1,28,4,2,20,14,14,13,13,0,0
WFG1,29,6,6,20,14,14,13,13,0,0
WFG1,30,3,2,20,14,14,13,13,0,0
WFG2,1,10,6,20,0,6,20,17,20,10
WFG2,2,11,6,20,6,8,17,16,10,5
WFG2,3,10,6,20,8,12,16,14,5,1
WFG2,4,16,11,20,12,13,14,13,1,0
WFG2,5,11,6,20,13,12,13,13,0,0
WFG2,6,7,5,20,12,13,13,13,0,0
WFG2,7,11,6,20,13,12,13,14,0,0
WFG2,8,9,7,20,12,13,14,13,0,0
WFG2,9,12,7,20,13,11,13,14,0,0
WFG2,10,11,6,20,11,11,14,14,0,0
WFG2,11,9,6,20,11,11,14,14,0,0
WFG2,12,12,8,20,11,10,14,15,0,0
WFG2,13,6,4,20,10,10,15,15,0,0
WFG2,14,5,4,20,10,10,15,15,0,0
WFG2,15,9,6,20,10,10,15,15,0,0
WFG2,16,11,4,20,10,10,15,14,0,0
WFG2,17,11,7,20,10,10,14,14,0,0
WFG2,18,10,5,20,10,9,14,15,0,0
WFG2,19,5,2,20,9,10,15,15,0,0
WFG2,20,10,6,20,10,10,15,15,0,0
WFG2,21,8,5,20,10,9,15,15,0,0
WFG2,22,7,4,20,9,10,15,15,0,0
WFG2,23,11,7,20,10,11,15,14,0,0
WFG2,24,7,1,20,11,9,14,15,0,0
WFG2,25,11,9,20,9,11,15,14,0,0
WFG2,26,10,8,20,11,10,14,15,0,0
WFG4,1,11,5,20,0,5,20,17,20,9
WFG4,2,10,6,20,5,8,17,16,9,5
WFG4,3,8,4,20,8,10,16,15,5,3
WFG4,4,7,6,20,10,12,15,14,3,2
WFG4,5,10,5,20,12,11,14,14,2,2
WFG4,6,11,10,20,11,14,14,13,2,1
WFG4,7,7,4,20,14,12,13,14,1,1
WFG4,8,11,10,20,12,12,14,14,1,1
WFG4,9,12,8,20,12,12,14,14,1,0
WFG4,10,10,8,20,12,12,14,14,0,0
WFG4,11,7,3,20,12,11,14,14,0,0
WFG4,12,4,4,20,11,11,14,14,0,0
WFG4,13,3,2,20,11,12,14,14,0,0
WFG4,14,10,6,20,12,10,14,15,0,0
WFG4,15,4,2,20,10,10,15,15,0,0
WFG4,16,12,8,20,10,10,15,15,0,0
WFG4,17,6,4,20,10,10,15,15,0,0
WFG4,18,10,6,20,10,10,15,15,0,0
WFG4,19,8,3,20,10,9,15,15,0,0
WFG4,20,8,6,20,9,9,15,15,0,0
WFG4,21,8,5,20,9,9,15,15,0,0
WFG4,22,4,1,20,9,9,15,15,0,0
WFG4,23,4,1,20,9,9,15,15,0,0
WFG4,24,7,4,20,9,9,15,15,0,0
WFG4,25,3,0,20,9,7,15,16,0,0
WFG4,26,9,6,20,7,8,16,16,0,0
WFG5,1,14,10,20,0,10,20,15,20,6
WFG5,2,9,4,20,10,8,15,16,6,5
WFG5,3,8,6,20,8,12,16,14,5,3
WFG5,4,10,4,20,12,10,14,15,3,1
WFG5,5,9,6,20,10,10,15,15,1,1
WFG5,6,10,6,20,10,10,15,15,1,1
WFG5,7,11,6,20,10,10,15,15,1,1
WFG5,8,10,6,20,10,10,15,15,1,1
WFG5,9,8,4,20,10,8,15,16,1,1
WFG5,10,9,5,20,8,7,16,16,1,0
WFG5,11,5,2,20,7,7,16,16,0,0
WFG5,12,10,8,20,7,8,16,16,0,0
WFG5,13,8,4,20,8,8,16,16,0,0
WFG5,14,10,6,20,8,8,16,16,0,0
WFG5,15,6,4,20,8,8,16,16,0,0
WFG5,16,8,4,20,8,8,16,16,0,0
WFG5,17,10,6,20,8,8,16,16,0,0
WFG5,18,6,4,20,8,8,16,16,0,0
WFG5,19,7,2,20,8,8,16,16,0,0
WFG5,20,8,4,20,8,8,16,16,0,0
WFG5,21,10,3,20,8,7,16,16,0,0
WFG5,22,9,6,20,7,8,16,16,0,0
WFG5,23,7,3,20,8,7,16,16,0,0
WFG5,24,9,2,20,7,5,16,17,0,0
WFG5,25,6,0,20,5,3,17,18,0,0
WFG9,1,14,8,20,0,8,20,16,20,6
WFG9,2,11,4,20,8,8,16,16,6,3
WFG9,3,10,4,20,8,6,16,17,3,2
WFG9,4,12,6,20,6,8,17,16,2,1
WFG9,5,8,3,20,8,5,16,17,1,1
WFG9,6,9,4,20,5,6,17,17,1,1
WFG9,7,6,2,20,6,6,17,17,1,1
WFG9,8,4,0,20,6,4,17,18,1,0
WFG9,9,5,2,20,4,4,18,18,0,0
WFG9,10,6,4,20,4,6,18,17,0,0
WFG9,11,8,2,20,6,6,17,17,0,0
WFG9,12,8,4,20,6,8,17,16,0,0
WFG9,13,7,0,20,8,6,16,17,0,0
WFG9,14,6,2,20,6,6,17,17,0,0
WFG9,15,9,3,20,6,5,17,17,0,0
WFG9,16,5,0,20,5,4,17,18,0,0
WFG9,17,7,4,20,4,4,18,18,0,0
WFG9,18,3,0,20,4,4,18,18,0,0
WFG9,19,4,2,20,4,4,18,18,0,0
WFG9,20,5,0,20,4,2,18,19,0,0
WFG9,21,1,0,20,2,2,19,19,0,0
WFG9,22,3,0,20,2,2,19,19,0,0
WFG9,23,3,0,20,2,2,19,19,0,0
WFG9,24,3,0,20,2,2,19,19,0,0
ZDT1,1,16,9,20,0,9,20,15,20,4
ZDT1,2,14,7,20,9,9,15,15,4,4
ZDT1,3,9,6,20,9,11,15,14,4,3
ZDT1,4,14,8,20,11,12,14,14,3,1
ZDT1,5,13,7,20,12,13,14,13,1,0
ZDT1,6,6,2,20,13,13,13,13,0,0
ZDT1,7,6,4,20,13,13,13,13,0,0
ZDT1,8,6,3,20,13,13,13,13,0,0
ZDT1,9,7,6,20,13,13,13,13,0,0
ZDT1,10,7,6,20,13,14,13,13,0,0
ZDT1,11,7,6,20,14,14,13,13,0,0
ZDT1,12,5,2,20,14,14,13,13,0,0
ZDT1,13,10,6,20,14,13,13,13,0,0
ZDT1,14,7,4,20,13,13,13,13,0,0
ZDT1,15,8,6,20,13,12,13,14,0,0
ZDT1,16,5,4,20,12,12,14,14,0,0
ZDT1,17,5,2,20,12,12,14,14,0,0
ZDT1,18,10,6,20,12,12,14,14,0,0
ZDT1,19,8,4,20,12,12,14,14,0,0
ZDT1,20,9,5,20,12,11,14,14,0,0
ZDT1,21,12,8,20,11,12,14,14,0,0
ZDT1,22,13,8,20,12,12,14,14,0,0
ZDT1,23,9,5,20,12,11,14,14,0,0
ZDT1,24,10,6,20,11,14,14,13,0,0
ZDT1,25,10,6,20,14,12,13,14,0,0
ZDT1,26,7,4,20,12,12,14,14,0,0
ZDT1,27,9,7,20,12,11,14,14,0,0
ZDT1,28,9,8,20,11,12,14,14,0,0
ZDT1,29,11,10,20,12,12,14,14,0,0
ZDT1,30,6,4,20,12,12,14,14,0,0
ZDT1,31,8,7,20,12,11,14,14,0,0
ZDT1,32,10,8,20,11,12,14,14,0,0
ZDT1,33,9,6,20,12,12,14,14,0,0
ZDT1,34,9,7,20,12,11,14,14,0,0
ZDT1,35,5,2,20,11,11,14,14,0,0
ZDT1,36,8,4,20,11,11,14,14,0,0
ZDT1,37,11,9,20,11,11,14,14,0,0
ZDT3,1,14,12,20,0,12,20,14,20,6
ZDT3,2,16,12,20,12,12,14,14,6,4
ZDT3,3,12,8,20,12,14,14,13,4,2
ZDT3,4,10,8,20,14,14,13,13,2,2
ZDT3,5,9,6,20,14,14,13,13,2,1
ZDT3,6,6,4,20,14,14,13,13,1,1
ZDT3,7,10,6,20,14,12,13,14,1,1
ZDT3,8,3,2,20,12,12,14,14,1,1
ZDT3,9,5,4,20,12,14,14,13,1,0
ZDT3,10,10,6,20,14,14,13,13,0,0
ZDT3,11,11,8,20,14,14,13,13,0,0
ZDT3,12,11,9,20,14,17,13,11,0,0
ZDT3,13,12,9,20,17,13,11,13,0,0
ZDT3,14,9,6,20,13,13,13,13,0,0
ZDT3,15,9,6,20,13,10,13,15,0,0
ZDT3,16,3,0,20,10,10,15,15,0,0
ZDT3,17,4,2,20,10,10,15,15,0,0
ZDT3,18,12,8,20,10,10,15,15,0,0
ZDT3,19,10,6,20,10,10,15,15,0,0
ZDT3,20,12,5,20,10,11,15,14,0,0
ZDT3,21,13,8,20,11,12,14,14,0,0
ZDT3,22,12,8,20,12,12,14,14,0,0
ZDT3,23,14,9,20,12,11,14,14,0,0
ZDT3,24,10,4,20,11,12,14,14,0,0
ZDT3,25,9,6,20,12,12,14,14,0,0
ZDT3,26,7,4,20,12,12,14,14,0,0
ZDT3,27,14,9,20,12,11,14,14,0,0
ZDT3,28,9,6,20,11,12,14,14,0,0
ZDT3,29,10,6,20,12,12,14,14,0,0
ZDT3,30,7,4,20,12,12,14,14,0,0
ZDT3,31,12,9,20,12,11,14,14,0,0
ZDT3,32,8,6,20,11,10,14,15,0,0
ZDT3,33,6,2,20,10,10,15,15,0,0
ZDT3,34,9,5,20,10,9,15,15,0,0
ZDT3,35,5,0,20,9,9,15,15,0,0
ZDT3,36,11,4,20,9,9,15,15,0,0
ZDT3,37,16,7,20,9,7,15,16,0,0
ZDT4,1,12,8,20,0,8,20,16,20,8
ZDT4,2,11,8,20,8,10,16,15,8,4
ZDT4,3,11,7,20,10,15,15,12,4,1
ZDT4,4,10,8,20,15,15,12,12,1,1
ZDT4,5,12,12,20,15,18,12,11,1,0
ZDT4,6,6,4,20,18,18,11,11,0,0
ZDT4,7,9,8,20,18,18,11,11,0,0
ZDT4,8,8,8,20,18,18,11,11,0,0
ZDT4,9,3,2,20,18,18,11,11,0,0
ZDT4,10,3,2,20,18,18,11,11,0,0
ZDT4,11,17,15,20,18,17,11,11,0,0
ZDT4,12,5,4,20,17,18,11,11,0,0
ZDT4,13,4,1,20,18,17,11,11,0,0
ZDT6,1,16,12,20,0,12,20,14,20,4
ZDT6,2,15,12,20,12,14,14,13,4,2
ZDT6,3,11,9,20,14,17,13,11,2,0
ZDT6,4,15,14,20,17,18,11,11,0,0
ZDT6,5,14,11,20,18,17,11,11,0,0
ZDT6,6,3,2,20,17,17,11,11,0,0
ZDT6,7,9,8,20,17,17,11,11,0,0
ZDT6,8,12,10,20,17,17,11,11,0,0
ZDT6,9,9,7,20,17,17,11,11,0,0
ZDT6,10,9,7,20,17,15,11,12,0,0
ZDT6,11,12,10,20,15,15,12,12,0,0
ZDT6,12,10,7,20,15,15,12,12,0,0
ZDT6,13,10,6,20,15,11,12,14,0,0
