problema,geracao,subst,co_subst,N,pares_id_antes,pares_id_depois,distintos_antes,distintos_depois,doe_antes,doe_depois
BBOB_F1,1,12,7,20,0,7,20,16,20,8
BBOB_F1,2,15,11,20,7,11,16,14,8,3
BBOB_F1,3,10,4,20,11,8,14,16,3,2
BBOB_F1,4,10,2,20,8,8,16,16,2,0
BBOB_F1,5,8,6,20,8,8,16,16,0,0
BBOB_F1,6,6,4,20,8,12,16,14,0,0
BBOB_F1,7,11,8,20,12,10,14,15,0,0
BBOB_F1,8,10,8,20,10,10,15,15,0,0
BBOB_F1,9,10,7,20,10,11,15,14,0,0
BBOB_F1,10,11,4,20,11,8,14,16,0,0
BBOB_F1,11,11,8,20,8,8,16,16,0,0
BBOB_F17,1,18,14,20,0,14,20,13,20,2
BBOB_F17,2,14,12,20,14,18,13,11,2,0
BBOB_F17,3,10,8,20,18,18,11,11,0,0
BBOB_F17,4,9,8,20,18,16,11,12,0,0
BBOB_F17,5,11,10,20,16,18,12,11,0,0
BBOB_F17,6,11,7,20,18,15,11,12,0,0
BBOB_F17,7,10,6,20,15,14,12,13,0,0
BBOB_F17,8,10,10,20,14,16,13,12,0,0
BBOB_F17,9,8,7,20,16,15,12,12,0,0
BBOB_F17,10,14,12,20,15,16,12,12,0,0
BBOB_F17,11,11,10,20,16,16,12,12,0,0
BBOB_F17,12,12,9,20,16,17,12,11,0,0
BBOB_F17,13,10,8,20,17,17,11,11,0,0
BBOB_F22,1,16,9,20,0,9,20,15,20,4
BBOB_F22,2,9,4,20,9,11,15,14,4,3
BBOB_F22,3,15,12,20,11,16,14,12,3,3
BBOB_F22,4,6,4,20,16,16,12,12,3,3
BBOB_F22,5,13,10,20,16,14,12,13,3,1
BBOB_F22,6,9,8,20,14,14,13,13,1,1
BBOB_F22,7,12,10,20,14,16,13,12,1,0
BBOB_F22,8,14,10,20,16,16,12,11,0,0
BBOB_F22,9,16,13,20,16,17,11,11,0,0
BBOB_F22,10,13,10,20,17,16,11,12,0,0
BBOB_F22,11,11,8,20,16,16,12,12,0,0
BBOB_F22,12,8,7,20,16,17,12,11,0,0
BBOB_F22,13,8,8,20,17,18,11,11,0,0
BBOB_F37,1,10,4,20,0,4,20,18,20,10
BBOB_F37,2,15,9,20,4,9,18,15,10,5
BBOB_F37,3,9,8,20,9,13,15,13,5,2
BBOB_F37,4,14,12,20,13,14,13,13,2,1
BBOB_F37,5,13,7,20,14,11,13,14,1,0
BBOB_F37,6,6,3,20,11,9,14,15,0,0
BBOB_F37,7,11,6,20,9,11,15,14,0,0
BBOB_F37,8,10,2,20,11,8,14,16,0,0
BBOB_F37,9,9,4,20,8,8,16,16,0,0
BBOB_F37,10,5,3,20,8,9,16,15,0,0
BBOB_F37,11,8,4,20,9,9,15,15,0,0
BBOB_F37,12,9,5,20,9,9,15,15,0,0
BBOB_F49,1,16,12,20,0,12,20,14,20,4
BBOB_F49,2,13,11,20,12,17,14,11,4,1
BBOB_F49,3,7,6,20,17,18,11,11,1,1
BBOB_F49,4,8,6,20,18,16,11,12,1,0
BBOB_F49,5,12,12,20,16,18,12,11,0,0
BBOB_F49,6,6,6,20,18,18,11,11,0,0
BBOB_F49,7,5,4,20,18,18,11,11,0,0
BBOB_F49,8,8,6,20,18,16,11,12,0,0
BBOB_F49,9,2,2,20,16,16,12,12,0,0
BBOB_F49,10,3,2,20,16,16,12,12,0,0
BBOB_F49,11,5,3,20,16,15,12,12,0,0
BBOB_F49,12,6,4,20,15,16,12,12,0,0
BBOB_F49,13,0,0,20,16,16,12,12,0,0
BBOB_F5,1,14,6,20,0,6,20,16,20,6
BBOB_F5,2,16,12,20,6,14,16,13,6,2
BBOB_F5,3,15,14,20,14,18,13,11,2,0
BBOB_F5,4,14,12,20,18,18,11,11,0,0
BBOB_F5,5,18,16,20,18,18,11,11,0,0
BBOB_F5,6,10,7,20,18,17,11,11,0,0
BBOB_F5,7,14,12,20,17,17,11,11,0,0
BBOB_F5,8,13,12,20,17,17,11,11,0,0
BBOB_F5,9,8,8,20,17,18,11,11,0,0
BBOB_F5,10,8,6,20,18,16,11,12,0,0
BBOB_F5,11,5,4,20,16,18,12,11,0,0
BBOB_F5,12,10,8,20,18,18,11,11,0,0
BBOB_F5,13,11,9,20,18,17,11,11,0,0
BBOB_F55,1,8,4,20,0,4,20,18,20,12
BBOB_F55,2,12,8,20,4,10,18,15,12,6
BBOB_F55,3,13,11,20,10,13,15,13,6,4
BBOB_F55,4,16,11,20,13,13,13,13,4,2
BBOB_F55,5,7,6,20,13,15,13,12,2,2
BBOB_F55,6,10,7,20,15,13,12,13,2,2
BBOB_F55,7,6,6,20,13,15,13,12,2,1
BBOB_F55,8,7,4,20,15,11,12,14,1,1
BBOB_F55,9,12,11,20,11,15,14,12,1,0
BBOB_F55,10,11,6,20,15,9,12,15,0,0
BBOB_F55,11,15,8,20,9,9,15,15,0,0
BBOB_F55,12,9,5,20,9,9,15,15,0,0
DTLZ1,1,8,0,15,0,0,15,15,15,7
DTLZ1,2,9,3,15,0,3,15,13,7,5
DTLZ1,3,5,1,15,3,4,13,12,5,3
DTLZ1,4,3,2,15,4,5,12,12,3,2
DTLZ1,5,9,4,15,5,5,12,12,2,1
DTLZ1,6,7,1,15,5,5,12,12,1,1
DTLZ1,7,5,1,15,5,5,12,12,1,0
DTLZ1,8,8,3,15,5,5,12,12,0,0
DTLZ1,9,7,3,15,5,7,12,11,0,0
DTLZ1,10,8,3,15,7,4,11,12,0,0
DTLZ2,1,10,4,15,0,4,15,13,15,5
DTLZ2,2,10,2,15,4,2,13,13,5,3
DTLZ2,3,7,3,15,2,4,13,12,3,1
DTLZ2,4,8,3,15,4,4,12,12,1,1
DTLZ2,5,10,2,15,4,3,12,13,1,1
DTLZ2,6,3,0,15,3,3,13,13,1,1
DTLZ2,7,10,1,15,3,3,13,13,1,1
DTLZ2,8,11,3,15,3,3,13,12,1,1
DTLZ2,9,12,2,15,3,2,12,13,1,0
DTLZ2,10,7,0,15,2,2,13,13,0,0
DTLZ2,11,6,0,15,2,1,13,14,0,0
DTLZ2,12,6,1,15,1,2,14,13,0,0
DTLZ2,13,7,1,15,2,2,13,13,0,0
DTLZ2,14,7,2,15,2,2,13,14,0,0
DTLZ2,15,5,2,15,2,2,14,14,0,0
DTLZ2,16,4,2,15,2,2,14,14,0,0
DTLZ3,1,14,6,15,0,6,15,11,15,1
DTLZ3,2,9,2,15,6,7,11,10,1,0
DTLZ3,3,7,2,15,7,6,10,11,0,0
DTLZ3,4,4,3,15,6,6,11,11,0,0
DTLZ3,5,3,0,15,6,4,11,12,0,0
DTLZ3,6,5,3,15,4,6,12,11,0,0
DTLZ3,7,5,1,15,6,6,11,11,0,0
DTLZ3,8,7,2,15,6,5,11,12,0,0
DTLZ3,9,11,3,15,5,5,12,12,0,0
DTLZ3,10,10,4,15,5,4,12,12,0,0
DTLZ3,11,3,1,15,4,5,12,11,0,0
DTLZ3,12,3,2,15,5,5,11,11,0,0
DTLZ3,13,4,0,15,5,4,11,12,0,0
DTLZ3,14,9,5,15,4,6,12,11,0,0
DTLZ3,15,8,3,15,6,4,11,12,0,0
DTLZ3,16,5,4,15,4,7,12,11,0,0
DTLZ3,17,10,3,15,7,3,11,13,0,0
DTLZ4,1,13,4,15,0,4,15,12,15,2
DTLZ4,2,12,6,15,4,6,12,11,2,1
DTLZ4,3,6,0,15,6,4,11,12,1,0
DTLZ4,4,13,4,15,4,4,12,12,0,0
DTLZ4,5,12,3,15,4,3,12,13,0,0
DTLZ4,6,10,1,15,3,3,13,13,0,0
DTLZ4,7,9,3,15,3,5,13,12,0,0
DTLZ4,8,8,2,15,5,5,12,12,0,0
DTLZ4,9,9,5,15,5,5,12,12,0,0
DTLZ4,10,9,3,15,5,4,12,12,0,0
DTLZ4,11,5,2,15,4,5,12,11,0,0
DTLZ4,12,6,0,15,5,3,11,13,0,0
DTLZ4,13,7,2,15,3,3,13,13,0,0
DTLZ4,14,9,2,15,3,4,13,13,0,0
DTLZ4,15,5,2,15,4,4,13,13,0,0
DTLZ4,16,6,2,15,4,4,13,13,0,0
DTLZ4,17,9,5,15,4,5,13,12,0,0
DTLZ7,1,11,4,15,0,4,15,12,15,4
DTLZ7,2,9,1,15,4,3,12,13,4,3
DTLZ7,3,10,5,15,3,7,13,11,3,1
DTLZ7,4,8,2,15,7,6,11,12,1,1
DTLZ7,5,14,6,15,6,6,12,11,1,0
DTLZ7,6,9,5,15,6,8,11,10,0,0
DTLZ7,7,7,3,15,8,7,10,11,0,0
DTLZ7,8,12,5,15,7,5,11,12,0,0
DTLZ7,9,12,6,15,5,6,12,11,0,0
DTLZ7,10,13,6,15,6,6,11,10,0,0
DTLZ7,11,10,6,15,6,7,10,10,0,0
DTLZ7,12,12,6,15,7,7,10,10,0,0
DTLZ7,13,9,4,15,7,6,10,11,0,0
DTLZ7,14,7,2,15,6,7,11,10,0,0
