problema,b1,b3,b4,c122,c141,c149,c154,c217,c238,c262,e7,e74,e81,moead,nsga2,nsga3,smsemoa
BBOB_F1,0.032570490779905,0.0412065514006254,0.2133718772772728,0.0384134741056703,0.0041069985921644,0.5081541720123823,0.103299018237793,0.1918327495003363,0.0276420881626532,0.0014561014382336,0.0841150912283766,0.002952605854949,0.0469515551150373,0.2582138795238207,0.1359531134257377,0.137318662091244,0.1480915227119584
BBOB_F17,0.0264478301377586,0.0273855805400489,0.0169204487831311,0.0195475148710183,0.0187919979043657,0.1056755247478009,0.022178102876193,0.0249864731868173,0.0374176535155687,0.0216919194598772,0.0254490545952854,0.0243406072264811,0.0287209863025261,0.0339335599190253,0.0206141256299147,0.0244220835244481,0.0213354281482618
BBOB_F22,0.083442849589667,0.0599255344899914,0.3939757683544823,0.0518361967717164,0.0343287612981191,0.9286986822481096,0.1767560389473812,0.4583101350817325,0.1220040990666506,0.0510757488279859,0.2305008671934578,0.0818153289196167,0.2744287278956569,0.8116115946394648,0.2676864895703527,0.3007149536569143,0.1591300073706684
BBOB_F37,0.205633133743002,0.1572649032168013,0.3033641959030862,0.1388659997532861,0.1024378970815427,0.6755810637780066,0.2011868075349726,0.2153868680015732,0.2445803182962954,0.2344353383257915,0.1979404534507514,0.2112893841684316,0.3840170762957668,0.4524787718089781,0.2762060842222105,0.3268568768897895,0.2539185871646663
BBOB_F49,0.1374301780540452,0.1511467023513817,0.162843998687037,0.0925413777450444,0.0808517926800655,0.5068137110939831,0.1520568146150803,0.4480863157448652,0.4231228710204722,0.1161096131479717,0.2726553045552879,0.1493821760062677,0.3960335353340511,0.4078188625287026,0.2070601036537373,0.306760266506344,0.2961792032016101
BBOB_F5,0.035178295949926,0.0303389079646851,0.1859655589315876,0.1075095972153078,0.0086502582927378,0.6099084260423756,0.1062638994517716,0.2227297463983506,0.0101328247170713,0.0048277052418038,0.090364871542885,0.0159725536091193,0.0741954397539168,0.2558106684608193,0.1985265406103037,0.1907181227803057,0.1192824482234564
BBOB_F55,0.558756822784922,0.0525601226054507,0.5271076846291465,0.4517345459656069,0.0131182527468183,1.0904652008015157,,0.4777287866521408,0.0677554515860199,0.2674844512531847,0.1172860177005082,0.5166514271613387,0.0839347390588401,0.8084348763217353,0.6061479210199184,0.6739948007650018,0.7289744263759702
DTLZ1,86.49558217812276,107.90095654288476,81.2096098224797,54.67301493709471,87.39428928697984,103.44305019405188,83.48756119703116,85.74802373757507,71.50718014512064,77.77173997171971,79.38235156797764,63.01379932990874,115.24365938433124,55.243198478786475,45.34570273153767,54.579569419243406,63.71341357744688
DTLZ2,0.0900855558532233,0.1420440366274875,0.2208024716231953,0.1349671331982961,0.0408613396014191,0.4484192148968293,,0.2044665851850002,0.1310105205192348,0.0306550164345873,0.1869603260520184,0.1280762450487692,0.3445419552659433,0.3518633395536835,0.2314965985503017,0.2436941785807205,0.1700820491933293
DTLZ3,225.3801074228402,426.7214887384964,278.8299214290226,187.57772767667743,226.76976469036148,336.89295211077524,,389.42960167341187,226.4054921046576,225.70073441422787,299.9544918120799,226.2287953273139,347.94205442010565,210.1594222538854,305.6544879630138,236.36467091755844,129.76799112603217
DTLZ4,,0.4298240303343262,0.2798890753812145,0.116479171704431,0.4423259977113534,0.8196035272025544,,0.6226320409542655,0.7670386656928406,0.5919531214643767,0.2136371876194944,0.2528198311443027,0.8196035272025544,0.3237102553205356,0.3480468423174555,0.2823977915542932,0.3321667090240134
DTLZ7,0.0488033595915058,0.0507528544036108,1.5632026117992457,0.0431727082012305,0.0348965794170276,0.8591579138635647,,1.0540434208799536,0.1095217734963239,,0.6977032729539132,0.097828017043347,1.3824103725188,1.4282933892698586,1.4252844080178932,1.1247085866087754,1.8809617636365812
