problema,D,M,N,s1_conjunto,s1_ordem,log_nfr,f64_nfr,f32_nfr,log_f1,f64_f1,f32_f1,s2_max_dif,traj_viol,igd0,igdF,ganho_traj,igd_doe,igd_fin,igd_opt,hv_doe,hv_fin,nd_doe,nd_fin,razao_doe,regride
BBOB_F1,10,2,20,True,True,17,17,17,7,7,7,0.0,0,1.6651151931674129,0.2582138795238207,1.4069013136435922,0.5081541720123823,0.2582138795238207,0.2582138795238207,0.2872519427707468,0.5877658589412953,7,16,0.5081408236820079,False
BBOB_F17,10,2,20,True,True,14,14,14,6,6,6,0.0,0,2.4167899424756034,0.03393355991902533,2.3828563825565783,0.10567552474780093,0.03393355991902533,0.03517754765566946,1.014810130745111,1.0803268114757651,6,20,0.3211108721722385,False
BBOB_F22,10,2,20,True,True,20,20,20,5,5,5,0.0,0,6.550407018400444,0.8116115946394648,5.738795423760979,0.9286986822481096,0.8116115946394648,0.8116115946394648,0.0,0.07368097519778483,5,17,0.8739234911745422,False
BBOB_F37,10,2,20,True,True,17,17,17,5,5,5,0.0,0,1.182738987190214,0.45247877180897816,0.7302602153812359,0.6755810637780066,0.45247877180897816,0.45247877180897816,0.12169186279737532,0.2891490368192988,5,9,0.6697623661601932,False
BBOB_F49,10,2,20,True,True,20,20,20,5,5,5,0.0,0,1.3383037553621309,0.40781886252870264,0.9304848928334282,0.5068137110939831,0.40781886252870264,0.42737376741529287,0.4345614743603784,0.5593530770630424,5,25,0.8046721183773915,False
BBOB_F5,10,2,20,True,True,22,22,22,7,7,7,0.0,0,0.9165469299595926,0.25581066846081935,0.6607362614987733,0.6099084260423756,0.25581066846081935,0.25581066846081935,0.07879277077616068,0.5046984002479648,7,20,0.4194247161344283,False
BBOB_F55,10,2,20,True,True,17,17,17,4,4,4,0.0,0,1.388541999942182,0.8084348763217353,0.5801071236204467,1.0904652008015157,0.8084348763217353,0.8084348763217353,0.018450428239994543,0.13243076861979006,4,10,0.7413669649682705,False
DTLZ1,7,3,15,True,True,6,6,6,17,17,17,0.0,0,541.7753550899159,55.243198478786475,486.53215661112944,115.24365938433125,55.243198478786475,55.243198478786475,0.0,0.0,17,22,0.47935998191929546,False
DTLZ2,12,3,15,True,True,6,6,6,40,40,40,0.0,0,1.6297304711986438,0.3518633395536835,1.2778671316449604,0.44841921489682934,0.3518633395536835,0.3821202327606155,0.05217196099724282,0.15263581593422446,40,67,0.7846749823926232,False
DTLZ3,12,3,15,True,True,7,7,7,19,19,19,0.0,0,914.1600619307801,210.1594222538854,704.0006396768947,446.9151347401834,210.1594222538854,210.1594222538854,0.0,0.0,19,25,0.47024458542014413,False
DTLZ4,12,3,15,True,True,7,7,23,23,23,7,0.0,0,1.2302654075242083,0.3237102553205356,0.9065551522036728,0.8196035272025544,0.3237102553205356,0.3237102553205356,0.0,0.07265241528596827,7,24,0.3949595683481421,False
DTLZ7,22,3,15,True,True,10,10,10,21,21,21,0.0,0,2.9506393479468724,1.4282933892698586,1.5223459586770138,2.6969546366218813,1.4282933892698586,1.4282933892698586,0.0,0.0,21,46,0.5295948882028261,False
MMF1,2,2,20,True,True,6,6,6,7,7,7,0.0,0,2.8112970162129414,0.0685634160408346,2.742733600172107,0.11779195093222931,0.0685634160408346,0.08509574177674191,0.6182973994996295,0.7317197886963961,7,10,0.5820721662066879,False
MMF11_L,2,2,20,True,True,3,3,3,9,9,9,0.0,0,0.5728206234612008,0.043619430006996765,0.529201193454204,0.06137893229325984,0.043619430006996765,0.04453239673174353,0.8850782507405461,0.9174245230994806,9,17,0.7106580120779767,False
MMF16_20,20,3,15,True,True,7,7,7,50,50,50,0.0,0,0.8559201840763245,0.06001433635417364,0.7959058477221509,0.07778609577957092,0.06001433635417364,0.08610012267117188,0.5558593727258982,0.6051213366407138,50,243,0.7715303840964248,False
MMF4,2,2,20,True,True,4,4,4,9,9,9,0.0,0,0.3675238638476179,0.04187552479049216,0.32564833905712576,0.06833914869566715,0.04187552479049216,0.04265942276795123,0.40594712307390246,0.4534908100221421,9,17,0.6127604102441382,False
WFG1,22,2,20,True,True,22,22,22,18,18,18,0.0,0,1.1163446066331106,0.7104681491693458,0.4058764574637649,1.0002612839786904,0.7104681491693458,0.7104710948386866,0.0,0.061900770962083754,18,32,0.7102825637151039,False
WFG2,22,2,20,True,True,26,26,26,8,8,8,0.0,0,0.6595702461706784,0.22374120304800604,0.43582904312267234,0.23508082231115943,0.22374120304800604,0.22879075611673233,0.4320540340571579,0.44702814908841904,8,20,0.9517628909424863,False
WFG4,22,2,20,True,True,10,10,10,30,30,30,0.0,0,0.32820668172874007,0.10905015479779857,0.2191565269309415,0.13446156282719976,0.10905015479779857,0.11301645372708712,0.20039566877866266,0.23807498717049697,30,36,0.8110135900914816,False
WFG5,22,2,20,True,True,10,10,10,36,36,36,0.0,0,0.5435150445367514,0.1873782241759709,0.3561368203607805,0.2161614851404197,0.1873782241759709,0.19276470843076626,0.13197839756008167,0.16055458658152547,36,52,0.8668437120250583,False
WFG9,22,2,20,True,True,11,11,11,15,15,15,0.0,0,0.6928485995065304,0.14973231197043485,0.5431162875360955,0.23871495888219296,0.14973231197043485,0.14973231197043485,0.09152916062047177,0.19794946050307938,15,38,0.6272431047956593,False
ZDT1,30,2,20,True,True,19,19,19,14,14,14,0.0,0,3.825360846748847,1.686875225032134,2.138485621716713,2.0959124181730164,1.686875225032134,1.686875225032134,0.0,0.0,14,12,0.8048405126119555,False
ZDT3,30,2,20,True,True,21,21,21,12,12,12,0.0,0,2.5208579962367232,1.0249933278408947,1.4958646683958285,1.2547385087520777,1.0249933278408947,1.0249933278408947,0.0,0.0,12,13,0.8168979597671868,False
ZDT4,10,2,20,True,True,17,17,17,8,8,8,0.0,0,160.0026906116995,65.17103599448568,94.83165461721383,91.92166808266371,65.17103599448568,65.17103599448568,0.0,0.0,8,6,0.7089844794361041,False
ZDT6,10,2,20,True,True,20,20,20,7,7,7,0.0,0,8.952705826241381,7.605188993963688,1.3475168322776927,7.997337194625095,7.605188993963688,7.605188993963688,0.0,0.0,7,9,0.9509651536357672,False
