prob,D,M,N,maxfe,fe_final,ok_31D1,ok_hardstop,n_ger,cache_hits,ok_nger,n_dec,n_snd,n_est,prio_ok,prio_n,pool_ok,pool_n,qmax_ok,gate_ok,gate_n,eupd_ok,eupd_n,s42_tem_ref_ids,s42_tem_REGRA,s42_tem_estrat,s42_tem_campanha_id,s42_tem_y_treino,s42_nref_manifesto,s42_nref_recs_iguais_N,s42_nref_campo,ez_max_g1,ez_max_g2p,g1_gt_2N,g1_le_2ninit,g2p_le_2N,frac_g1_gt_2N
BBOB_F1,10,2,11,309,309,True,True,200,0,True,200,101,0,0,200,162,162,0,400,400,161,161,False,False,False,False,False,11,101,0,130.34410095214844,9.439169883728027,True,True,True,0.6695
BBOB_F17,10,2,11,309,309,True,True,200,0,True,200,101,0,0,200,181,181,0,400,400,316,316,False,False,False,False,False,11,101,0,146.82408142089844,8.737174987792969,True,True,True,0.5035
BBOB_F22,10,2,11,309,309,True,True,200,0,True,200,101,0,0,200,180,180,0,400,400,248,248,False,False,False,False,False,11,101,0,122.39627838134766,6.1165947914123535,True,True,True,0.818
BBOB_F37,10,2,11,309,309,True,True,200,0,True,200,101,0,0,200,124,124,0,400,400,289,289,False,False,False,False,False,11,101,0,137.3412322998047,11.655481338500977,True,True,True,0.714
BBOB_F49,10,2,11,309,309,True,True,200,0,True,200,101,0,0,200,145,145,0,400,400,335,335,False,False,False,False,False,11,101,0,119.6408462524414,9.238160133361816,True,True,True,0.6565
BBOB_F5,10,2,11,309,309,True,True,200,0,True,200,101,0,0,200,107,107,0,400,400,224,224,False,False,False,False,False,11,101,0,164.0558624267578,11.34803581237793,True,True,True,0.778
BBOB_F55,10,2,11,309,309,True,True,200,0,True,200,101,0,0,200,117,117,0,400,400,289,289,False,False,False,False,False,11,101,0,173.85928344726562,11.383496284484863,True,True,True,0.828
DTLZ1,7,3,15,216,216,True,True,140,0,True,140,71,0,0,140,140,140,0,280,280,215,215,False,False,False,False,False,15,71,0,84.34614562988281,9.981734275817871,True,True,True,0.093
DTLZ2,12,3,15,371,371,True,True,240,0,True,240,121,0,0,240,240,240,0,480,480,208,208,False,False,False,False,False,15,121,0,65.1719741821289,3.941624164581299,True,True,True,0.0745
DTLZ3,12,3,15,371,371,True,True,240,0,True,240,121,0,0,240,240,240,0,480,480,381,381,False,False,False,False,False,15,121,0,94.91818237304688,7.999222755432129,True,True,True,0.149
DTLZ4,12,3,15,371,371,True,True,240,0,True,240,121,0,0,240,169,169,0,480,480,323,323,False,False,False,False,False,15,121,0,235.120849609375,16.528308868408203,True,True,True,0.868
DTLZ7,22,3,15,681,681,True,True,440,0,True,440,221,0,0,440,264,264,0,880,880,318,318,False,False,False,False,False,15,221,0,325.2469177246094,11.982630729675293,True,True,True,0.698
MMF1,2,2,11,61,61,True,True,40,0,True,40,21,0,0,40,32,32,0,80,80,75,75,False,False,False,False,False,11,21,0,21.436803817749023,10.655281066894531,False,True,True,0.0
MMF11_L,2,2,11,61,61,True,True,41,1,True,41,22,0,0,41,37,37,0,82,82,69,69,False,False,False,False,False,11,22,0,16.68975067138672,9.35780143737793,False,True,True,0.0
MMF16_20,20,3,15,619,619,True,True,400,0,True,400,201,0,0,400,400,400,0,800,800,437,437,False,False,False,False,False,15,201,0,127.25546264648438,4.7395806312561035,True,True,True,0.2405
MMF4,2,2,11,61,61,True,True,40,0,True,40,21,0,0,40,34,34,0,80,80,70,70,False,False,False,False,False,11,21,0,16.84014320373535,7.087203502655029,False,True,True,0.0
WFG1,22,2,11,681,681,True,True,440,0,True,440,221,0,9,440,211,211,9,880,880,523,523,False,False,False,False,False,11,221,0,342.2489929199219,6.912459373474121,True,True,True,0.916
WFG2,22,2,11,681,681,True,True,440,0,True,440,221,0,0,440,240,240,0,880,880,658,658,False,False,False,False,False,11,221,0,254.91758728027344,8.397141456604004,True,True,True,0.856
WFG4,22,2,11,681,681,True,True,440,0,True,440,221,0,0,440,326,326,0,880,880,734,734,False,False,False,False,False,11,221,0,140.32974243164062,10.915270805358887,True,True,True,0.736
WFG5,22,2,11,681,681,True,True,440,0,True,440,221,0,0,440,336,336,0,880,880,595,595,False,False,False,False,False,11,221,0,135.21153259277344,5.98976469039917,True,True,True,0.5865
WFG9,22,2,11,681,681,True,True,440,0,True,440,221,0,0,440,359,359,0,880,880,709,709,False,False,False,False,False,11,221,0,224.4087677001953,13.9996919631958,True,True,True,0.6285
ZDT1,30,2,11,929,929,True,True,600,0,True,600,301,0,0,600,539,539,0,1200,1200,341,341,False,False,False,False,False,11,301,0,369.3875427246094,5.999987602233887,True,True,True,0.892
ZDT3,30,2,11,929,929,True,True,600,0,True,600,301,0,0,600,378,378,0,1200,1200,536,536,False,False,False,False,False,11,301,0,289.1500549316406,4.0,True,True,True,0.9
ZDT4,10,2,11,309,309,True,True,201,1,True,201,102,0,0,201,0,0,0,201,201,151,151,False,False,False,False,False,11,102,0,108.94477844238281,11.0,True,True,True,0.5185
ZDT6,10,2,11,309,309,True,True,200,0,True,200,101,0,0,200,68,68,0,400,400,333,333,False,False,False,False,False,11,101,0,209.65866088867188,14.955448150634766,True,True,True,0.8255
