prob,prio,qmax,top100,argmax
BBOB_F1,162/200,162/200,200/200,190/190
BBOB_F17,181/200,181/200,200/200,183/183
BBOB_F22,180/200,180/200,200/200,189/189
BBOB_F37,124/200,124/200,200/200,193/193
BBOB_F49,145/200,145/200,200/200,188/188
BBOB_F5,107/200,107/200,200/200,191/191
BBOB_F55,117/200,117/200,200/200,191/191
DTLZ1,140/140,140/140,140/140,134/134
DTLZ2,240/240,240/240,240/240,234/234
DTLZ3,240/240,240/240,240/240,227/227
DTLZ4,169/240,169/240,240/240,214/214
DTLZ7,264/440,264/440,440/440,419/419
MMF1,32/40,32/40,40/40,40/40
MMF11_L,37/41,37/41,41/41,41/41
MMF16_20,400/400,400/400,400/400,377/377
MMF4,34/40,34/40,40/40,40/40
WFG1,220/440,220/440,440/440,356/356
WFG2,240/440,240/440,440/440,429/429
WFG4,326/440,326/440,440/440,403/403
WFG5,336/440,336/440,440/440,419/419
WFG9,359/440,359/440,440/440,389/389
ZDT1,539/600,539/600,600/600,590/590
ZDT3,378/600,378/600,600/600,591/591
ZDT4,18/201,18/201,201/201,18/18
ZDT6,68/200,68/200,200/200,194/194
