bloco,g,n_ref,prev_pos,rho,auc,ez_mod_max,ez_true_max,ez_mod_mean,ez_true_mean,dX
regua,1,21,0.9305,0.7032080788448539,0.8811461309190155,25.27984619140625,17,8.062808227077127,6.9215,1.1920928955078125e-07
regua,2,11,0.571,0.47375066844270425,0.7736090529435539,7.43552827835083,7,1.9964822342693807,1.374,1.1920928955078125e-07
regua,4,11,0.4635,0.2915709863394988,0.663065475921184,5.153118133544922,8,1.2971325508207083,1.2675,1.1920928955078125e-07
regua,6,11,0.5185,0.23605335016140905,0.6591704042834641,4.785782814025879,7,0.8821500336527824,1.3135,1.1920928955078125e-07
regua,8,11,0.7115,0.2801599304535654,0.726985851406273,6.619551658630371,8,1.766250147819519,2.0075,1.1920928955078125e-07
regua,10,11,0.2865,0.045148000804155486,0.5365917343283546,4.300410270690918,7,0.9143900457769633,0.6985,1.1920928955078125e-07
regua,12,11,0.2865,0.0382453727877262,0.532814542768424,6.200908660888672,7,0.9464296367317439,0.6985,1.1920928955078125e-07
regua,14,11,0.2865,0.016840579826825595,0.5157636751211673,7.77960729598999,8,0.8544670508056879,0.7235,1.1920928955078125e-07
regua,16,11,0.2865,0.02397968556947932,0.5168668082884191,8.123780250549316,8,0.679193308249116,0.7235,1.1920928955078125e-07
regua,18,11,0.2865,0.07406479297391116,0.5464092526211642,9.355646133422852,8,1.1044096342772245,0.7235,1.1920928955078125e-07
regua,20,11,0.25,0.07791825788470229,0.544672,7.847238063812256,8,0.7930237125456333,0.6685,1.1920928955078125e-07
regua,22,11,0.241,0.07906782440007534,0.5478586150153893,7.279846668243408,5,0.8846880966126919,0.5105,1.1920928955078125e-07
regua,24,11,0.241,0.10253418724243184,0.55752682881494,5.91097354888916,6,0.6674620614498854,0.529,1.1920928955078125e-07
regua,26,11,0.241,0.1138567330314263,0.5707936299673626,6.674123764038086,5,1.0137267438322306,0.5055,1.1920928955078125e-07
regua,28,11,0.241,0.134326699839469,0.5829738846155949,6.480119705200195,4,1.0235190324634313,0.4895,1.1920928955078125e-07
regua,30,11,0.244,0.15025602014185943,0.5856508587041374,5.281707286834717,4,0.5913448237329721,0.516,1.1920928955078125e-07
regua,32,11,0.1895,0.06398727223979427,0.5430277736632816,6.293957233428955,4,0.6464179908633232,0.331,1.1920928955078125e-07
regua,34,11,0.1895,0.04745420477005994,0.5351626654773511,6.040738105773926,4,0.9965587619543076,0.331,1.1920928955078125e-07
regua,36,11,0.1895,0.016341611333993953,0.5120361222021652,5.884568214416504,4,0.6405985922515393,0.3385,1.1920928955078125e-07
regua,38,11,0.1895,0.03620117682549243,0.5297537758867372,6.729787349700928,4,0.8475114970505238,0.326,1.1920928955078125e-07
regua,40,11,0.1895,0.05203544262413163,0.5361099943192824,5.623318195343018,4,0.6711627608537674,0.326,1.1920928955078125e-07
regua,41,11,0.1895,0.09173622892747976,0.5612955942697999,5.346038341522217,4,0.5883352822363377,0.326,1.1920928955078125e-07
estratificada,1,21,0.906,0.7059547605661405,0.8559485228500305,24.7774600982666,17,7.557790373206139,6.51,
estratificada,2,11,0.604,0.5309639489234136,0.8038497558365107,7.217865467071533,7,2.089633060395718,1.328,
estratificada,4,11,0.47,0.3703981627136522,0.6824006423123243,5.1497650146484375,8,1.3911451704502105,1.142,
estratificada,6,11,0.512,0.36273592672885435,0.7133388831967213,4.764906883239746,7,1.1943843567967414,1.096,
estratificada,8,11,0.76,0.36804450773383324,0.791140350877193,6.6179656982421875,8,2.274946901321411,1.978,
estratificada,10,11,0.236,0.13406775319469186,0.5838361877717633,3.8791160583496094,6,1.2518167746663094,0.568,
estratificada,12,11,0.288,0.09411736837736788,0.5481624531835206,6.28561544418335,6,1.572604483962059,0.688,
estratificada,14,11,0.318,0.1934232853835407,0.6085689518434497,7.5887041091918945,7,1.383678633928299,0.802,
estratificada,16,11,0.29,0.25209655454589736,0.6433025740650802,7.65090799331665,7,1.2484675400853158,0.732,
estratificada,18,11,0.31,0.15731169394488587,0.5790743338008415,9.148268699645996,7,2.0997882702350616,0.784,
estratificada,20,11,0.274,0.2361131784670619,0.6432607427962438,7.827359199523926,7,1.5362759053707122,0.65,
estratificada,22,11,0.196,0.07462309114006709,0.5454614681693573,6.276617050170898,4,1.303191282749176,0.398,
estratificada,24,11,0.26,0.16201396017922354,0.608045738045738,5.947254657745361,6,1.2705524858236312,0.538,
estratificada,26,11,0.252,0.0678087224686934,0.5391095832272302,6.610513210296631,6,1.7393460439443589,0.508,
estratificada,28,11,0.22,0.12002246304578446,0.5807692307692308,6.504576206207275,4,1.9012832444310188,0.466,
estratificada,30,11,0.258,0.20723322060763938,0.629139764725548,5.7445244789123535,4,1.1392386772036553,0.488,
estratificada,32,11,0.174,0.08126500513454041,0.5619659903704323,6.337458610534668,5,1.4410128149986268,0.332,
estratificada,34,11,0.19,0.20728692056392156,0.6475373619233268,6.028075218200684,4,1.9924430342316628,0.356,
estratificada,36,11,0.222,0.19821738943036712,0.629125269228097,5.8577728271484375,4,1.3551223533749581,0.37,
estratificada,38,11,0.17,0.1351409122293961,0.6012615166548547,6.3599934577941895,4,1.7992462419271469,0.278,
estratificada,40,11,0.204,0.16669018812969347,0.6092472164745295,5.772088527679443,4,1.6082270461320878,0.368,
