alg,prob,D,M,Nef,ng,C,seed,prole,f_tot,f_prole,f_antiga,Dp1
nsga2,BBOB_F1,10,2,20,11,38,21,17,11,10,10,11
nsga2,BBOB_F17,10,2,20,11,30,21,9,11,10,10,11
nsga2,BBOB_F22,10,2,20,11,24,21,3,11,10,10,11
nsga2,BBOB_F37,10,2,20,11,24,21,3,11,10,10,11
nsga2,BBOB_F49,10,2,20,11,24,21,3,11,10,10,11
nsga2,BBOB_F5,10,2,20,11,27,21,6,11,10,10,11
nsga2,BBOB_F55,10,2,20,11,27,21,6,11,10,10,11
nsga2,DTLZ1,7,3,20,8,23,21,2,8,7,7,8
nsga2,DTLZ2,12,3,20,13,25,21,4,13,12,12,13
nsga2,DTLZ3,12,3,20,13,24,21,3,13,12,12,13
nsga2,DTLZ4,12,3,20,13,22,21,1,13,12,12,13
nsga2,DTLZ7,22,3,20,23,36,21,15,23,22,22,23
nsga2,MMF1,2,2,20,3,22,21,1,3,2,2,3
nsga2,MMF11_L,2,2,20,3,22,21,1,3,2,2,3
nsga2,MMF16_20,20,3,20,21,31,21,10,21,20,20,21
nsga2,MMF4,2,2,20,3,21,21,0,3,2,2,3
nsga2,WFG1,22,2,20,23,33,21,12,23,22,22,23
nsga2,WFG2,22,2,20,23,32,21,11,23,22,22,23
nsga2,WFG4,22,2,20,23,32,21,11,23,22,22,23
nsga2,WFG5,22,2,20,23,31,21,10,23,22,22,23
nsga2,WFG9,22,2,20,23,31,21,10,23,22,22,23
nsga2,ZDT1,30,2,20,31,40,21,19,32,30,30,31
nsga2,ZDT3,30,2,20,31,32,21,11,31,30,30,31
nsga2,ZDT4,10,2,20,11,27,21,6,11,10,10,11
nsga2,ZDT6,10,2,20,11,30,21,9,11,10,10,11
nsga3,BBOB_F1,10,2,20,11,23,21,2,11,10,10,11
nsga3,BBOB_F17,10,2,20,11,22,21,1,11,10,10,11
nsga3,BBOB_F22,10,2,20,11,32,21,11,11,10,10,11
nsga3,BBOB_F37,10,2,20,11,25,21,4,11,10,10,11
nsga3,BBOB_F49,10,2,20,11,22,21,1,11,10,10,11
nsga3,BBOB_F5,10,2,20,11,23,21,2,11,10,10,11
nsga3,BBOB_F55,10,2,20,11,31,21,10,11,10,10,11
nsga3,DTLZ1,7,3,15,11,21,16,5,11,10,9,8
nsga3,DTLZ2,12,3,15,18,24,16,8,18,17,16,13
nsga3,DTLZ3,12,3,15,18,23,16,7,18,17,16,13
nsga3,DTLZ4,12,3,15,18,20,16,4,18,17,16,13
nsga3,DTLZ7,22,3,15,33,32,16,16,33,32,29,23
nsga3,MMF1,2,2,20,3,23,21,2,3,2,2,3
nsga3,MMF11_L,2,2,20,3,22,21,1,3,2,2,3
nsga3,MMF16_20,20,3,15,30,25,16,9,30,29,26,21
nsga3,MMF4,2,2,20,3,22,21,1,3,2,2,3
nsga3,WFG1,22,2,20,23,31,21,10,23,22,22,23
nsga3,WFG2,22,2,20,23,34,21,13,23,22,22,23
nsga3,WFG4,22,2,20,23,36,21,15,23,22,22,23
nsga3,WFG5,22,2,20,23,37,21,16,23,22,22,23
nsga3,WFG9,22,2,20,23,28,21,7,23,22,22,23
nsga3,ZDT1,30,2,20,31,38,21,17,31,30,30,31
nsga3,ZDT3,30,2,20,31,32,21,11,31,30,30,31
nsga3,ZDT4,10,2,20,11,26,21,5,11,10,10,11
nsga3,ZDT6,10,2,20,11,23,21,2,11,10,10,11
moead,BBOB_F1,10,2,20,12,55,21,34,12,11,10,11
moead,BBOB_F17,10,2,20,14,95,21,74,14,13,10,11
moead,BBOB_F22,10,2,20,14,84,21,63,14,13,10,11
moead,BBOB_F37,10,2,20,13,62,21,41,13,12,10,11
moead,BBOB_F49,10,2,20,14,90,21,69,14,13,10,11
moead,BBOB_F5,10,2,20,14,90,21,69,14,13,10,11
moead,BBOB_F55,10,2,20,13,72,21,51,13,12,10,11
moead,DTLZ1,7,3,15,11,28,16,12,12,10,9,8
moead,DTLZ2,12,3,15,17,28,16,12,19,18,16,13
moead,DTLZ3,12,3,15,18,42,16,26,20,19,16,13
moead,DTLZ4,12,3,15,18,37,16,21,19,18,16,13
moead,DTLZ7,22,3,15,33,69,16,53,36,35,29,23
moead,MMF1,2,2,20,3,34,21,13,3,2,2,3
moead,MMF11_L,2,2,20,3,32,21,11,3,2,2,3
moead,MMF16_20,20,3,15,29,41,16,25,31,30,26,21
moead,MMF4,2,2,20,3,31,21,10,3,2,2,3
moead,WFG1,22,2,20,31,183,21,162,31,30,22,23
moead,WFG2,22,2,20,27,109,21,88,27,26,22,23
moead,WFG4,22,2,20,27,115,21,94,27,26,22,23
moead,WFG5,22,2,20,26,99,21,78,26,25,22,23
moead,WFG9,22,2,20,25,64,21,43,25,24,22,23
moead,ZDT1,30,2,20,38,179,21,158,38,37,30,31
moead,ZDT3,30,2,20,38,179,21,158,38,37,30,31
moead,ZDT4,10,2,20,14,90,21,69,14,13,10,11
moead,ZDT6,10,2,20,14,87,21,66,14,13,10,11
smsemoa,BBOB_F1,10,2,20,11,21,21,0,11,10,10,11
smsemoa,BBOB_F17,10,2,20,11,21,21,0,11,10,10,11
smsemoa,BBOB_F22,10,2,20,11,21,21,0,11,10,10,11
smsemoa,BBOB_F37,10,2,20,11,21,21,0,11,10,10,11
smsemoa,BBOB_F49,10,2,20,11,21,21,0,11,10,10,11
smsemoa,BBOB_F5,10,2,20,11,21,21,0,11,10,10,11
smsemoa,BBOB_F55,10,2,20,11,21,21,0,11,10,10,11
smsemoa,DTLZ1,7,3,20,8,21,21,0,8,7,7,8
smsemoa,DTLZ2,12,3,20,13,21,21,0,13,12,12,13
smsemoa,DTLZ3,12,3,20,13,21,21,0,13,12,12,13
smsemoa,DTLZ4,12,3,20,13,21,21,0,13,12,12,13
smsemoa,DTLZ7,22,3,20,23,21,21,0,23,22,22,23
smsemoa,MMF1,2,2,20,3,27,21,6,3,2,2,3
smsemoa,MMF11_L,2,2,20,3,27,21,6,3,2,2,3
smsemoa,MMF16_20,20,3,20,21,21,21,0,21,20,20,21
smsemoa,MMF4,2,2,20,3,26,21,5,3,2,2,3
smsemoa,WFG1,22,2,20,23,21,21,0,23,22,22,23
smsemoa,WFG2,22,2,20,23,21,21,0,23,22,22,23
smsemoa,WFG4,22,2,20,23,21,21,0,23,22,22,23
smsemoa,WFG5,22,2,20,23,21,21,0,23,22,22,23
smsemoa,WFG9,22,2,20,23,21,21,0,23,22,22,23
smsemoa,ZDT1,30,2,20,31,21,21,0,31,30,30,31
smsemoa,ZDT3,30,2,20,31,21,21,0,31,30,30,31
smsemoa,ZDT4,10,2,20,11,21,21,0,11,10,10,11
smsemoa,ZDT6,10,2,20,11,21,21,0,11,10,10,11
