problema,escala_obj,amplitude,u11_wape,mu_max,mu_min,razao_mu_amp
DTLZ2,2.104562282562256,2.104562282562256,0.1299526988223584,2.298976182937622,-0.1814630925655365,1.0923773565582824
MMF4,2.4281294345855713,2.353638119995594,0.31785251969097655,2.353229522705078,-0.15730546414852142,0.9998263975727429
DTLZ4,2.7928380966186523,2.7928380966186523,0.33660897793904215,2.569345474243164,-0.20762883126735687,0.9199765204269895
MMF16_20,2.999762773513794,2.999762773513794,0.27924554607362523,3.195204496383667,-0.4945482909679413,1.0651523929143707
WFG4,4.42625617980957,4.2426711320877075,0.2083152125141483,4.5372700691223145,-0.05569547042250633,1.0694371370918967
WFG5,4.563952445983887,4.165001183748245,0.17501051524423153,4.468718528747559,-0.05144669488072395,1.0729213106071644
WFG2,4.751013278961182,3.4644126892089844,0.207851804707853,4.7688469886779785,-0.07871470600366592,1.3765239353648802
WFG9,4.910811424255371,4.439292013645172,0.35151589389643256,5.581453800201416,-0.37312546372413635,1.2572846713046923
WFG1,4.985886573791504,4.015995621681213,0.3534610876030065,4.603455543518066,-1.057999610900879,1.1462800204923842
ZDT3,5.949428558349609,5.736304387450218,0.13124523045181316,5.625373363494873,-0.19523756206035614,0.9806615868924184
ZDT1,6.057699203491211,5.53692227602005,0.08712100821272348,5.727974891662598,-0.09084019809961319,1.0345052009254276
MMF1,7.611906051635742,7.429222330451012,0.6597610074894327,7.434134006500244,-0.827754020690918,1.0006611292314003
ZDT6,9.195337295532227,5.1346116065979,0.07446878056470643,9.346414566040039,-0.06909289211034775,1.8202768353559662
MMF11_L,18.471914291381836,17.272003531455994,0.1797923495228863,17.39365005493164,-0.06573205441236496,1.0070429885713086
DTLZ7,25.305496215820312,18.648312091827393,0.04556512390330937,24.764738082885742,-0.24893085658550262,1.3279881825733102
BBOB_F55,86.07921600341797,80.77191019058228,0.24404277999630897,102.16761779785156,-2.0119822025299072,1.2648904496227198
ZDT4,242.97540283203125,187.19786834716797,0.19230763643504245,226.8285369873047,-0.07642708718776703,1.211704700433018
BBOB_F1,248.03152465820312,237.59917163848877,0.09672927720423442,222.01829528808594,-0.3449874222278595,0.9344236924608921
DTLZ1,400.625,400.625,0.4169477618057047,343.5142517089844,-47.0848503112793,0.857445870100429
DTLZ3,1599.994140625,1599.994140625,0.3854608801636744,1610.0577392578125,-194.6568145751953,1.0062897721793416
BBOB_F5,3056.66552734375,2619.497802734375,0.0884580358313639,2918.653564453125,-1.6804158687591553,1.1142034787761512
BBOB_F49,6086.1552734375,5960.233055114746,0.17115581275103095,4997.23876953125,-308.8173522949219,0.8384300954881106
BBOB_F37,6210.5126953125,6055.129379272461,0.1200430184651657,5044.052734375,-303.358154296875,0.8330214630328933
BBOB_F22,2150923.75,2150836.492980957,0.7797526961248007,2034637.375,-130373.5703125,0.9459749179632383
BBOB_F17,76280704.0,76234677.328125,0.2287948179375812,71218304.0,-3018061.75,0.9341982742770222
