problema,e7_igd+,melhor_piso,ganho_%,rank,n_alg
BBOB_F1,0.0841150912283766,0.1359531134257377,38.1293380424692,9,17
BBOB_F17,0.0254490545952854,0.0206141256299147,-23.454446005482627,11,17
BBOB_F22,0.2305008671934578,0.1591300073706684,-44.850660791174455,10,17
BBOB_F37,0.1979404534507514,0.2539185871646663,22.045701474233972,4,17
BBOB_F49,0.2726553045552879,0.2070601036537373,-31.67930458068553,10,17
BBOB_F5,0.090364871542885,0.1192824482234564,24.242943627715448,8,17
BBOB_F55,0.1172860177005082,0.6061479210199184,80.6505947420953,5,16
DTLZ1,79.38235156797764,45.34570273153767,-75.06036247348236,9,17
DTLZ2,0.1869603260520184,0.1700820491933293,-9.923608598755678,9,16
DTLZ3,299.9544918120799,129.76799112603217,-131.1467482923124,11,16
DTLZ4,0.2136371876194944,0.2823977915542932,24.34884619895443,2,15
DTLZ7,0.6977032729539132,1.1247085866087754,37.96586233438208,7,15
MMF1,0.0666859982269712,0.0570132770384747,-16.965734458605123,14,17
MMF11_L,0.0260538715864112,0.0231565498976292,-12.51188843584438,8,17
MMF16_20,0.0402721736350217,0.0316158421272363,-27.37972777365362,11,15
MMF4,0.0311249824934595,0.0377119334276083,17.466489610756994,9,17
WFG1,0.5217684614749941,0.4953917959793528,-5.3244049880754725,8,14
WFG2,0.2085026837797858,0.1227556938180429,-69.85174153212243,12,16
WFG4,0.0848970520512503,0.044424346453198,-91.10478561725415,9,16
WFG5,0.1368461751806692,0.0930752077028518,-47.02752597400463,15,16
WFG9,0.1345494028141959,0.0955346891283579,-40.83826936770459,10,16
ZDT1,0.3972630146418627,0.4440783896843883,10.542142137517168,9,16
ZDT3,0.3562110022142805,0.3442625865872861,-3.470727314704855,10,15
ZDT4,55.444167231813715,43.898268794314845,-26.301489226368194,10,17
ZDT6,4.277823731996254,6.445675963031797,33.63265921943536,9,16
