label,problema,tier,dist,g,frac,n_pop,hv_sur,igdp_sur,hv_real,igdp_real,sig_med,rmse,wape
BBOB_F1,BBOB_F1,main,lhs,1,0.0012077294685990338,50,0.09425406680890543,0.7050566065803563,0.12249908924083901,0.6660396377761977,5.5923566818237305,11.792596963826382,0.07292645852261764
BBOB_F1,BBOB_F1,main,lhs,35,0.042270531400966184,48,1.4392943359456405,0.0,0.8414259892815928,0.10055459231899795,1.2898157835006714,23.827811546195807,1.003498147789739
BBOB_F1,BBOB_F1,main,lhs,69,0.08333333333333333,47,1.4747963644657687,0.0,0.8588912468689797,0.0918263589221646,1.2792938947677612,23.992273211549104,1.0104462033079562
BBOB_F1,BBOB_F1,main,lhs,104,0.12560386473429952,45,1.488296063890923,0.0,0.8752789111101986,0.08313852503498854,1.2715446949005127,24.157602136528737,1.007329513362094
BBOB_F1,BBOB_F1,main,lhs,138,0.16666666666666666,47,1.4911975025726583,0.0,0.8661982867399632,0.0878417966210191,1.259801983833313,24.258260131498457,1.0158489171959653
BBOB_F1,BBOB_F1,main,lhs,173,0.20893719806763286,49,1.4956168116178905,0.0,0.8795089098436766,0.0805690247377027,1.2601077556610107,24.06882579718525,1.0095004102184826
BBOB_F1,BBOB_F1,main,lhs,207,0.25,47,1.4948029081910228,0.0,0.8704558509423103,0.0850739353047201,1.273915410041809,23.8298858976665,1.0027309578048984
BBOB_F1,BBOB_F1,main,lhs,242,0.2922705314009662,47,1.4912338423081564,0.0,0.8682905891319176,0.08628513102174941,1.2632869482040405,24.079551003260967,1.0145870649005861
BBOB_F1,BBOB_F1,main,lhs,276,0.3333333333333333,44,1.4781201060186901,0.0,0.8539798796893047,0.09367273157700326,1.2549582719802856,24.163210190527458,1.022524552848202
BBOB_F1,BBOB_F1,main,lhs,311,0.3756038647342995,48,1.4784130186870779,0.0,0.8544626856598371,0.09353805042530604,1.243242859840393,24.2885868904152,1.023904961018434
BBOB_F1,BBOB_F1,main,lhs,345,0.4166666666666667,48,1.480752095414611,0.0,0.8538304586647257,0.09372272772678038,1.254557728767395,24.12762743453728,1.0164320095442074
BBOB_F1,BBOB_F1,main,lhs,380,0.45893719806763283,46,1.4841589800497197,0.0,0.8551162641140636,0.09372556803412711,1.233058214187622,24.31430335590288,1.0176706288635298
BBOB_F1,BBOB_F1,main,lhs,414,0.5,47,1.4819253704073494,0.0,0.8539688404810832,0.09431189204929102,1.2266266345977783,24.430082131521043,1.0166512206550147
BBOB_F1,BBOB_F1,main,lhs,448,0.5410628019323671,47,1.4924043036303938,0.0,0.8644459515109084,0.08885003362596228,1.22996985912323,24.429904757746932,1.0098436313298131
BBOB_F1,BBOB_F1,main,lhs,483,0.5833333333333334,46,1.5018489784928946,0.0,0.880241041149849,0.08058900033493628,1.2207398414611816,24.321596989199946,0.999897380407603
BBOB_F1,BBOB_F1,main,lhs,517,0.6243961352657005,49,1.493154323953521,0.0,0.8690231400378421,0.08686003482506303,1.210752248764038,24.395995647564547,0.990907958745669
BBOB_F1,BBOB_F1,main,lhs,552,0.6666666666666666,49,1.4938983265366113,0.0,0.8622638133814136,0.09009049689864337,1.2076098918914795,24.45356521997287,0.9929163223360837
BBOB_F1,BBOB_F1,main,lhs,586,0.7077294685990339,48,1.4919843409242743,0.0,0.8598865951650888,0.09162854946580905,1.2141550779342651,24.467772345955904,0.9996115936816952
