label,problema,M,NRV,ngen,ok_distintos,share_distintos,defice_med,defice_max,A_pop_med,A_pop_max,share_pop_distinta
BBOB_F1,BBOB_F1,2,50,828,315,0.3804347826086957,1.2596618357487923,21,48.0,50,0.9737570450885669
BBOB_F17,BBOB_F17,2,50,2461,378,0.1535960991466883,8.869971556277935,48,15.0,50,0.40866856291480436
BBOB_F22,BBOB_F22,2,50,1144,148,0.1293706293706293,5.119755244755245,47,39.0,50,0.8687242244934552
BBOB_F37,BBOB_F37,2,50,814,640,0.7862407862407862,0.457002457002457,20,50.0,50,0.9908599508599508
BBOB_F49,BBOB_F49,2,50,919,22,0.0239390642002176,3.821545157780196,41,44.0,50,0.913146700959541
BBOB_F5,BBOB_F5,2,50,879,112,0.1274175199089874,2.5267349260523324,36,46.0,50,0.9450709798684276
BBOB_F55,BBOB_F55,2,50,942,160,0.1698513800424628,3.5870488322717624,22,42.0,50,0.9145940754221009
DTLZ1,DTLZ1,3,105,870,0,0.0,30.066666666666663,93,46.0,105,0.34637681159420297
DTLZ2,DTLZ2,3,105,504,250,0.496031746031746,1.281746031746032,47,79.0,105,0.9837753666867591
DTLZ3,DTLZ3,3,105,1077,0,0.0,34.5803156917363,103,37.0,105,0.06539687319631615
DTLZ4,DTLZ4,3,105,2312,668,0.2889273356401384,4.2076124567474045,94,14.0,105,0.6994562530894711
DTLZ7,DTLZ7,3,105,785,2,0.0025477707006369,13.803821656050957,91,51.0,105,0.7293368302735106
MMF1,MMF1,2,50,909,0,0.0,8.66006600660066,30,44.0,50,0.8031803180318031
MMF11_L,MMF11_L,2,50,848,7,0.008254716981132,5.308962264150943,23,47.0,50,0.8870433560818949
MMF16_20,MMF16_20,3,105,595,243,0.4084033613445378,2.235294117647059,52,68.0,105,0.967128027681661
MMF4,MMF4,2,50,865,38,0.0439306358381502,4.49364161849711,22,46.0,50,0.9023121387283237
WFG1,WFG1,2,50,935,371,0.3967914438502674,2.0128342245989304,20,43.0,50,0.9531899017535133
WFG2,WFG2,2,50,923,75,0.0812567713976164,5.360780065005417,24,44.0,50,0.8781640894316951
WFG4,WFG4,2,50,937,57,0.0608324439701173,4.635005336179296,20,43.0,50,0.8922091782283884
WFG5,WFG5,2,50,930,27,0.0290322580645161,5.118279569892473,25,43.0,50,0.8809702425606402
WFG9,WFG9,2,50,906,110,0.1214128035320088,4.172185430463577,30,45.0,50,0.9072847682119205
ZDT1,ZDT1,2,50,878,0,0.0,9.446469248291573,24,46.0,50,0.7946419728632267
ZDT3,ZDT3,2,50,921,0,0.0,8.381107491856678,21,43.0,50,0.8050905234451935
ZDT4,ZDT4,2,50,3845,626,0.1628088426527958,1.7703511053315997,47,10.0,50,0.82296488946684
ZDT6,ZDT6,2,50,950,24,0.0252631578947368,4.36,22,42.0,50,0.8961904761904762
swap_medium-lhs_DTLZ2,DTLZ2,3,105,408,347,0.8504901960784313,0.5294117647058824,42,99.0,105,0.9946524064171123
swap_medium-lhs_MMF16_20,MMF16_20,3,105,512,187,0.365234375,5.62890625,56,82.0,105,0.9313548018292683
swap_medium-lhs_WFG9,WFG9,2,50,905,41,0.0453038674033149,5.111602209944752,25,44.0,50,0.8838272225012557
swap_medium-lhs_ZDT1,ZDT1,2,50,852,32,0.0375586854460093,4.916666666666667,21,47.0,50,0.8953900709219857
swap_medium-lhs_ZDT4,ZDT4,2,50,5465,1596,0.2920402561756633,1.1729185727355902,46,7.0,50,0.8324402038949157
swap_medium-mvns_DTLZ2,DTLZ2,3,105,454,339,0.7466960352422908,0.9052863436123348,42,90.0,105,0.9899412628487518
swap_medium-mvns_MMF16_20,MMF16_20,3,105,647,228,0.3523956723338485,4.539412673879443,51,65.0,105,0.9301628819403163
swap_medium-mvns_WFG9,WFG9,2,50,954,0,0.0,7.211740041928721,19,42.0,50,0.8282919037636018
swap_medium-mvns_ZDT1,ZDT1,2,50,864,6,0.0069444444444444,6.265046296296297,25,46.0,50,0.8638033413848631
swap_medium-mvns_ZDT4,ZDT4,2,50,3660,905,0.2472677595628415,1.7937158469945356,47,12.0,50,0.850523679417122
swap_small-lhs_DTLZ2,DTLZ2,3,105,504,250,0.496031746031746,1.281746031746032,47,79.0,105,0.9837753666867591
swap_small-lhs_MMF16_20,MMF16_20,3,105,595,243,0.4084033613445378,2.235294117647059,52,68.0,105,0.967128027681661
swap_small-lhs_WFG9,WFG9,2,50,906,110,0.1214128035320088,4.172185430463577,30,45.0,50,0.9072847682119205
swap_small-lhs_ZDT1,ZDT1,2,50,878,0,0.0,9.446469248291573,24,46.0,50,0.7946419728632267
swap_small-lhs_ZDT4,ZDT4,2,50,3845,626,0.1628088426527958,1.7703511053315997,47,10.0,50,0.82296488946684
swap_small-mvns_DTLZ2,DTLZ2,3,105,557,194,0.348294434470377,2.5727109515260325,48,73.0,105,0.9647573842256708
swap_small-mvns_MMF16_20,MMF16_20,3,105,507,208,0.4102564102564102,4.226824457593688,59,81.0,105,0.9478169820050162
swap_small-mvns_WFG9,WFG9,2,50,944,2,0.0021186440677966,5.871822033898305,21,42.0,50,0.8601947134786118
swap_small-mvns_ZDT1,ZDT1,2,50,854,7,0.0081967213114754,5.453161592505855,21,47.0,50,0.8839752852658329
swap_small-mvns_ZDT4,ZDT4,2,50,5548,1665,0.3001081470800288,1.1000360490266765,47,7.0,50,0.8428519929961891
