label,problema,tier,dist,M,NRV,ngen,fe_A_final,fe_A_pre,fe_B_final,fe_B_pre,off_last,off_med,invar_A,invar_B,overshoot_A,overshoot_B
BBOB_F1,BBOB_F1,main,lhs,2,50,828,40024,39974,40074,40024,50,48.0,True,False,24,74
BBOB_F17,BBOB_F17,main,lhs,2,50,2461,40014,39984,40064,40034,30,16.0,True,False,14,64
BBOB_F22,BBOB_F22,main,lhs,2,50,1144,40012,39972,40062,40022,40,40.0,True,False,12,62
BBOB_F37,BBOB_F37,main,lhs,2,50,814,40016,39966,40066,40016,50,50.0,True,False,16,66
BBOB_F49,BBOB_F49,main,lhs,2,50,919,40026,39986,40076,40036,40,44.0,True,False,26,76
BBOB_F5,BBOB_F5,main,lhs,2,50,879,40004,39958,40054,40008,46,46.0,True,False,4,54
BBOB_F55,BBOB_F55,main,lhs,2,50,942,40022,39978,40072,40028,44,42.0,True,False,22,72
DTLZ1,DTLZ1,main,lhs,3,105,870,40004,39954,40109,40059,50,46.0,True,False,4,109
DTLZ2,DTLZ2,main,lhs,3,105,504,40078,39994,40183,40099,84,80.0,True,False,78,183
DTLZ3,DTLZ3,main,lhs,3,105,1077,40016,39984,40121,40089,32,38.0,True,False,16,121
DTLZ4,DTLZ4,main,lhs,3,105,2312,40010,39996,40115,40101,14,14.0,True,False,10,115
DTLZ7,DTLZ7,main,lhs,3,105,785,40008,39958,40113,40063,50,52.0,True,False,8,113
MMF1,MMF1,main,lhs,2,50,909,40038,39994,40088,40044,44,44.0,True,False,38,88
MMF11_L,MMF11_L,main,lhs,2,50,848,40002,39952,40052,40002,50,48.0,True,False,2,52
MMF16_20,MMF16_20,main,lhs,3,105,595,40032,39958,40137,40063,74,68.0,True,False,32,137
MMF4,MMF4,main,lhs,2,50,865,40014,39966,40064,40016,48,46.0,True,False,14,64
WFG1,WFG1,main,lhs,2,50,935,40044,39998,40094,40048,46,44.0,True,False,44,94
WFG2,WFG2,main,lhs,2,50,923,40020,39974,40070,40024,46,44.0,True,False,20,70
WFG4,WFG4,main,lhs,2,50,937,40028,39982,40078,40032,46,44.0,True,False,28,78
WFG5,WFG5,main,lhs,2,50,930,40044,39998,40094,40048,46,44.0,True,False,44,94
WFG9,WFG9,main,lhs,2,50,906,40040,39992,40090,40042,48,46.0,True,False,40,90
ZDT1,ZDT1,main,lhs,2,50,878,40046,40000,40096,40050,46,46.0,True,False,46,96
ZDT3,ZDT3,main,lhs,2,50,921,40038,39992,40088,40042,46,44.0,True,False,38,88
ZDT4,ZDT4,main,lhs,2,50,3845,40014,40000,40064,40050,14,10.0,True,False,14,64
ZDT6,ZDT6,main,lhs,2,50,950,40034,39994,40084,40044,40,42.0,True,False,34,84
swap_medium-lhs_DTLZ2,DTLZ2,medium,lhs,3,105,408,40088,39988,40193,40093,100,100.0,True,False,88,193
swap_medium-lhs_MMF16_20,MMF16_20,medium,lhs,3,105,512,40038,39952,40143,40057,86,82.0,True,False,38,143
swap_medium-lhs_WFG9,WFG9,medium,lhs,2,50,905,40024,39978,40074,40028,46,44.0,True,False,24,74
swap_medium-lhs_ZDT1,ZDT1,medium,lhs,2,50,852,40024,39974,40074,40024,50,48.0,True,False,24,74
swap_medium-lhs_ZDT4,ZDT4,medium,lhs,2,50,5465,40008,39998,40058,40048,10,8.0,True,False,8,58
swap_medium-mvns_DTLZ2,DTLZ2,medium,mvns,3,105,454,40026,39936,40131,40041,90,90.0,True,False,26,131
swap_medium-mvns_MMF16_20,MMF16_20,medium,mvns,3,105,647,40008,39938,40113,40043,70,66.0,True,False,8,113
swap_medium-mvns_WFG9,WFG9,medium,mvns,2,50,954,40004,39962,40054,40012,42,42.0,True,False,4,54
swap_medium-mvns_ZDT1,ZDT1,medium,mvns,2,50,864,40034,39988,40084,40038,46,46.0,True,False,34,84
swap_medium-mvns_ZDT4,ZDT4,medium,mvns,2,50,3660,40008,39994,40058,40044,14,12.0,True,False,8,58
swap_small-lhs_DTLZ2,DTLZ2,small,lhs,3,105,504,40078,39994,40183,40099,84,80.0,True,False,78,183
swap_small-lhs_MMF16_20,MMF16_20,small,lhs,3,105,595,40032,39958,40137,40063,74,68.0,True,False,32,137
swap_small-lhs_WFG9,WFG9,small,lhs,2,50,906,40040,39992,40090,40042,48,46.0,True,False,40,90
swap_small-lhs_ZDT1,ZDT1,small,lhs,2,50,878,40046,40000,40096,40050,46,46.0,True,False,46,96
swap_small-lhs_ZDT4,ZDT4,small,lhs,2,50,3845,40014,40000,40064,40050,14,10.0,True,False,14,64
swap_small-mvns_DTLZ2,DTLZ2,small,mvns,3,105,557,40068,39990,40173,40095,78,74.0,True,False,68,173
swap_small-mvns_MMF16_20,MMF16_20,small,mvns,3,105,507,40004,39918,40109,40023,86,82.0,True,False,4,109
swap_small-mvns_WFG9,WFG9,small,mvns,2,50,944,40028,39982,40078,40032,46,42.0,True,False,28,78
swap_small-mvns_ZDT1,ZDT1,small,mvns,2,50,854,40016,39968,40066,40018,48,48.0,True,False,16,66
swap_small-mvns_ZDT4,ZDT4,small,mvns,2,50,5548,40010,40000,40060,40050,10,8.0,True,False,10,60
