problema,D,M,n_gens,fbest_eq_nmin_prox,n_pares,fbest_eq_ymin_pos,nmin_eq_ymin_pre,nf1_eq_nf_prox,nmin_naocresce,nmax_naodecresce,maxfe,init,pool,aval_aquis,linhas_pool
BBOB_F1,10,2,200,199,199,3.5866915837345914e-07,1.1783028028844456e-06,199,199,199,309,109,100,4000000,20000
BBOB_F17,10,2,200,199,199,0.013213107769843191,0.013213107769843191,199,199,199,309,109,100,4000000,20000
BBOB_F22,10,2,200,199,199,5.931727241659246e-05,5.931727241659246e-05,199,199,199,309,109,100,4000000,20000
BBOB_F37,10,2,200,199,199,2.4981133719848003e-05,2.4981133719848003e-05,199,199,199,309,109,100,4000000,20000
BBOB_F49,10,2,200,199,199,2.565808387089419e-06,2.565808387089419e-06,199,199,199,309,109,100,4000000,20000
BBOB_F5,10,2,200,199,199,2.9309754609130323e-05,2.9309754609130323e-05,199,199,199,309,109,100,4000000,20000
BBOB_F55,10,2,200,199,199,1.8221229538539774e-06,1.8221229538539774e-06,199,199,199,309,109,100,4000000,20000
DTLZ1,7,3,140,139,139,5.539061959103364e-09,5.539061959103364e-09,139,139,139,216,76,70,1960000,9800
DTLZ2,12,3,240,239,239,2.667471174500058e-10,2.667471174500058e-10,239,239,239,371,131,120,5760000,28800
DTLZ3,12,3,240,239,239,9.380015097981698e-09,2.4908005791246524e-07,239,239,239,371,131,120,5760000,28800
DTLZ4,12,3,240,239,239,9.813794055180125e-09,9.813794055180125e-09,239,239,239,371,131,120,5760000,28800
DTLZ7,22,3,440,439,439,6.007356834203392e-08,6.007356834203392e-08,439,439,439,681,241,220,19360000,96800
MMF1,2,2,40,39,39,2.5330575137427758e-09,2.5330575137427758e-09,39,39,39,61,21,20,160000,800
MMF11_L,2,2,40,39,39,4.775243467314283e-08,4.775243467314283e-08,39,39,39,61,21,20,160000,800
MMF16_20,20,3,400,399,399,7.084027375120483e-13,1.761350180290444e-11,399,399,399,619,219,200,16000000,80000
MMF4,2,2,40,39,39,8.034932441614018e-10,8.034932441614018e-10,39,39,39,61,21,20,160000,800
WFG1,22,2,440,439,439,4.758011939998141e-08,4.758011939998141e-08,439,439,439,681,241,220,19360000,96800
WFG2,22,2,440,439,439,2.8792879858130505e-08,2.8792879858130505e-08,439,439,439,681,241,220,19360000,96800
WFG4,22,2,440,439,439,3.0487011359880967e-08,3.0487011359880967e-08,439,439,439,681,241,220,19360000,96800
WFG5,22,2,440,439,439,1.6654935874882426e-08,1.6654935874882426e-08,439,439,439,681,241,220,19360000,96800
WFG9,22,2,440,439,439,3.2090404333828815e-08,3.2090404333828815e-08,439,439,439,681,241,220,19360000,96800
ZDT1,30,2,600,599,599,7.518872913170327e-09,9.006027168467767e-08,599,599,599,929,329,300,36000000,180000
ZDT3,30,2,600,599,599,2.5895739663717166e-08,9.107420417819867e-08,599,599,599,929,329,300,36000000,180000
ZDT4,10,2,200,199,199,2.820037764195149e-06,2.820037764195149e-06,199,199,199,309,109,100,4000000,20000
ZDT6,10,2,200,199,199,1.4639074508160377e-08,4.009881671152016e-08,199,199,199,309,109,100,4000000,20000
