problema,n_gens,front_exato,front_bracket,rel_max_lt1e5,rel_max_med,rel_max_max,rel_inf_lt1e5,rel_inf_med,argmax_ok,gap_gt1e6,gap_med,gap_max,rel_med_lt1e5,clones_tot,pool_n,clone_share,u11_err_med,u11_err_rel_med,u11_otim_frac,u11_cob_frac,eim_best_ini,eim_best_fim,eim_med_ini,eim_med_fim,s_best_min
BBOB_F1,200,200,200,200,0.0,3.150429242446205e-07,200,0.0,195,0,0.0,6.240678929005846e-07,200,0,100,0.0,0.017405342722611294,0.0001719088256783853,0.5575,0.9825,0.23977381384696117,0.0,0.23977380338730378,0.0,5.808046807942446e-06
BBOB_F17,200,200,200,200,1.8326565131459255e-08,3.562940675671735e-07,200,1.4147102874113891e-08,104,0,0.0,1.282070436813765e-07,200,2,100,0.0001,154594.32875869283,1.1497935071852954,0.75,0.885,0.2731937833954133,0.01965979297937956,0.2731937791837758,0.019659792591090908,0.00030529676587320864
BBOB_F22,200,200,200,200,2.4016630269390058e-08,1.2844586898472843e-07,200,1.4886307222574623e-08,99,0,5.0518285705662704e-11,1.7612124043967507e-07,200,1,100,5e-05,40468.508824247154,7.4279716637988304,0.7775,0.8675,0.1467401465928394,0.005489178406715641,0.14674014646443306,0.0054616188812614585,0.0024787061847746372
BBOB_F37,200,200,200,200,2.3370276287577928e-08,4.465320994526751e-07,200,2.008355302623111e-08,117,0,0.0,3.1292910867121906e-07,200,2,100,0.0001,304.140615280039,0.7703835827214219,0.7225,0.935,0.20260559293359653,0.01165423520876046,0.20260559285791463,0.011654233884461242,0.0034323299769312143
BBOB_F49,200,200,200,200,2.763156575497962e-08,5.81988852569647e-07,200,2.8329835683710678e-08,121,0,0.0,3.4133649008215434e-07,200,3,100,0.00015,199.3583306373913,0.6159393541014158,0.91,0.92,0.15542388558122447,0.016228919243059907,0.15542388404446306,0.016228919239136375,0.0014946195296943188
BBOB_F5,200,200,200,200,2.1426192693240647e-07,2.7914797351709814e-06,196,2.553880003179298e-07,144,11,0.0,7.255663506052224e-05,200,1,100,5e-05,42.851245972872235,0.06751176569448325,0.6625,0.85,0.35677878245668165,0.002013652055306489,0.35677878229452464,0.0020136391987319755,1.6591087614870048e-06
BBOB_F55,200,200,200,200,3.007613242870272e-08,1.5779386604257529e-06,200,2.938981699195067e-08,119,0,0.0,5.707988089330251e-07,200,9,100,0.00045,16.444365724101925,1.1736985273338503,0.745,0.5325,0.010268538249165352,0.21874455603291923,0.01026853824916525,0.21874455290710743,0.007833613082766533
DTLZ1,140,140,140,140,1.9230911512830735e-08,9.26788285461276e-08,140,1.6036044886575165e-08,62,0,1.479501657643734e-09,7.935619600081677e-08,140,1,70,0.00010204081632653062,101.11208557763507,36.637288443112176,0.7333333333333333,0.8,0.31880791360525923,0.2752226748739251,0.31880791360474847,0.27522267487368,0.0028914841823279858
DTLZ2,240,240,240,240,3.166847940246655e-08,2.4032952371088823e-07,240,2.062416453498596e-08,75,0,1.2501058879170836e-08,1.1591899655486123e-07,240,2,120,6.944444444444444e-05,0.3126403212963871,5108668187.365429,0.6958333333333333,0.7763888888888889,0.29067450923842014,0.0935963080482365,0.2906745082919958,0.09359630736819367,0.0017099622637033463
DTLZ3,240,240,240,240,2.6244248364186348e-08,1.0443500429569742e-07,240,1.6836672440968024e-08,63,0,1.78874404241941e-08,1.2217104949655746e-07,240,0,120,0.0,233.16435046288842,1175874127.3012228,0.6166666666666667,0.8708333333333333,0.2867736401068441,0.11364852487904423,0.286773640069662,0.11364852487723295,0.020378123968839645
