problema,M,n_gens,lam_med,lam_p99,lam_max,rel_med,rel_max,prev_med,prev_max,dentro_prev,s_arg_min,eim0_n,eim0_lam_min,eim0_s_min,eim0_s_max
BBOB_F1,2,200,1466.2556581781469,20122.031538448697,56990.49992356361,0.0,3.150429242446205e-07,0.2562953076746565,387.18188780995655,200,5.808046807942446e-06,189,184.71415059926187,4.940383223583922e-05,0.0018662402871996164
BBOB_F17,2,200,240.90891023094574,1254.9027434448612,1892.9166439386831,1.8326565131459255e-08,3.562940675671735e-07,0.0069192906817882,0.42714278947115986,200,0.0003053050022572279,0,,,
BBOB_F22,2,200,27.09708853828948,109.90347894946962,131.12194618474447,2.4016630269390058e-08,1.2844586898472843e-07,8.753315014297808e-05,0.002049561115655306,200,0.0024787061847746372,0,,,
BBOB_F37,2,200,20.965171099911394,102.98387875341774,150.846145698498,2.3370276287577928e-08,4.465320994526751e-07,5.2397638264162775e-05,0.002712554892551003,200,0.0034323297441005707,0,,,
BBOB_F49,2,200,7.208404962826686,78.14617391825705,129.78664833676228,2.763156575497962e-08,5.81988852569647e-07,6.194247468070098e-06,0.0020080297096360207,200,0.001494619995355606,0,,,
BBOB_F5,2,200,12356.684721311027,176463.58410339165,189884.184931833,2.1426192693240647e-07,2.7914797351709814e-06,18.202340578577996,4298.210583594627,200,1.6591087614870048e-06,0,,,
BBOB_F55,2,200,11.090859479291053,44.391031905979006,64.05766131457696,3.007613242870272e-08,1.5779386604257529e-06,1.4663616456869074e-05,0.0004891614881864845,200,0.007833613082766533,0,,,
DTLZ1,3,140,8.47990528945149,56.993490134122865,321.72992006964284,1.9230911512830735e-08,9.26788285461276e-08,8.572359458877023e-06,0.01233937042570338,140,0.0028914841823279858,0,,,
DTLZ2,3,240,27.55955390871572,333.22731596373745,544.5394043154466,3.166847940246655e-08,2.4032952371088823e-07,9.054533887398057e-05,0.03534831557896393,240,0.0017099634278565645,0,,,
DTLZ3,3,240,9.8670720384573,32.249150652256276,39.699619733631174,2.6244248364186348e-08,1.0443500429569742e-07,1.1606110884357737e-05,0.00018788096988140555,240,0.0203781146556139,0,,,
DTLZ4,3,240,18.032573967329583,159.35378248371123,264.2933921619734,2.5970234233445287e-08,8.260876193123505e-08,3.8763731958989955e-05,0.00832688774353059,240,0.0034597304183989763,0,,,
DTLZ7,3,440,6079.451594933718,24505.817230681936,66377.39908612498,1.6769676321570788e-08,2.7167920276778796e-07,4.4059435562764095,525.2312552259808,440,1.070729467755882e-05,0,,,
MMF1,2,40,6.6029547869253715,1778.0975492570292,2749.571617834364,1.6709751211579313e-08,9.904182326213391e-08,5.210030158612919e-06,0.9012394048691132,40,0.00023881914967205375,0,,,
MMF11_L,2,40,1436721.157627242,20636590.807912488,23083909.13567567,4.992071214480193e-08,5.057244911162059e-07,246682.9031440161,63522679.92307313,40,3.4830286210763006e-08,0,,,
MMF16_20,3,400,131.6279311482843,1848.0390071805966,2678.9150363205504,3.9307393437017324e-08,4.234297377752931e-07,0.0020655224773130513,0.8555156912594242,400,0.0002798343193717301,0,,,
MMF4,2,40,7.042020709882241,3122.747459254937,3825.667632890636,2.4907432203356694e-08,1.2829113971057652e-07,5.966087255160229e-06,1.7447153135951807,40,0.0002482837007846683,0,,,
WFG1,2,440,9.840176688718383,53.584637526243824,80.78323968445518,7.233602047249013e-08,1.5637311933560422e-06,1.1542925546145322e-05,0.0007779516951937836,440,0.012086001224815845,0,,,
WFG2,2,440,25.85293061807606,91.20420070116378,124.14094613045616,1.654037307967848e-07,1.2756436507832343e-06,7.96764089380849e-05,0.0018371313221651098,440,0.004919988568872213,0,,,
WFG4,2,440,11.282239266001586,28.47874738803716,34.54451098861278,1.241893029638107e-07,8.327112793500007e-07,1.5174038941026463e-05,0.000142255215578364,440,0.021831804886460304,0,,,
WFG5,2,440,17.110885245971748,78.91714001520478,166.0505820463626,1.5034730535258883e-07,1.1920207131926488e-06,3.49023841155113e-05,0.003286933398000693,440,0.005308297462761402,0,,,
WFG9,2,440,4.060036566213512,11.765607385229316,13.281191467917228,4.274632551259654e-08,1.786904339297465e-07,1.9650340453011935e-06,2.1027332163748428e-05,440,0.06405666470527649,0,,,
ZDT1,2,600,2056.7261222928632,18696.816822736826,17651497.44702888,1.8388499689911303e-08,1.7498860558778477e-05,0.5045020822649322,37142677.5601467,600,5.6359183986387507e-08,0,,,
ZDT3,2,600,8094.43245895405,22394.75676896104,27279.785527178894,1.4743966232255258e-08,2.784899595588847e-06,7.810594440839008,88.71396761046398,600,3.128335083601996e-05,0,,,
ZDT4,2,200,7682.588448207592,826122.8030212404,1096505.9056286875,6.322921543626223e-08,5.937610835826439e-07,7.035993109220257,143328.3330295787,200,6.12555766110745e-08,0,,,
ZDT6,2,200,5901.675528518224,133364.36825927882,151200.34213855356,3.976345908333114e-05,0.001845202978532686,4.1550419568454755,2725.3083542365616,200,6.613739060412627e-06,0,,,
