problema,geracao,n_front_log,weak,strict,eim_best,eim_lo,eim_hi,dentro,larg_rel,rel_hi,uniq,top_tie,n_sub,n_lin
DTLZ4,1,23,7,74,0.4897341316656362,0.4897341332500984,0.4897341332500984,False,0.0,3.235351848357267e-09,371,9,38,371
DTLZ4,2,23,7,74,0.054543293946366464,0.05454329371305151,0.05454329371305151,False,0.0,4.277610203047328e-09,371,9,38,371
DTLZ4,3,24,8,75,0.3390280270567801,0.33902802389132636,0.33902802389132636,False,0.0,9.336849699265528e-09,371,9,38,371
DTLZ4,4,24,8,75,0.5455994042629914,0.5455994078589129,0.5455994078589129,False,0.0,6.5907725199497314e-09,371,9,38,371
DTLZ4,5,24,8,76,0.3588200614494943,0.3588200619881685,0.3588200619881685,False,0.0,1.5012377350579492e-09,371,9,38,371
DTLZ4,6,24,8,76,0.09239744512481039,0.09239744796815165,0.09239744796815165,False,0.0,3.077294240165895e-08,371,9,38,371
DTLZ4,7,25,8,77,0.12993875909040092,0.129938757504879,0.129938757504879,False,0.0,1.2202070783683437e-08,371,9,38,371
DTLZ4,8,26,9,78,0.08480306617761446,0.08480306841373943,0.08480306841373943,False,0.0,2.6368444757237288e-08,371,9,38,371
DTLZ4,9,27,9,79,0.06633817921463896,0.06633818136258902,0.06633818136258902,False,0.0,3.237879141753877e-08,371,9,38,371
DTLZ4,10,27,9,79,0.23537189149947174,0.23537189856242383,0.23537189856242383,False,0.0,3.0007627670860864e-08,371,9,38,371
DTLZ4,11,27,9,80,0.12269778940630706,0.12269779336632698,0.12269779336632698,False,0.0,3.227458247006279e-08,371,9,38,371
DTLZ4,12,27,9,80,0.19236266243691028,0.19236266721593517,0.19236266721593517,False,0.0,2.4843827993937112e-08,371,9,38,371
DTLZ4,13,27,9,80,0.22789832554680742,0.2278983216090125,0.2278983216090125,False,0.0,1.7278735655567694e-08,371,9,38,371
DTLZ4,14,28,9,81,0.20384606827137544,0.20384607393847293,0.20384607393847293,False,0.0,2.7800867261193464e-08,371,9,38,371
DTLZ4,15,28,9,82,0.4490365267539298,0.4490365305509311,0.4490365305509311,False,0.0,8.45588520808438e-09,371,9,38,371
DTLZ4,16,29,9,83,0.3986394159642042,0.3986394172748717,0.3986394172748717,False,0.0,3.2878521565154997e-09,371,9,38,371
DTLZ4,17,29,9,84,0.1919218845409304,0.19192188720838557,0.19192188720838557,False,0.0,1.3898650379508118e-08,371,9,38,371
DTLZ4,18,29,9,85,0.19579838883363285,0.19579839323862963,0.19579839323862963,False,0.0,2.2497615073558873e-08,371,9,38,371
DTLZ4,19,29,9,85,0.21530345919225408,0.21530346657437768,0.21530346657437768,False,0.0,3.428706456711118e-08,371,9,38,371
DTLZ4,20,29,9,85,0.14104556484893366,0.14104555905771218,0.14104555905771218,False,0.0,4.1059224235773185e-08,371,9,38,371
DTLZ4,21,30,9,86,0.26465800218397306,0.26465801648664317,0.26465801648664317,False,0.0,5.404208444785684e-08,371,9,38,371
DTLZ4,22,30,9,87,0.21010420953978717,0.2101042074553779,0.2101042074553779,False,0.0,9.920835420813739e-09,371,9,38,371
DTLZ4,23,30,9,87,0.2049056566759323,0.20490566036571553,0.20490566036571553,False,0.0,1.800722971152837e-08,371,9,38,371
DTLZ4,24,30,9,87,0.2218822116324289,0.22188220961951557,0.22188220961951557,False,0.0,9.071990589981194e-09,371,9,38,371
DTLZ4,25,30,9,88,0.16031567022991408,0.1603156763024588,0.1603156763024588,False,0.0,3.787867217449186e-08,371,9,38,371
DTLZ4,26,30,9,89,0.09540180897506105,0.09540181271681815,0.09540181271681815,False,0.0,3.922102881283635e-08,371,9,38,371
DTLZ4,27,30,9,90,0.37376752598070584,0.3737675260451332,0.3737675260451332,False,0.0,1.7237279288235504e-10,371,9,38,371
DTLZ4,28,30,9,90,0.2995849831038659,0.29958497598066175,0.29958497598066175,False,0.0,2.3776906518640115e-08,371,9,38,371
DTLZ4,29,30,9,90,0.10623031033787414,0.10623030724016173,0.10623030724016173,False,0.0,2.9160344125683065e-08,371,9,38,371
DTLZ4,30,30,9,91,0.16017469961324615,0.160174695387173,0.160174695387173,False,0.0,2.638414910900994e-08,371,9,38,371
DTLZ4,31,31,10,92,0.07930040702262836,0.0793004074222153,0.0793004074222153,False,0.0,5.038901412857201e-09,371,9,38,371
DTLZ4,32,31,10,93,0.12097967540862892,0.1209796760364998,0.1209796760364998,False,0.0,5.189887294430716e-09,371,9,38,371
DTLZ4,33,31,10,93,0.2262949769131744,0.22629497212655275,0.22629497212655275,False,0.0,2.1152133908973518e-08,371,9,38,371
DTLZ4,34,31,10,94,0.035623751573552555,0.03562375178281131,0.03562375178281131,False,0.0,5.874135847942559e-09,371,9,38,371
DTLZ4,35,31,10,95,0.04110094301331953,0.041100945706465795,0.041100945706465795,False,0.0,6.552516976611967e-08,371,9,38,371
DTLZ4,36,31,10,95,0.06767981568375202,0.06767981586978633,0.06767981586978633,False,0.0,2.748741424234681e-09,371,9,38,371
DTLZ4,37,31,10,96,0.04989979519082955,0.049899795884025974,0.049899795884025974,False,0.0,1.3891768918534861e-08,371,9,38,371
DTLZ4,38,31,10,96,0.04920573622822933,0.04920573741037242,0.04920573741037242,False,0.0,2.402449759650049e-08,371,9,38,371
DTLZ4,39,31,10,96,0.1156109945366349,0.1156109965902821,0.1156109965902821,False,0.0,1.7763424706910048e-08,371,9,38,371
DTLZ4,40,31,10,96,0.0972146933889161,0.09721469641965791,0.09721469641965791,False,0.0,3.117575856738117e-08,371,9,38,371
DTLZ4,41,31,10,97,0.08133628395236936,0.08133628068466711,0.08133628068466711,False,0.0,4.01752094992622e-08,371,9,38,371
DTLZ4,42,31,10,97,0.047726182824731185,0.04772618272753346,0.04772618272753346,False,0.0,2.036570208225192e-09,371,9,38,371
DTLZ4,43,31,10,97,0.04721214897258414,0.04721215029005096,0.04721215029005096,False,0.0,2.7905249916976545e-08,371,9,38,371
DTLZ4,44,31,10,98,0.21665592189554236,0.21665592805175743,0.21665592805175743,False,0.0,2.8414709423306145e-08,371,9,38,371
DTLZ4,45,31,10,99,0.13523003337553938,0.13523003902563296,0.13523003902563296,False,0.0,4.178135171902786e-08,371,9,38,371
DTLZ4,46,31,10,99,0.037212860707149555,0.03721286092457821,0.03721286092457821,False,0.0,5.8428364355592055e-09,371,9,38,371
DTLZ4,47,31,10,100,0.151894793992559,0.15189478800024594,0.15189478800024594,False,0.0,3.9450417653636575e-08,371,9,38,371
DTLZ4,48,31,10,101,0.03450662432949142,0.034506625515257884,0.034506625515257884,False,0.0,3.4363444330633346e-08,371,9,38,371
DTLZ4,49,31,10,101,0.11930864179593076,0.11930864539734688,0.11930864539734688,False,0.0,3.0185710518901486e-08,371,9,38,371
DTLZ4,50,31,10,101,0.19404146134016803,0.19404146872140365,0.19404146872140365,False,0.0,3.803947657236366e-08,371,9,38,371
DTLZ4,51,31,10,101,0.12982865003157293,0.1298286489244367,0.1298286489244367,False,0.0,8.527672557400824e-09,371,9,38,371
DTLZ4,52,31,10,102,0.13579268099526723,0.1357926794893884,0.1357926794893884,False,0.0,1.1089543466228181e-08,371,9,38,371
DTLZ4,53,31,10,102,0.04939985028574692,0.04939985196347739,0.04939985196347739,False,0.0,3.3962258159419673e-08,371,9,38,371
DTLZ4,54,31,10,102,0.36115058817257956,0.3611505886382896,0.3611505886382896,False,0.0,1.2895175623415459e-09,371,9,38,371
DTLZ4,55,31,10,102,0.049689698956367365,0.049689697375359804,0.049689697375359804,False,0.0,3.181761198369113e-08,371,9,38,371
DTLZ4,56,31,10,102,0.04409423796775344,0.04409424026555367,0.04409424026555367,False,0.0,5.211112230919631e-08,371,9,38,371
DTLZ4,57,31,10,103,0.06377909419085327,0.06377909607230454,0.06377909607230454,False,0.0,2.9499498172961787e-08,371,9,38,371
DTLZ4,58,32,10,104,0.05357428262696171,0.053574283949274826,0.053574283949274826,False,0.0,2.4681863168931336e-08,371,9,38,371
DTLZ4,59,32,10,104,0.06134586077990846,0.061345861314656136,0.061345861314656136,False,0.0,8.71693167063604e-09,371,9,38,371
DTLZ4,60,32,10,104,0.05245767290252587,0.052457674350064924,0.052457674350064924,False,0.0,2.759441991622701e-08,371,9,38,371
DTLZ4,61,32,10,104,0.04850699204209061,0.04850699397766002,0.04850699397766002,False,0.0,3.990289505894675e-08,371,9,38,371
DTLZ4,62,32,10,105,0.04357416269448117,0.043574161159829206,0.043574161159829206,False,0.0,3.521931039331977e-08,371,9,38,371
DTLZ4,63,32,10,105,0.2607423294126265,0.260742340281871,0.260742340281871,False,0.0,4.168576896941234e-08,371,9,38,371
DTLZ4,64,32,10,106,0.37587782912947754,0.3758778353630952,0.3758778353630952,False,0.0,1.658415898600557e-08,371,9,38,371
DTLZ4,65,32,10,107,0.05596776387886911,0.055967764632268435,0.055967764632268435,False,0.0,1.3461308258196166e-08,371,9,38,371
DTLZ4,66,32,10,108,0.0465415527925107,0.04654155401671959,0.04654155401671959,False,0.0,2.630356774941258e-08,371,9,38,371
DTLZ4,67,32,10,109,0.07178980354249992,0.07178980518382261,0.07178980518382261,False,0.0,2.2862894281367157e-08,371,9,38,371
DTLZ4,68,32,10,109,0.04291891081038427,0.04291891026855226,0.04291891026855226,False,0.0,1.2624551732190038e-08,371,9,38,371
DTLZ4,69,33,11,110,0.050473291057492854,0.05047329167271603,0.05047329167271603,False,0.0,1.21890838712482e-08,371,9,38,371
DTLZ4,70,33,11,111,0.09364644496234331,0.09364644693832766,0.09364644693832766,False,0.0,2.1100473692968926e-08,371,9,38,371
DTLZ4,71,33,11,111,0.34359787924969043,0.34359788446982753,0.34359788446982753,False,0.0,1.5192576600758432e-08,371,9,38,371
DTLZ4,72,34,11,112,0.14821799456800314,0.14821799866878416,0.14821799866878416,False,0.0,2.7667227803634892e-08,371,9,38,371
DTLZ4,73,34,11,112,0.05914662073730512,0.05914661964684353,0.05914661964684353,False,0.0,1.8436583113088663e-08,371,9,38,371
DTLZ4,74,34,11,113,0.05290558136425736,0.05290558252349558,0.05290558252349558,False,0.0,2.191145413041699e-08,371,9,38,371
DTLZ4,75,34,11,114,0.07721199302728211,0.07721199501991904,0.07721199501991904,False,0.0,2.580735002857595e-08,371,9,38,371
DTLZ4,76,34,11,114,0.05668987406172244,0.05668987835548156,0.05668987835548156,False,0.0,7.574120052576827e-08,371,9,38,371
DTLZ4,77,34,11,115,0.05921810281318842,0.05921810460581226,0.05921810460581226,False,0.0,3.027155136478996e-08,371,9,38,371
DTLZ4,78,35,11,116,0.19617517679727872,0.19617516994412687,0.19617516994412687,False,0.0,3.4933838029069524e-08,371,9,38,371
DTLZ4,79,35,11,116,0.26193932028122624,0.2619393282599159,0.2619393282599159,False,0.0,3.046006855650141e-08,371,9,38,371
DTLZ4,80,35,11,116,0.07624585064403722,0.07624585383465203,0.07624585383465203,False,0.0,4.184640589708993e-08,371,9,38,371
DTLZ4,81,35,11,116,0.08095687009682635,0.08095687042284573,0.08095687042284573,False,0.0,4.027074882845065e-09,371,9,38,371
DTLZ4,82,35,11,117,0.06079171859226356,0.0607917213986932,0.0607917213986932,False,0.0,4.616467027448202e-08,371,9,38,371
DTLZ4,83,35,11,118,0.07214591434334859,0.07214591498952058,0.07214591498952058,False,0.0,8.956459929793916e-09,371,9,38,371
DTLZ4,84,35,11,118,0.061552653033871335,0.06155265553852094,0.06155265553852094,False,0.0,4.0691172229312074e-08,371,9,38,371
DTLZ4,85,36,11,119,0.06143935304526413,0.06143935579672046,0.06143935579672046,False,0.0,4.478328949163897e-08,371,9,38,371
DTLZ4,86,36,11,120,0.063236021025606,0.06323602330925576,0.06323602330925576,False,0.0,3.611311588506248e-08,371,9,38,371
DTLZ4,87,36,11,120,0.060408748027285075,0.06040874980577322,0.06040874980577322,False,0.0,2.9440903835256113e-08,371,9,38,371
DTLZ4,88,36,11,121,0.07398658188318913,0.0739865836317593,0.0739865836317593,False,0.0,2.363361210956596e-08,371,9,38,371
DTLZ4,89,36,11,121,0.0710442775197867,0.07104427938743592,0.07104427938743592,False,0.0,2.6288524298333857e-08,371,9,38,371
DTLZ4,90,36,11,121,0.07241449689655337,0.07241449943688394,0.07241449943688394,False,0.0,3.508041455467485e-08,371,9,38,371
DTLZ4,91,36,11,121,0.07044392272121747,0.07044392305672585,0.07044392305672585,False,0.0,4.762772599859184e-09,371,9,38,371
DTLZ4,92,36,11,121,0.08823636145920596,0.08823635917667749,0.08823635917667749,False,0.0,2.5868343096193095e-08,371,9,38,371
DTLZ4,93,36,11,122,0.11631558266822419,0.11631558625934964,0.11631558625934964,False,0.0,3.0873984123051504e-08,371,9,38,371
DTLZ4,94,36,11,122,0.07032194237589837,0.07032194628361327,0.07032194628361327,False,0.0,5.5568927274147454e-08,371,9,38,371
DTLZ4,95,36,11,122,0.07139353149541254,0.07139352953830488,0.07139352953830488,False,0.0,2.74129548643698e-08,371,9,38,371
DTLZ4,96,36,11,122,0.08865871604773327,0.08865871941131893,0.08865871941131893,False,0.0,3.793857851706327e-08,371,9,38,371
DTLZ4,97,36,11,122,0.10845288736502139,0.10845289175367741,0.10845289175367741,False,0.0,4.0466013663189304e-08,371,9,38,371
DTLZ4,98,36,11,122,0.16717391355120748,0.16717391582784988,0.16717391582784988,False,0.0,1.3618407046978832e-08,371,9,38,371
DTLZ4,99,36,11,122,0.08691935429932507,0.08691935716059135,0.08691935716059135,False,0.0,3.291863247867926e-08,371,9,38,371
DTLZ4,100,36,11,123,0.16161960679990053,0.16161961354423732,0.16161961354423732,False,0.0,4.172969429286537e-08,371,9,38,371
DTLZ4,101,35,11,124,0.06689624512421745,0.06689624701748936,0.06689624701748936,False,0.0,2.8301617089694315e-08,371,9,38,371
DTLZ4,102,36,12,125,0.09127234157161733,0.09127234429344758,0.09127234429344758,False,0.0,2.9820975340738506e-08,371,9,38,371
DTLZ4,103,37,12,126,0.09710252470198469,0.09710252754907878,0.09710252754907878,False,0.0,2.9320494982011842e-08,371,9,38,371
DTLZ4,104,37,12,127,0.09732412938444442,0.09732412931183322,0.09732412931183322,False,0.0,7.460759761617632e-10,371,9,38,371
DTLZ4,105,37,12,127,0.11920192424659684,0.11920192407257131,0.11920192407257131,False,0.0,1.4599221547588093e-09,371,9,38,371
DTLZ4,106,37,12,128,0.07348430273014758,0.07348430260266435,0.07348430260266435,False,0.0,1.7348362516561858e-09,371,9,38,371
DTLZ4,107,37,12,128,0.24355909281892063,0.24355909199257159,0.24355909199257159,False,0.0,3.392807204127847e-09,371,9,38,371
DTLZ4,108,37,12,128,0.11376145214934724,0.11376145513998112,0.11376145513998112,False,0.0,2.6288640158208446e-08,371,9,38,371
DTLZ4,109,38,13,129,0.07052534736605658,0.07052534985459623,0.07052534985459623,False,0.0,3.528574824604405e-08,371,9,38,371
DTLZ4,110,38,13,130,0.08056464623294987,0.0805646445121863,0.0805646445121863,False,0.0,2.135879264364925e-08,371,9,38,371
DTLZ4,111,38,13,130,0.12534095747817445,0.12534095462163206,0.12534095462163206,False,0.0,2.2790175286585975e-08,371,9,38,371
DTLZ4,112,38,13,130,0.07690277296831345,0.07690277609173866,0.07690277609173866,False,0.0,4.061524821999795e-08,371,9,38,371
DTLZ4,113,38,13,130,0.0774237952222233,0.07742379757528794,0.07742379757528794,False,0.0,3.039200854409704e-08,371,9,38,371
DTLZ4,114,38,13,131,0.07318080398497862,0.07318080765946629,0.07318080765946629,False,0.0,5.021108641032791e-08,371,9,38,371
DTLZ4,115,38,13,131,0.08384816553153282,0.08384816826349842,0.08384816826349842,False,0.0,3.2582294208489796e-08,371,9,38,371
DTLZ4,116,38,13,132,0.0910042819054765,0.09100428420720619,0.09100428420720619,False,0.0,2.5292542654680427e-08,371,9,38,371
DTLZ4,117,38,13,132,0.07241602724909166,0.07241603174680994,0.07241603174680994,False,0.0,6.210943146160222e-08,371,9,38,371
DTLZ4,118,38,13,132,0.08366048128844915,0.08366048116008057,0.08366048116008057,False,0.0,1.5343992489396378e-09,371,9,38,371
DTLZ4,119,38,13,133,0.40727605247553533,0.40727606372858405,0.40727606372858405,False,0.0,2.763002795444825e-08,371,9,38,371
DTLZ4,120,39,13,134,0.07995532362750107,0.07995532543711126,0.07995532543711126,False,0.0,2.2632766672965433e-08,371,9,38,371
DTLZ4,121,39,13,134,0.080136267369711,0.08013626903285263,0.08013626903285263,False,0.0,2.0753919453526963e-08,371,9,38,371
DTLZ4,122,39,13,134,0.2781259500747531,0.2781259551862611,0.2781259551862611,False,0.0,1.8378392930521557e-08,371,9,38,371
DTLZ4,123,39,13,134,0.1351076099903492,0.13510761006478114,0.13510761006478114,False,0.0,5.509085154027923e-10,371,9,38,371
DTLZ4,124,39,13,135,0.09123057351690254,0.09123057223249749,0.09123057223249749,False,0.0,1.4078669080138886e-08,371,9,38,371
DTLZ4,125,39,13,135,0.05163561904368089,0.05163562184513664,0.05163562184513664,False,0.0,5.425432675777999e-08,371,9,38,371
DTLZ4,126,39,13,136,0.06290979423508021,0.06290979488949962,0.06290979488949962,False,0.0,1.0402504339906774e-08,371,9,38,371
DTLZ4,127,39,13,136,0.3329818928609547,0.33298190742892775,0.33298190742892775,False,0.0,4.37500457605635e-08,371,9,38,371
DTLZ4,128,39,13,136,0.06853814933739723,0.06853814731323361,0.06853814731323361,False,0.0,2.953338591819446e-08,371,9,38,371
DTLZ4,129,39,13,137,0.14088764865862544,0.1408876523942968,0.1408876523942968,False,0.0,2.6515250919110567e-08,371,9,38,371
DTLZ4,130,39,13,138,0.12853214342987052,0.12853214643552943,0.12853214643552943,False,0.0,2.3384492283361724e-08,371,9,38,371
DTLZ4,131,39,13,139,0.15566978977565826,0.15566979841347178,0.15566979841347178,False,0.0,5.548805283578419e-08,371,9,38,371
