problema,igd_plus,hv,igd,gd,spacing,n_nd,rank_main,n_algs,melhor_piso,piso_igd,razao,bate_piso,n_cp,viol_monot,fe_cp0,fe_cpN,cp0,cpN,ganho,maquina,wall_s
BBOB_F1,0.0276420881626532,0.9879527073255636,0.0535696171046178,0.0008368194731846,0.0732908902847531,11,4,17,nsga2,0.1359531134257377,0.20332074393980146,True,20,0,0.0,308.0,1.6651151931674129,0.027642088162653226,60.238401070477835,vm3,239.577298
BBOB_F17,0.0374176535155687,1.084195173562256,0.1117834008982693,0.0808350152384143,0.0924126908895125,11,16,17,nsga2,0.0206141256299147,1.8151462830550107,False,20,0,0.0,308.0,2.4167899424756034,0.03741765351556877,64.58956442765775,vm3,303.791654
BBOB_F22,0.1220040990666506,0.8718748282146399,0.189092673941024,0.1026955133752917,0.1455180596833754,7,7,17,smsemoa,0.1591300073706684,0.7666944851102858,True,20,0,0.0,308.0,6.550407018400444,0.12200409906665069,53.690056879334556,vm3,293.271302
BBOB_F37,0.2445803182962954,0.5604022729016197,0.2512185950354407,0.330837953057221,0.1108853998270664,7,10,17,smsemoa,0.2539185871646663,0.9632233741820757,True,20,0,0.0,308.0,1.182738987190214,0.2445803182962954,4.835789712880297,vm3,297.131504
BBOB_F49,0.4231228710204722,0.5558282513003946,0.4258809646025168,0.1759347809147642,0.113304658456527,9,15,17,nsga2,0.2070601036537373,2.043478504811591,False,20,0,0.0,308.0,1.3383037553621309,0.42312287102047225,3.1629199152824303,vm3,417.771627
BBOB_F5,0.0101328247170713,0.888044631520423,0.0129587513059895,0.0050093467400329,0.0267683422779054,61,3,17,smsemoa,0.1192824482234564,0.08494816184598332,True,20,0,0.0,308.0,0.9165469299595926,0.010132824717071385,90.45325025858094,vm3,283.085076
BBOB_F55,0.0677554515860199,1.028872388278575,0.099239162905401,0.0574384660479011,0.0613508899632082,10,3,16,nsga2,0.6061479210199184,0.11178039095145788,True,20,0,0.0,308.0,1.388541999942182,0.06775545158601998,20.49343584079485,vm3,348.415791
DTLZ1,71.50718014512064,0.0,71.50718014512064,245.9850339258035,38.55983575614978,29,7,17,nsga2,45.34570273153767,1.5769339945720549,False,20,0,0.0,215.0,541.7753550899159,71.50718014512064,7.576516847544637,vm3,188.376229
DTLZ2,0.1310105205192348,0.4119011750229103,0.2422836371062814,0.8921569957624454,0.2178454535425002,59,5,16,smsemoa,0.1700820491933293,0.7702783517754859,True,20,0,0.0,370.0,1.6297304711986438,0.1310105205192348,12.439691596823849,vm3,813.778135
DTLZ3,226.4054921046576,0.0,226.4065870153024,567.071652175413,145.2818039319117,17,7,16,smsemoa,129.76799112603217,1.7446944361246217,False,20,0,0.0,370.0,914.1600619307801,226.4054921046576,4.037711512352372,vm3,802.034141
