problema,nosso_D,nosso_M,paper_n,paper_m,nosso_fe,paper_fe,nosso_doe_frac,paper_doe_frac,fe_por_dim_nosso,fe_por_dim_paper,razao_D,razao_fe,nosso_igd,nosso_igdplus,nosso_hv,paper_igd_med,paper_hv,rank,n_algs
ZDT1,30,2,6,2,929,100,0.35414424111948334,0.65,30.966666666666665,16.666666666666668,5.0,9.29,0.1051498847624313,0.0947769077463407,0.7054581983260835,0.0181,120.64,7,16
ZDT3,30,2,6,2,929,100,0.35414424111948334,0.65,30.966666666666665,16.666666666666668,5.0,9.29,0.1659713807887393,0.1048392927317127,0.572921202867641,0.038,128.24,4,15
DTLZ2,12,3,6,3,371,200,0.353099730458221,0.325,30.916666666666668,33.333333333333336,2.0,1.855,0.2422836371062814,0.1310105205192348,0.4119011750229103,,15.026,5,16
DTLZ7,22,3,6,3,681,200,0.35389133627019087,0.325,30.954545454545453,33.333333333333336,3.6666666666666665,3.405,0.2063230274470845,0.1095217734963239,0.3653681191242002,,,6,15
