label,problema,D,M,lider,n_gen,front1_cru_bate,front1_amend_bate,ndsm_g1,ndsm_ult
BBOB_F1,BBOB_F1,10,2,RBFN,99,99,99,64,0
BBOB_F17,BBOB_F17,10,2,RBFN,99,98,98,56,0
BBOB_F22,BBOB_F22,10,2,RBFN,99,97,99,63,0
BBOB_F37,BBOB_F37,10,2,RBFN,99,89,99,64,0
BBOB_F49,BBOB_F49,10,2,RBFN,99,0,91,64,8
BBOB_F5,BBOB_F5,10,2,RBFN,99,0,99,62,2
BBOB_F55,BBOB_F55,10,2,RBFN,99,12,99,92,20
DTLZ1,DTLZ1,7,3,RBFN,99,24,99,66,22
DTLZ2,DTLZ2,12,3,RBFN,99,0,99,70,18
DTLZ3,DTLZ3,12,3,RBFN,99,0,99,84,8
DTLZ4,DTLZ4,12,3,RBFN,99,0,98,50,5
DTLZ7,DTLZ7,22,3,Kriging-DACE,99,67,67,79,0
MMF1,MMF1,2,2,RBFN,99,0,97,42,29
MMF11_L,MMF11_L,2,2,Kriging-DACE,99,37,37,29,0
MMF16_20,MMF16_20,20,3,RBFN,99,7,99,94,0
MMF4,MMF4,2,2,RBFN,99,95,99,41,0
WFG1,WFG1,22,2,RBFN,99,0,99,100,79
WFG2,WFG2,22,2,RBFN,99,37,99,100,95
WFG4,WFG4,22,2,RBFN,99,0,98,82,51
WFG5,WFG5,22,2,RBFN,99,0,99,71,19
WFG9,WFG9,22,2,RBFN,99,0,99,75,9
ZDT1,ZDT1,30,2,Kriging-DACE,99,32,32,77,0
ZDT3,ZDT3,30,2,Kriging-DACE,99,30,30,89,0
ZDT4,ZDT4,10,2,Kriging-DACE,99,47,47,76,0
ZDT6,ZDT6,10,2,RBFN,99,0,95,68,7
swap_medium-lhs_DTLZ2,DTLZ2,12,3,RBFN,99,0,99,94,26
swap_medium-lhs_MMF16_20,MMF16_20,20,3,RBFN,99,67,99,100,0
swap_medium-lhs_WFG9,WFG9,22,2,RBFN,99,0,99,84,7
swap_medium-lhs_ZDT1,ZDT1,30,2,Kriging-DACE,99,31,31,83,0
swap_medium-lhs_ZDT4,ZDT4,10,2,Kriging-DACE,99,77,77,93,0
swap_medium-mvns_DTLZ2,DTLZ2,12,3,RBFN,99,1,98,95,13
swap_medium-mvns_MMF16_20,MMF16_20,20,3,RBFN,99,67,99,99,0
swap_medium-mvns_WFG9,WFG9,22,2,RBFN,99,6,99,100,67
swap_medium-mvns_ZDT1,ZDT1,30,2,Kriging-DACE,99,50,50,84,0
swap_medium-mvns_ZDT4,ZDT4,10,2,Kriging-DACE,99,69,69,98,0
swap_small-lhs_DTLZ2,DTLZ2,12,3,RBFN,99,0,99,70,18
swap_small-lhs_MMF16_20,MMF16_20,20,3,RBFN,99,7,99,94,0
swap_small-lhs_WFG9,WFG9,22,2,RBFN,99,0,99,75,9
swap_small-lhs_ZDT1,ZDT1,30,2,Kriging-DACE,99,32,32,77,0
swap_small-lhs_ZDT4,ZDT4,10,2,Kriging-DACE,99,47,47,76,0
swap_small-mvns_DTLZ2,DTLZ2,12,3,RBFN,99,1,98,78,5
swap_small-mvns_MMF16_20,MMF16_20,20,3,RBFN,99,0,99,93,4
swap_small-mvns_WFG9,WFG9,22,2,RBFN,99,10,99,88,46
swap_small-mvns_ZDT1,ZDT1,30,2,Kriging-DACE,99,59,59,83,0
swap_small-mvns_ZDT4,ZDT4,10,2,Kriging-DACE,99,81,81,67,0
