label,problema,D,M,obj,wape,err_max,sigma_med,sigma_max,degenerado
BBOB_F1,BBOB_F1,10,2,0,0.1115722916786686,73.74449789334835,16.176834106445312,25.060848236083984,0
BBOB_F1,BBOB_F1,10,2,1,0.11196851439826207,73.7444971417649,16.176834106445312,25.060848236083984,0
BBOB_F17,BBOB_F17,10,2,0,0.08719299315199512,13116636.1996908,2753883.625,5082781.0,0
BBOB_F17,BBOB_F17,10,2,1,0.7410978801438143,3549.4031556553873,157.64976501464844,261.6139221191406,0
BBOB_F22,BBOB_F22,10,2,0,0.1289570446105037,736662.5407207673,135059.5390625,203430.015625,0
BBOB_F22,BBOB_F22,10,2,1,0.07117028881053128,1074.1440012029898,153.64111328125,359.1862487792969,0
BBOB_F37,BBOB_F37,10,2,0,0.05452485319626347,772.7471420503198,123.72173690795898,308.0797424316406,0
BBOB_F37,BBOB_F37,10,2,1,0.4582297906727717,12293.581895474174,598.8633422851562,795.0645751953125,0
BBOB_F49,BBOB_F49,10,2,0,0.31718665655631034,16472.388574485452,780.4241027832031,1277.3497314453125,0
BBOB_F49,BBOB_F49,10,2,1,0.05622408157877845,59.174934293102254,7.185371160507202,7.328557968139648,0
BBOB_F5,BBOB_F5,10,2,0,0.08791695754747023,88.7782350243883,14.744273662567139,19.395444869995117,0
BBOB_F5,BBOB_F5,10,2,1,0.10499271796030152,1246.5401805304814,247.50596618652344,359.0892639160156,0
BBOB_F55,BBOB_F55,10,2,0,0.05484605463146101,60.904935776903116,5.7096476554870605,6.244616508483887,0
BBOB_F55,BBOB_F55,10,2,1,0.05416378438670983,62.19144070015839,4.977960586547852,5.093998432159424,0
DTLZ1,DTLZ1,7,3,0,0.30963991151259385,240.0808680080964,26.252081871032715,33.6656608581543,0
DTLZ1,DTLZ1,7,3,1,0.31244876338192545,249.33404211635036,25.54239559173584,32.356285095214844,0
DTLZ1,DTLZ1,7,3,2,0.252291700339692,288.5507345237599,42.17095756530762,43.850563049316406,0
DTLZ2,DTLZ2,12,3,0,0.13291711502589917,0.8344731367769596,0.1466343253850937,0.20238904654979706,0
DTLZ2,DTLZ2,12,3,1,0.13892720982779816,0.8870125156488138,0.1544080227613449,0.19943568110466003,0
DTLZ2,DTLZ2,12,3,2,0.11267608301742864,0.8976382420050171,0.16201408207416534,0.1868620365858078,0
DTLZ3,DTLZ3,12,3,0,0.2968037081576624,767.1753442594381,166.37104034423828,169.5536651611328,0
DTLZ3,DTLZ3,12,3,1,0.2757174290173705,732.346912231035,162.87654876708984,169.02919006347656,0
