label,problema,M,geracao,kflag,n_obj_100pct,criterio,pares_ok,pares_total,n_julgados,pares_eq_n2,frac_ok,estrito_M,bate
BBOB_F1,BBOB_F1,2,57,0,0,0,290.0,40000.0,200,1,0.00725,0,1
BBOB_F1,BBOB_F1,2,58,0,0,0,250.0,40000.0,200,1,0.00625,0,1
BBOB_F1,BBOB_F1,2,59,0,0,0,266.0,40000.0,200,1,0.00665,0,1
BBOB_F1,BBOB_F1,2,60,0,0,0,292.0,40000.0,200,1,0.0073,0,1
BBOB_F1,BBOB_F1,2,61,0,0,0,448.0,40000.0,200,1,0.0112,0,1
BBOB_F1,BBOB_F1,2,62,0,0,0,234.0,40000.0,200,1,0.00585,0,1
BBOB_F1,BBOB_F1,2,63,0,0,0,524.0,40000.0,200,1,0.0131,0,1
BBOB_F1,BBOB_F1,2,64,0,0,0,248.0,40000.0,200,1,0.0062,0,1
BBOB_F1,BBOB_F1,2,65,0,0,0,240.0,40000.0,200,1,0.006,0,1
BBOB_F1,BBOB_F1,2,66,0,0,0,232.0,40000.0,200,1,0.0058,0,1
BBOB_F1,BBOB_F1,2,67,0,0,0,370.0,40000.0,200,1,0.00925,0,1
BBOB_F1,BBOB_F1,2,68,0,0,0,364.0,40000.0,200,1,0.0091,0,1
BBOB_F1,BBOB_F1,2,69,0,0,0,254.0,40000.0,200,1,0.00635,0,1
BBOB_F1,BBOB_F1,2,70,0,0,0,258.0,40000.0,200,1,0.00645,0,1
BBOB_F1,BBOB_F1,2,71,0,0,0,276.0,40000.0,200,1,0.0069,0,1
BBOB_F1,BBOB_F1,2,72,0,0,0,440.0,40000.0,200,1,0.011,0,1
BBOB_F1,BBOB_F1,2,73,0,0,0,404.0,40000.0,200,1,0.0101,0,1
BBOB_F1,BBOB_F1,2,74,0,0,0,372.0,40000.0,200,1,0.0093,0,1
BBOB_F1,BBOB_F1,2,75,0,0,0,592.0,40000.0,200,1,0.0148,0,1
BBOB_F1,BBOB_F1,2,76,0,0,0,748.0,40000.0,200,1,0.0187,0,1
BBOB_F1,BBOB_F1,2,77,0,0,0,468.0,40000.0,200,1,0.0117,0,1
BBOB_F1,BBOB_F1,2,78,0,0,0,302.0,40000.0,200,1,0.00755,0,1
BBOB_F1,BBOB_F1,2,79,0,0,0,290.0,40000.0,200,1,0.00725,0,1
BBOB_F1,BBOB_F1,2,80,0,0,0,290.0,40000.0,200,1,0.00725,0,1
BBOB_F1,BBOB_F1,2,81,0,0,0,346.0,40000.0,200,1,0.00865,0,1
BBOB_F1,BBOB_F1,2,82,0,0,0,550.0,40000.0,200,1,0.01375,0,1
BBOB_F1,BBOB_F1,2,83,0,0,0,432.0,40000.0,200,1,0.0108,0,1
BBOB_F1,BBOB_F1,2,84,0,0,0,304.0,40000.0,200,1,0.0076,0,1
BBOB_F1,BBOB_F1,2,85,0,0,0,398.0,40000.0,200,1,0.00995,0,1
BBOB_F1,BBOB_F1,2,86,0,0,0,374.0,40000.0,200,1,0.00935,0,1
BBOB_F1,BBOB_F1,2,87,0,0,0,512.0,40000.0,200,1,0.0128,0,1
BBOB_F1,BBOB_F1,2,88,0,0,0,380.0,40000.0,200,1,0.0095,0,1
BBOB_F1,BBOB_F1,2,89,0,0,0,502.0,40000.0,200,1,0.01255,0,1
BBOB_F1,BBOB_F1,2,90,0,0,0,500.0,40000.0,200,1,0.0125,0,1
BBOB_F1,BBOB_F1,2,91,0,0,0,454.0,40000.0,200,1,0.01135,0,1
BBOB_F1,BBOB_F1,2,92,0,0,0,306.0,40000.0,200,1,0.00765,0,1
BBOB_F1,BBOB_F1,2,93,0,0,0,304.0,40000.0,200,1,0.0076,0,1
BBOB_F1,BBOB_F1,2,94,0,0,0,474.0,40000.0,200,1,0.01185,0,1
BBOB_F1,BBOB_F1,2,95,0,0,0,332.0,40000.0,200,1,0.0083,0,1
BBOB_F1,BBOB_F1,2,96,0,0,0,406.0,40000.0,200,1,0.01015,0,1
BBOB_F1,BBOB_F1,2,97,0,0,0,346.0,40000.0,200,1,0.00865,0,1
BBOB_F1,BBOB_F1,2,98,0,0,0,302.0,40000.0,200,1,0.00755,0,1
BBOB_F1,BBOB_F1,2,99,0,0,0,378.0,40000.0,200,1,0.00945,0,1
BBOB_F17,BBOB_F17,2,1,0,0,0,149909.0,167281.0,409,1,0.8961507881947143,0,1
BBOB_F17,BBOB_F17,2,2,0,0,0,18370.0,40000.0,200,1,0.45925,0,1
BBOB_F17,BBOB_F17,2,3,0,0,0,11606.0,40000.0,200,1,0.29015,0,1
BBOB_F17,BBOB_F17,2,4,0,0,0,12066.0,40000.0,200,1,0.30165,0,1
BBOB_F17,BBOB_F17,2,5,0,0,0,15102.0,40000.0,200,1,0.37755,0,1
BBOB_F17,BBOB_F17,2,6,0,0,0,15870.0,40000.0,200,1,0.39675,0,1
BBOB_F17,BBOB_F17,2,7,0,0,0,17614.0,40000.0,200,1,0.44035,0,1
BBOB_F17,BBOB_F17,2,8,0,0,0,18018.0,40000.0,200,1,0.45045,0,1
BBOB_F17,BBOB_F17,2,9,0,0,0,16900.0,40000.0,200,1,0.4225,0,1
BBOB_F17,BBOB_F17,2,10,0,0,0,14976.0,40000.0,200,1,0.3744,0,1
BBOB_F17,BBOB_F17,2,11,0,0,0,10674.0,40000.0,200,1,0.26685,0,1
BBOB_F17,BBOB_F17,2,12,0,0,0,6680.0,40000.0,200,1,0.167,0,1
BBOB_F17,BBOB_F17,2,13,0,0,0,2890.0,40000.0,200,1,0.07225,0,1
BBOB_F17,BBOB_F17,2,14,0,0,0,4108.0,40000.0,200,1,0.1027,0,1
BBOB_F17,BBOB_F17,2,15,0,0,0,4990.0,40000.0,200,1,0.12475,0,1
BBOB_F17,BBOB_F17,2,16,0,0,0,3690.0,40000.0,200,1,0.09225,0,1
BBOB_F17,BBOB_F17,2,17,0,0,0,3220.0,40000.0,200,1,0.0805,0,1
BBOB_F17,BBOB_F17,2,18,0,0,0,4310.0,40000.0,200,1,0.10775,0,1
BBOB_F17,BBOB_F17,2,19,0,0,0,4034.0,40000.0,200,1,0.10085,0,1
BBOB_F17,BBOB_F17,2,20,0,0,0,4034.0,40000.0,200,1,0.10085,0,1
BBOB_F17,BBOB_F17,2,21,0,0,0,4364.0,40000.0,200,1,0.1091,0,1
BBOB_F17,BBOB_F17,2,22,0,0,0,4244.0,40000.0,200,1,0.1061,0,1
BBOB_F17,BBOB_F17,2,23,0,0,0,6214.0,40000.0,200,1,0.15535,0,1
BBOB_F17,BBOB_F17,2,24,0,0,0,3828.0,40000.0,200,1,0.0957,0,1
BBOB_F17,BBOB_F17,2,25,0,0,0,4144.0,40000.0,200,1,0.1036,0,1
BBOB_F17,BBOB_F17,2,26,0,0,0,4682.0,40000.0,200,1,0.11705,0,1
BBOB_F17,BBOB_F17,2,27,0,0,0,4744.0,40000.0,200,1,0.1186,0,1
BBOB_F17,BBOB_F17,2,28,0,0,0,5954.0,40000.0,200,1,0.14885,0,1
BBOB_F17,BBOB_F17,2,29,0,0,0,5270.0,40000.0,200,1,0.13175,0,1
BBOB_F17,BBOB_F17,2,30,0,0,0,6712.0,40000.0,200,1,0.1678,0,1
BBOB_F17,BBOB_F17,2,31,0,0,0,4228.0,40000.0,200,1,0.1057,0,1
BBOB_F17,BBOB_F17,2,32,0,0,0,6948.0,40000.0,200,1,0.1737,0,1
BBOB_F17,BBOB_F17,2,33,0,0,0,5790.0,40000.0,200,1,0.14475,0,1
BBOB_F17,BBOB_F17,2,34,0,0,0,5196.0,40000.0,200,1,0.1299,0,1
BBOB_F17,BBOB_F17,2,35,0,0,0,5686.0,40000.0,200,1,0.14215,0,1
BBOB_F17,BBOB_F17,2,36,0,0,0,5458.0,40000.0,200,1,0.13645,0,1
BBOB_F17,BBOB_F17,2,37,0,0,0,3866.0,40000.0,200,1,0.09665,0,1
BBOB_F17,BBOB_F17,2,38,0,0,0,5166.0,40000.0,200,1,0.12915,0,1
BBOB_F17,BBOB_F17,2,39,0,0,0,6264.0,40000.0,200,1,0.1566,0,1
BBOB_F17,BBOB_F17,2,40,0,0,0,4580.0,40000.0,200,1,0.1145,0,1
BBOB_F17,BBOB_F17,2,41,0,0,0,5292.0,40000.0,200,1,0.1323,0,1
BBOB_F17,BBOB_F17,2,42,0,0,0,4322.0,40000.0,200,1,0.10805,0,1
BBOB_F17,BBOB_F17,2,43,0,0,0,4168.0,40000.0,200,1,0.1042,0,1
BBOB_F17,BBOB_F17,2,44,0,0,0,5424.0,40000.0,200,1,0.1356,0,1
BBOB_F17,BBOB_F17,2,45,0,0,0,5982.0,40000.0,200,1,0.14955,0,1
BBOB_F17,BBOB_F17,2,46,0,0,0,5438.0,40000.0,200,1,0.13595,0,1
BBOB_F17,BBOB_F17,2,47,0,0,0,6304.0,40000.0,200,1,0.1576,0,1
BBOB_F17,BBOB_F17,2,48,0,0,0,5198.0,40000.0,200,1,0.12995,0,1
BBOB_F17,BBOB_F17,2,49,0,0,0,4834.0,40000.0,200,1,0.12085,0,1
BBOB_F17,BBOB_F17,2,50,0,0,0,3826.0,40000.0,200,1,0.09565,0,1
BBOB_F17,BBOB_F17,2,51,0,0,0,4662.0,40000.0,200,1,0.11655,0,1
BBOB_F17,BBOB_F17,2,52,0,0,0,4472.0,40000.0,200,1,0.1118,0,1
BBOB_F17,BBOB_F17,2,53,0,0,0,4438.0,40000.0,200,1,0.11095,0,1
BBOB_F17,BBOB_F17,2,54,0,0,0,3012.0,40000.0,200,1,0.0753,0,1
BBOB_F17,BBOB_F17,2,55,0,0,0,4946.0,40000.0,200,1,0.12365,0,1
BBOB_F17,BBOB_F17,2,56,0,0,0,5440.0,40000.0,200,1,0.136,0,1
BBOB_F17,BBOB_F17,2,57,0,0,0,5746.0,40000.0,200,1,0.14365,0,1
BBOB_F17,BBOB_F17,2,58,0,0,0,5382.0,40000.0,200,1,0.13455,0,1
BBOB_F17,BBOB_F17,2,59,0,0,0,4732.0,40000.0,200,1,0.1183,0,1
BBOB_F17,BBOB_F17,2,60,0,0,0,4950.0,40000.0,200,1,0.12375,0,1
BBOB_F17,BBOB_F17,2,61,0,0,0,4608.0,40000.0,200,1,0.1152,0,1
BBOB_F17,BBOB_F17,2,62,0,0,0,5472.0,40000.0,200,1,0.1368,0,1
BBOB_F17,BBOB_F17,2,63,0,0,0,4774.0,40000.0,200,1,0.11935,0,1
BBOB_F17,BBOB_F17,2,64,0,0,0,4060.0,40000.0,200,1,0.1015,0,1
BBOB_F17,BBOB_F17,2,65,0,0,0,4996.0,40000.0,200,1,0.1249,0,1
BBOB_F17,BBOB_F17,2,66,0,0,0,4640.0,40000.0,200,1,0.116,0,1
BBOB_F17,BBOB_F17,2,67,0,0,0,4952.0,40000.0,200,1,0.1238,0,1
BBOB_F17,BBOB_F17,2,68,0,0,0,4058.0,40000.0,200,1,0.10145,0,1
BBOB_F17,BBOB_F17,2,69,0,0,0,4294.0,40000.0,200,1,0.10735,0,1
BBOB_F17,BBOB_F17,2,70,0,0,0,5240.0,40000.0,200,1,0.131,0,1
BBOB_F17,BBOB_F17,2,71,0,0,0,4160.0,40000.0,200,1,0.104,0,1
BBOB_F17,BBOB_F17,2,72,0,0,0,6034.0,40000.0,200,1,0.15085,0,1
BBOB_F17,BBOB_F17,2,73,0,0,0,3786.0,40000.0,200,1,0.09465,0,1
BBOB_F17,BBOB_F17,2,74,0,0,0,4840.0,40000.0,200,1,0.121,0,1
BBOB_F17,BBOB_F17,2,75,0,0,0,5166.0,40000.0,200,1,0.12915,0,1
BBOB_F17,BBOB_F17,2,76,0,0,0,5136.0,40000.0,200,1,0.1284,0,1
BBOB_F17,BBOB_F17,2,77,0,0,0,4714.0,40000.0,200,1,0.11785,0,1
BBOB_F17,BBOB_F17,2,78,0,0,0,5048.0,40000.0,200,1,0.1262,0,1
BBOB_F17,BBOB_F17,2,79,0,0,0,3382.0,40000.0,200,1,0.08455,0,1
BBOB_F17,BBOB_F17,2,80,0,0,0,3824.0,40000.0,200,1,0.0956,0,1
BBOB_F17,BBOB_F17,2,81,0,0,0,5850.0,40000.0,200,1,0.14625,0,1
BBOB_F17,BBOB_F17,2,82,0,0,0,5204.0,40000.0,200,1,0.1301,0,1
BBOB_F17,BBOB_F17,2,83,0,0,0,5424.0,40000.0,200,1,0.1356,0,1
BBOB_F17,BBOB_F17,2,84,0,0,0,3952.0,40000.0,200,1,0.0988,0,1
BBOB_F17,BBOB_F17,2,85,0,0,0,4760.0,40000.0,200,1,0.119,0,1
BBOB_F17,BBOB_F17,2,86,0,0,0,5366.0,40000.0,200,1,0.13415,0,1
BBOB_F17,BBOB_F17,2,87,0,0,0,4310.0,40000.0,200,1,0.10775,0,1
BBOB_F17,BBOB_F17,2,88,0,0,0,4154.0,40000.0,200,1,0.10385,0,1
BBOB_F17,BBOB_F17,2,89,0,0,0,4182.0,40000.0,200,1,0.10455,0,1
BBOB_F17,BBOB_F17,2,90,0,0,0,4392.0,40000.0,200,1,0.1098,0,1
BBOB_F17,BBOB_F17,2,91,0,0,0,5510.0,40000.0,200,1,0.13775,0,1
BBOB_F17,BBOB_F17,2,92,0,0,0,5546.0,40000.0,200,1,0.13865,0,1
BBOB_F17,BBOB_F17,2,93,0,0,0,4962.0,40000.0,200,1,0.12405,0,1
BBOB_F17,BBOB_F17,2,94,0,0,0,4130.0,40000.0,200,1,0.10325,0,1
BBOB_F17,BBOB_F17,2,95,0,0,0,6186.0,40000.0,200,1,0.15465,0,1
BBOB_F17,BBOB_F17,2,96,0,0,0,4382.0,40000.0,200,1,0.10955,0,1
BBOB_F17,BBOB_F17,2,97,0,0,0,3502.0,40000.0,200,1,0.08755,0,1
BBOB_F17,BBOB_F17,2,98,0,0,0,4228.0,40000.0,200,1,0.1057,0,1
BBOB_F17,BBOB_F17,2,99,0,0,0,5616.0,40000.0,200,1,0.1404,0,1
BBOB_F22,BBOB_F22,2,1,0,0,0,151809.0,167281.0,409,1,0.9075089221130912,0,1
BBOB_F22,BBOB_F22,2,2,0,0,0,20210.0,40000.0,200,1,0.50525,0,1
BBOB_F22,BBOB_F22,2,3,0,0,0,12752.0,40000.0,200,1,0.3188,0,1
BBOB_F22,BBOB_F22,2,4,0,0,0,11512.0,40000.0,200,1,0.2878,0,1
BBOB_F22,BBOB_F22,2,5,0,0,0,8692.0,40000.0,200,1,0.2173,0,1
BBOB_F22,BBOB_F22,2,6,0,0,0,5066.0,40000.0,200,1,0.12665,0,1
BBOB_F22,BBOB_F22,2,7,0,0,0,2676.0,40000.0,200,1,0.0669,0,1
BBOB_F22,BBOB_F22,2,8,0,0,0,1620.0,40000.0,200,1,0.0405,0,1
BBOB_F22,BBOB_F22,2,9,0,0,0,1130.0,40000.0,200,1,0.02825,0,1
BBOB_F22,BBOB_F22,2,10,0,0,0,1240.0,40000.0,200,1,0.031,0,1
BBOB_F22,BBOB_F22,2,11,0,0,0,1366.0,40000.0,200,1,0.03415,0,1
BBOB_F22,BBOB_F22,2,12,0,0,0,1004.0,40000.0,200,1,0.0251,0,1
BBOB_F22,BBOB_F22,2,13,0,0,0,884.0,40000.0,200,1,0.0221,0,1
BBOB_F22,BBOB_F22,2,14,0,0,0,500.0,40000.0,200,1,0.0125,0,1
BBOB_F22,BBOB_F22,2,15,0,0,0,600.0,40000.0,200,1,0.015,0,1
BBOB_F22,BBOB_F22,2,16,0,0,0,732.0,40000.0,200,1,0.0183,0,1
BBOB_F22,BBOB_F22,2,17,0,0,0,492.0,40000.0,200,1,0.0123,0,1
BBOB_F22,BBOB_F22,2,18,0,0,0,426.0,40000.0,200,1,0.01065,0,1
BBOB_F22,BBOB_F22,2,19,0,0,0,352.0,40000.0,200,1,0.0088,0,1
BBOB_F22,BBOB_F22,2,20,0,0,0,624.0,40000.0,200,1,0.0156,0,1
BBOB_F22,BBOB_F22,2,21,0,0,0,462.0,40000.0,200,1,0.01155,0,1
BBOB_F22,BBOB_F22,2,22,0,0,0,204.0,40000.0,200,1,0.0051,0,1
BBOB_F22,BBOB_F22,2,23,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,24,0,0,0,238.0,40000.0,200,1,0.00595,0,1
BBOB_F22,BBOB_F22,2,25,0,0,0,212.0,40000.0,200,1,0.0053,0,1
BBOB_F22,BBOB_F22,2,26,0,0,0,202.0,40000.0,200,1,0.00505,0,1
BBOB_F22,BBOB_F22,2,27,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,28,0,0,0,232.0,40000.0,200,1,0.0058,0,1
BBOB_F22,BBOB_F22,2,29,0,0,0,204.0,40000.0,200,1,0.0051,0,1
BBOB_F22,BBOB_F22,2,30,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,31,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,32,0,0,0,204.0,40000.0,200,1,0.0051,0,1
BBOB_F22,BBOB_F22,2,33,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,34,0,0,0,202.0,40000.0,200,1,0.00505,0,1
BBOB_F22,BBOB_F22,2,35,0,0,0,224.0,40000.0,200,1,0.0056,0,1
BBOB_F22,BBOB_F22,2,36,0,0,0,206.0,40000.0,200,1,0.00515,0,1
BBOB_F22,BBOB_F22,2,37,0,0,0,212.0,40000.0,200,1,0.0053,0,1
BBOB_F22,BBOB_F22,2,38,0,0,0,204.0,40000.0,200,1,0.0051,0,1
BBOB_F22,BBOB_F22,2,39,0,0,0,278.0,40000.0,200,1,0.00695,0,1
BBOB_F22,BBOB_F22,2,40,0,0,0,212.0,40000.0,200,1,0.0053,0,1
BBOB_F22,BBOB_F22,2,41,0,0,0,272.0,40000.0,200,1,0.0068,0,1
BBOB_F22,BBOB_F22,2,42,0,0,0,256.0,40000.0,200,1,0.0064,0,1
BBOB_F22,BBOB_F22,2,43,0,0,0,326.0,40000.0,200,1,0.00815,0,1
BBOB_F22,BBOB_F22,2,44,0,0,0,330.0,40000.0,200,1,0.00825,0,1
BBOB_F22,BBOB_F22,2,45,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,46,0,0,0,204.0,40000.0,200,1,0.0051,0,1
BBOB_F22,BBOB_F22,2,47,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,48,0,0,0,248.0,40000.0,200,1,0.0062,0,1
BBOB_F22,BBOB_F22,2,49,0,0,0,270.0,40000.0,200,1,0.00675,0,1
BBOB_F22,BBOB_F22,2,50,0,0,0,206.0,40000.0,200,1,0.00515,0,1
BBOB_F22,BBOB_F22,2,51,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,52,0,0,0,250.0,40000.0,200,1,0.00625,0,1
BBOB_F22,BBOB_F22,2,53,0,0,0,230.0,40000.0,200,1,0.00575,0,1
BBOB_F22,BBOB_F22,2,54,0,0,0,202.0,40000.0,200,1,0.00505,0,1
BBOB_F22,BBOB_F22,2,55,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,56,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,57,0,0,0,336.0,40000.0,200,1,0.0084,0,1
BBOB_F22,BBOB_F22,2,58,0,0,0,342.0,40000.0,200,1,0.00855,0,1
BBOB_F22,BBOB_F22,2,59,0,0,0,250.0,40000.0,200,1,0.00625,0,1
BBOB_F22,BBOB_F22,2,60,0,0,0,258.0,40000.0,200,1,0.00645,0,1
BBOB_F22,BBOB_F22,2,61,0,0,0,246.0,40000.0,200,1,0.00615,0,1
BBOB_F22,BBOB_F22,2,62,0,0,0,226.0,40000.0,200,1,0.00565,0,1
BBOB_F22,BBOB_F22,2,63,0,0,0,256.0,40000.0,200,1,0.0064,0,1
BBOB_F22,BBOB_F22,2,64,0,0,0,202.0,40000.0,200,1,0.00505,0,1
BBOB_F22,BBOB_F22,2,65,0,0,0,220.0,40000.0,200,1,0.0055,0,1
BBOB_F22,BBOB_F22,2,66,0,0,0,270.0,40000.0,200,1,0.00675,0,1
BBOB_F22,BBOB_F22,2,67,0,0,0,204.0,40000.0,200,1,0.0051,0,1
BBOB_F22,BBOB_F22,2,68,0,0,0,256.0,40000.0,200,1,0.0064,0,1
BBOB_F22,BBOB_F22,2,69,0,0,0,286.0,40000.0,200,1,0.00715,0,1
BBOB_F22,BBOB_F22,2,70,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,71,0,0,0,218.0,40000.0,200,1,0.00545,0,1
BBOB_F22,BBOB_F22,2,72,0,0,0,238.0,40000.0,200,1,0.00595,0,1
BBOB_F22,BBOB_F22,2,73,0,0,0,204.0,40000.0,200,1,0.0051,0,1
BBOB_F22,BBOB_F22,2,74,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,75,0,0,0,270.0,40000.0,200,1,0.00675,0,1
BBOB_F22,BBOB_F22,2,76,0,0,0,222.0,40000.0,200,1,0.00555,0,1
BBOB_F22,BBOB_F22,2,77,0,0,0,294.0,40000.0,200,1,0.00735,0,1
BBOB_F22,BBOB_F22,2,78,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,79,0,0,0,248.0,40000.0,200,1,0.0062,0,1
BBOB_F22,BBOB_F22,2,80,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,81,0,0,0,388.0,40000.0,200,1,0.0097,0,1
BBOB_F22,BBOB_F22,2,82,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,83,0,0,0,316.0,40000.0,200,1,0.0079,0,1
BBOB_F22,BBOB_F22,2,84,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,85,0,0,0,282.0,40000.0,200,1,0.00705,0,1
BBOB_F22,BBOB_F22,2,86,0,0,0,200.0,40000.0,200,1,0.005,0,1
BBOB_F22,BBOB_F22,2,87,0,0,0,258.0,40000.0,200,1,0.00645,0,1
BBOB_F22,BBOB_F22,2,88,0,0,0,204.0,40000.0,200,1,0.0051,0,1
