label,exp,problema,D,M,n_dataset,tier,dist,igd_dataset,hv_dataset,nnd_dataset,igd_final,hv_final,nnd_final,igd_final_ndonly,ganho_igd,bate_dataset,n_final,nd_pos_real,fantasia,kflag_1,kflag_0,modelo,trocas,frac_pares_ok_med,frac_pares_ok_min,frac_obj_med,obj_100pct,obj_melhor_med,gen_kriging_estrito,sqrtmse_max_med,sqrtmse_med_med,div_modelos_med,div_modelos_g1,div_modelos_g99,ndsm_g1,ndsm_g5,ndsm_g10,ndsm_g50,ndsm_g99,ger_zera,meia_vida,fuga_total,theta_min,theta_max,theta_parado_em_10,theta_no_piso,theta_no_teto,sigma2,sigma2_min,center_num,center_esperado,center_stock,spread,t_fit_krig,t_fit_rbfn,razao_fit
BBOB_F1,off,BBOB_F1,10,2,309,small,lhs,0.3862484203788069,0.37299179900417145,7,0.006707131941329389,1.0268755406557037,99,0.006707131941329389,0.9826351860940907,True,100,99,0.99,0,99,RBFN,0,0.01135,0.0058,"[0.0058, 0.0]",0,0.006,0,13.214288038895518,9.92482700003425,2.524878559550757,3.3544865622241757,2.486835601859306,64,1,0,0,0,6.0,2,True,"[0.0018877486253634037, 0.0018877486253634037]","[1.4030775603867442, 1.4030775603867442]",False,0,0,"[608.3815638224729, 608.3815638224727]",608.3815638224727,18,18,11,61.70018419252148,3.724691,0.595558,6.254119665926744
BBOB_F17,off,BBOB_F17,10,2,309,small,lhs,0.07688428143559754,1.041249326073213,8,0.0809068278140177,1.0039655088435206,9,0.0809068278140177,-0.05231948980091161,False,100,9,0.09,0,99,RBFN,0,0.1238,0.07225,"[0.1188, 0.0]",0,0.1188,0,4974942.013170676,1093143.9000962237,3836917.22704098,2882599.884541588,3846806.9124687673,56,0,0,0,0,5.0,2,True,"[0.001, 0.001]","[7.780964126271011, 5.146511183217452]",False,2,0,"[23392613151610.844, 64913.61963780023]",64913.61963780023,18,18,11,62.86993142631733,3.833813,0.631,6.075773375594295
BBOB_F22,off,BBOB_F22,10,2,309,small,lhs,1.0748151779345663,0.0,4,0.4649127323552117,0.4546381554234699,20,0.4649127323552117,0.5674486721999797,True,100,20,0.2,0,99,RBFN,0,0.0059,0.005,"[0.0, 0.0009]",0,0.0009,0,181289.7575030456,45787.745776088996,89962.83100313926,47385.13083004704,87620.11035646845,63,6,0,0,0,7.0,2,True,"[0.001, 0.0024414062500001063]","[0.7874506561843053, 0.7874506561843053]",False,1,0,"[37259299275.55588, 208878.4022847144]",208878.4022847144,18,18,11,60.743458358147535,4.011189,0.711172,5.640251584708059
BBOB_F37,off,BBOB_F37,10,2,309,small,lhs,0.5034143939497656,0.2872380290796646,3,0.3101446345657044,0.39286951878392024,5,0.3101446345657044,0.38391782536783625,True,100,5,0.05,0,99,RBFN,0,0.01225,0.005,"[0.00725, 0.0]",0,0.00725,0,608.3446870765889,249.20439921996106,751.149599967022,271.19379512385086,749.9030677578309,64,4,2,0,0,14.0,2,True,"[0.001, 0.0015874010519682088]","[0.6249999999999896, 2.6486577358982335]",False,1,0,"[165251.8322483199, 571649.9075985813]",165251.8322483199,18,18,11,67.95185633272206,4.359239,0.64942,6.712511163807704
BBOB_F49,off,BBOB_F49,10,2,309,small,lhs,0.33490728311011936,0.562277158435098,7,0.3347313389783466,0.5628991429732192,15,0.3347313389783466,0.0005253517634458138,True,100,15,0.15,0,99,RBFN,0,0.0458,0.0351,"[0.005075, 0.040625]",0,0.040625,0,979.9479762547255,17.281226421954354,525.1031255970042,243.75198202384345,533.9997867299112,64,14,10,8,8,,2,False,"[0.001, 0.001]","[2.428829852884013, 157.99103955709916]",False,2,0,"[1419581.2527296776, 49.8631023144871]",49.8631023144871,18,18,11,65.90473281861358,4.144206,0.663345,6.247436854125681
BBOB_F5,off,BBOB_F5,10,2,309,small,lhs,0.5185289806592093,0.1963538057469066,10,0.08428194447892468,0.7342992828165342,74,0.08428194447892468,0.8374595295102378,True,100,74,0.74,0,99,RBFN,0,0.05595,0.0248,"[0.0507, 0.0218]",0,0.0507,0,249.09110559203828,46.55741022349305,318.84034562719535,87.92062567540647,318.86487155015107,62,6,3,2,2,,3,False,"[0.024607833005758955, 0.006151958251439824]","[1.2500000000000067, 2.5000000000000595]",False,0,0,"[336.3624364623531, 114866.46634094193]",336.3624364623531,18,18,11,63.89816239562842,4.00929,0.846815,4.734552411093333
BBOB_F55,off,BBOB_F55,10,2,309,small,lhs,0.9561693927609834,0.03203052577562067,4,0.9561693974866271,0.03203052147834735,4,0.9561693974866271,-4.942266151886088e-09,False,100,4,0.04,0,99,RBFN,0,0.1055,0.08475,"[0.0614, 0.05485]",0,0.0631,0,5.944313116118819,4.917968445136351,7.184249241186458,5.177117917923681,7.202897598712238,92,61,45,20,20,,8,False,"[0.021923086881042237, 0.001]","[3.535533905932759, 819.9123898338103]",False,1,0,"[35.514005497574274, 23.939994956027956]",23.939994956027956,18,18,11,63.40007472558396,3.738644,0.580335,6.44221699535613
DTLZ1,off,DTLZ1,7,3,216,small,lhs,75.32352791621113,0.0,35,75.32358173827524,0.0,24,75.32358173827524,-7.145451839107864e-07,False,100,24,0.24,0,99,RBFN,0,0.20075,0.1544,"[0.200975, 0.306525, 0.23225]",0,0.307325,0,43.472606927391254,28.585611658793482,21.032292525106772,25.17827968332363,21.693825572635586,66,37,31,23,22,,7,False,"[0.05741150360451571, 0.0984313320230372, 0.006393479370971578]","[3.401975000435918, 4.286219914265341, 58.789379691023726]",False,0,0,"[997.5477872523398, 918.7028139482479, 1754.6222971544503]",918.7028139482479,15,15,9,5.66870118628357,2.180201,0.60095,3.6279241201431067
DTLZ2,off,DTLZ2,12,3,371,small,lhs,0.43823498936540817,0.055088833801757726,66,0.07575006422749106,0.5867407654860621,81,0.07575006422749106,0.8271473842442797,True,100,81,0.81,0,99,RBFN,0,0.4044,0.35055,"[0.36425, 0.414175, 0.393725]",0,0.414175,0,0.18748714174386683,0.13178231035392135,0.2156964499663134,0.17986393218633445,0.21691984365281367,70,40,30,18,18,,7,False,"[0.001, 0.001, 0.001]","[4.20448207626857, 9.284249141675256, 14.229930063768872]",False,3,0,"[0.03839025833723006, 0.03691911012882089, 0.03247945985710893]",0.03247945985710893,20,20,12,6.271725949897901,9.151553,0.754615,12.127446446201041
DTLZ3,off,DTLZ3,12,3,371,small,lhs,398.39091750128574,0.0,33,250.61629106443735,0.0,46,250.61629106443735,0.3709287033040142,True,100,46,0.46,0,99,RBFN,0,0.0589,0.0315,"[0.097075, 0.126125, 0.0868]",0,0.126125,0,189.5117673171943,170.3385144757079,184.39954213526264,168.9689337826071,199.3309005190666,84,57,48,13,8,,18,False,"[0.001, 0.001, 0.0010507566386532385]","[93.67594142478154, 17.535369818431906, 44.16358054695172]",False,2,0,"[26727.499742907396, 26462.584533273883, 32096.998291460033]",26462.584533273883,20,20,12,6.512588138642439,9.880279,0.699804,14.118637504215465
DTLZ4,off,DTLZ4,12,3,371,small,lhs,0.7908760920109282,0.0,8,0.5921455226533678,0.11918296790122998,22,0.5921455226533678,0.251279020019756,True,100,22,0.22,0,99,RBFN,0,0.042,0.0342,"[0.038325, 0.049475, 0.030075]",0,0.058575,0,0.2578049679829105,0.15844704364076798,0.2304550742984224,0.10444065613695626,0.23127750199093,50,6,5,5,5,,3,False,"[0.00657177828433794, 0.001, 0.001]","[3.7149857228423584, 6.802780424134887, 13.438194212094595]",False,2,0,"[0.06900251171603329, 0.025760308636197958, 0.027272357938987198]",0.025760308636197958,20,20,12,6.562486064340175,8.716033,0.572448,15.225894753759293
DTLZ7,off,DTLZ7,22,3,681,small,lhs,2.470206215881323,0.0,49,0.054448651346112625,0.5151803758967477,40,0.054448651346112625,0.9779578518602803,True,100,40,0.4,99,0,Kriging,0,1.0,1.0,"[1.0, 1.0, 0.0]",2,1.0,99,0.5082365974484678,7.018741419876475e-17,0.05694776374876471,0.10292426318030329,0.05998812449880899,79,0,0,0,0,5.0,2,True,"[10, 10, 10]","[10, 10, 10]",True,0,0,"[4.48181426033582e-33, 2.072788293468935e-33, 0.23346932477370075]",2.072788293468935e-33,27,27,16,6.780865538965875,123.416348,0.535653,230.40354109843497
MMF1,off,MMF1,2,2,61,small,lhs,0.05628669750862405,0.7380341971244623,12,0.04894027381483341,0.7677347664904137,37,0.04894027381483341,0.13051793796687128,True,100,37,0.37,0,99,RBFN,0,0.64795,0.5764,"[0.6426, 0.052575]",0,0.6426,0,2.031309990713399,0.10439519184302613,0.794089069272135,0.5130125131627913,0.7944556158441756,42,34,29,29,29,,1,False,"[0.8838834764831832, 10.000000000000009]","[5.000000000000004, 56.568542494923776]",False,0,0,"[0.047459062103394456, 3.6802329948075396]",0.047459062103394456,8,8,5,12.028945938223055,0.468571,0.78548,0.596540968579722
