problema,D,C,n_rsid_linhas,n_rsid_unicos,esperado_unicos,ciclos_conjunto_exato,rsid_sonda
BBOB_F1,10,66,453,198,198,66,0
BBOB_F17,10,66,801,198,198,66,0
BBOB_F22,10,66,619,198,198,66,0
BBOB_F37,10,66,557,198,198,66,0
BBOB_F49,10,66,664,198,198,66,0
BBOB_F5,10,66,553,198,198,66,0
BBOB_F55,10,66,446,198,198,66,0
DTLZ1,7,46,550,138,138,46,0
DTLZ2,12,80,910,240,240,80,0
DTLZ3,12,80,1036,240,240,80,0
DTLZ4,12,80,920,240,240,80,0
DTLZ7,22,146,1270,438,438,146,0
MMF1,2,13,312,39,39,13,0
MMF11_L,2,13,289,39,39,13,0
MMF16_20,20,133,1730,399,399,133,0
MMF4,2,13,312,39,39,13,0
WFG1,22,146,1442,438,438,146,0
WFG2,22,146,1681,438,438,146,0
WFG4,22,146,1491,438,438,146,0
WFG5,22,146,1301,438,438,146,0
WFG9,22,146,1219,438,438,146,0
ZDT1,30,200,1561,600,600,200,0
ZDT3,30,200,1716,600,600,200,0
ZDT4,10,66,665,198,198,66,0
ZDT6,10,66,542,198,198,66,0
