problema,D,M,igd_doe,igd_fin,ganho,nd_doe,nd_fin,hv_doe,hv_fin
BBOB_F1,10,2,0.5081541720123823,0.0841150912283766,0.8344693483568862,7,22,0.2872519427707468,0.8735335476037193
BBOB_F17,10,2,0.10567552474780093,0.025449054595285448,0.7591774002918776,6,15,1.014810130745111,1.1286458836912852
BBOB_F22,10,2,0.9286986822481096,0.23050086719345783,0.7518023104808523,5,14,0.0,0.7375352246120813
BBOB_F37,10,2,0.6755810637780066,0.1979404534507514,0.7070071023840984,5,12,0.12169186279737532,0.6065264181422775
BBOB_F49,10,2,0.5068137110939831,0.2726553045552879,0.4620206624506121,5,12,0.4345614743603784,0.7332066598639795
BBOB_F5,10,2,0.6099084260423756,0.09036487154288507,0.8518386241533796,7,16,0.07879277077616068,0.7184650199363076
BBOB_F55,10,2,1.0904652008015157,0.11728601770050828,0.8924440526719234,4,11,0.018450428239994543,0.9441334256372098
DTLZ1,7,3,115.24365938433125,79.38235156797764,0.31117814210288247,17,25,0.0,0.0
DTLZ2,12,3,0.44841921489682934,0.18696032605201846,0.5830679867386289,40,94,0.05217196099724282,0.3801926803324202
DTLZ3,12,3,446.9151347401834,299.9544918120799,0.3288334439905239,19,32,0.0,0.0
DTLZ4,12,3,0.8196035272025544,0.21363718761949443,0.7393408147611634,7,17,0.0,0.20315376237555066
DTLZ7,22,3,2.6969546366218813,0.6977032729539132,0.7412995889957446,21,34,0.0,0.0
MMF1,2,2,0.11779195093222931,0.06668599822697126,0.4338662557228674,7,11,0.6182973994996295,0.7470628104204576
MMF11_L,2,2,0.06137893229325984,0.026053871586411242,0.57552419677277,9,12,0.8850782507405461,0.9773035009888119
MMF16_20,20,3,0.07778609577957092,0.04027217363502174,0.4822702793935767,50,111,0.5558593727258982,0.6937271998570711
MMF4,2,2,0.06833914869566715,0.03112498249345951,0.5445512113112861,9,25,0.40594712307390246,0.47898106648887695
WFG1,22,2,1.0002612839786904,0.5217684614749941,0.4783678326531032,18,77,0.0,0.16732913794975837
WFG2,22,2,0.23508082231115943,0.20850268377978584,0.11305957785103385,8,8,0.4320540340571579,0.4555536770881249
WFG4,22,2,0.13446156282719976,0.08489705205125035,0.36861471586230277,30,49,0.20039566877866266,0.2649329510211888
WFG5,22,2,0.2161614851404197,0.13684617518066927,0.366926189039767,36,36,0.13197839756008167,0.20852536224366086
WFG9,22,2,0.23871495888219296,0.13454940281419597,0.4363595668899963,15,15,0.09152916062047177,0.18139627969384048
ZDT1,30,2,2.0959124181730164,0.3972630146418627,0.8104581989221894,14,26,0.0,0.29946826144423216
ZDT3,30,2,1.2547385087520777,0.3562110022142805,0.7161073803588316,12,17,0.0,0.2182485311188068
ZDT4,10,2,91.92166808266371,55.444167231813715,0.39683245106090065,8,1,0.0,0.0
ZDT6,10,2,7.997337194625095,4.277823731996254,0.46509398967554805,7,4,0.0,0.0
