problema,ciclo,ramo,val_global,val_escolhido,gap_rel,n_dup_X
BBOB_F17,39,convergencia,402007.65825398185,481122.0954287922,0.19679833344077025,2
BBOB_F22,19,incerteza,36796.03888320923,34384.81563949585,0.06552942427761344,2
BBOB_F37,21,convergencia,209.0262543904601,229.76961413019256,0.09923805887553222,3
DTLZ3,67,convergencia,808.9049546851251,810.8832732328524,0.0024456749044112457,2
DTLZ3,77,convergencia,780.3533886031951,787.2743387858941,0.00886899484743351,2
DTLZ7,56,incerteza,0.4078502307335536,0.37263008455435437,0.08635558723566925,2
WFG1,1,convergencia,2.9739333739973435,2.9748399438081483,0.0003048386418913922,3
WFG1,117,convergencia,1.5923758833286688,1.592843332869198,0.0002935547727287194,2
WFG1,135,incerteza,0.40509024262428284,0.36399854719638824,0.10143837373542154,3
WFG2,71,convergencia,1.3819320204718197,1.3917482074244076,0.00710323431773182,2
WFG2,101,incerteza,0.3714864253997803,0.333889976143837,0.1012054457050035,2
WFG4,90,convergencia,1.9642943465243983,1.9736930970394284,0.004784797416772181,2
WFG9,122,incerteza,0.5013488382101059,0.48982876539230347,0.022978158000586776,2
WFG9,145,incerteza,0.5481116026639938,0.5284398794174194,0.03588999603541263,3
ZDT4,47,convergencia,30.251767123055334,30.574058398399767,0.010653634679701414,3
