n_ciclos,inf_tot,inf_achados,conv_glob,conv_n,inc_glob,inc_n,conv_popmin,conv_cru,km_conv_ok,km_conv_n,km_inc_ok,km_inc_n,km3distintos,km_n,nf1_ok_pop,nf1_ok_arq,nf1_n,warm_inter,warm_n,blk1900,problema,D,M
66,198,198,45,45,21,21,33,37,101,135,53,63,45,66,0,37,66,0,65,66,BBOB_F1,10,2
66,198,198,44,45,21,21,20,22,119,135,56,63,53,66,0,46,66,0,65,66,BBOB_F17,10,2
66,198,198,48,48,17,18,8,41,100,144,46,54,43,66,1,44,66,0,65,66,BBOB_F22,10,2
66,198,198,46,47,19,19,13,36,106,141,54,57,51,66,1,44,66,0,65,66,BBOB_F37,10,2
66,198,198,48,48,18,18,13,33,109,144,49,54,57,66,0,43,66,0,65,66,BBOB_F49,10,2
66,198,198,46,46,20,20,14,44,88,138,57,60,50,66,1,43,66,0,65,66,BBOB_F5,10,2
66,198,198,51,51,15,15,35,33,122,153,40,45,46,66,0,39,66,0,65,66,BBOB_F55,10,2
46,138,138,35,35,11,11,28,35,93,105,33,33,39,46,0,31,46,0,45,46,DTLZ1,7,3
80,240,240,64,64,16,16,61,64,155,192,48,48,61,80,0,18,80,0,79,80,DTLZ2,12,3
80,240,240,58,60,20,20,49,57,165,180,55,60,70,80,0,57,80,0,79,80,DTLZ3,12,3
80,240,240,56,56,24,24,5,55,120,168,67,72,53,80,0,0,80,0,79,80,DTLZ4,12,3
146,438,438,95,95,50,51,55,95,199,285,139,153,120,146,0,95,146,0,145,146,DTLZ7,22,3
13,39,39,8,8,5,5,2,2,18,24,12,15,9,13,0,10,13,0,12,13,MMF1,2,2
13,39,39,9,9,4,4,2,3,15,27,10,12,11,13,0,4,13,0,12,13,MMF11_L,2,2
133,399,399,97,97,36,36,66,97,265,291,105,108,114,133,1,63,133,0,132,133,MMF16_20,20,3
13,39,39,9,9,4,4,5,8,20,27,11,12,9,13,0,0,13,0,12,13,MMF4,2,2
146,438,438,111,113,32,33,15,16,204,339,89,99,82,146,0,78,146,0,145,146,WFG1,22,2
146,438,438,106,107,38,39,44,70,237,321,102,117,105,146,0,140,146,0,145,146,WFG2,22,2
146,438,438,108,109,37,37,9,94,222,327,96,111,108,146,0,83,146,0,145,146,WFG4,22,2
146,438,438,107,107,39,39,30,57,223,321,101,117,106,146,0,106,146,0,145,146,WFG5,22,2
146,438,438,102,102,42,44,32,48,216,306,111,132,103,146,0,128,146,0,145,146,WFG9,22,2
200,600,600,145,145,55,55,70,45,338,435,154,165,150,200,4,158,200,0,199,200,ZDT1,30,2
200,600,600,145,145,55,55,20,133,313,435,150,165,162,200,0,142,200,0,199,200,ZDT3,30,2
66,198,198,43,44,22,22,40,43,97,132,59,66,50,66,1,58,66,0,65,66,ZDT4,10,2
66,198,198,49,49,17,17,23,39,118,147,49,51,52,66,0,50,66,0,65,66,ZDT6,10,2
