problema,D,C,hard_stop,Gstart,Gstart_impar,n_blocos,esperado,cad_ok,finalprobe_usado,falta,extra,overshoot,infills_ciclo_abortado
BBOB_F1,10,66,True,67,True,35,35,True,True,[],[],1,2
BBOB_F17,10,66,True,67,True,35,35,True,True,[],[],1,2
BBOB_F22,10,66,True,67,True,35,35,True,True,[],[],1,2
BBOB_F37,10,66,True,67,True,35,35,True,True,[],[],1,2
BBOB_F49,10,66,True,67,True,35,35,True,True,[],[],1,2
BBOB_F5,10,66,True,67,True,35,35,True,True,[],[],1,2
BBOB_F55,10,66,True,67,True,35,35,True,True,[],[],1,2
DTLZ1,7,46,True,47,True,25,25,True,True,[],[],1,2
DTLZ2,12,80,False,80,False,41,41,True,False,[],[],0,0
DTLZ3,12,80,False,80,False,41,41,True,False,[],[],0,0
DTLZ4,12,80,False,80,False,41,41,True,False,[],[],0,0
DTLZ7,22,146,True,147,True,75,75,True,True,[],[],1,2
MMF1,2,13,True,14,False,8,8,True,False,[],[],2,1
MMF11_L,2,13,True,14,False,8,8,True,False,[],[],2,1
MMF16_20,20,133,True,134,False,68,68,True,False,[],[],2,1
MMF4,2,13,True,14,False,8,8,True,False,[],[],2,1
WFG1,22,146,True,147,True,75,75,True,True,[],[],1,2
WFG2,22,146,True,147,True,75,75,True,True,[],[],1,2
WFG4,22,146,True,147,True,75,75,True,True,[],[],1,2
WFG5,22,146,True,147,True,75,75,True,True,[],[],1,2
WFG9,22,146,True,147,True,75,75,True,True,[],[],1,2
ZDT1,30,200,False,200,False,101,101,True,False,[],[],0,0
ZDT3,30,200,False,200,False,101,101,True,False,[],[],0,0
ZDT4,10,66,True,67,True,35,35,True,True,[],[],1,2
ZDT6,10,66,True,67,True,35,35,True,True,[],[],1,2
