problema,igd_plus,hv,igd,n_nd,piso_best,piso_who,ganho,bate,rank,n_algs
BBOB_F1,0.0841150912283766,0.8735335476037193,0.1568178536033893,22,0.1359531134257377,nsga2,0.381293380424692,True,9,17
BBOB_F17,0.0254490545952854,1.1286458836912852,0.1184900893890152,15,0.0206141256299147,nsga2,-0.23454446005482626,False,11,17
BBOB_F22,0.2305008671934578,0.7375352246120813,0.2444733179673811,14,0.1591300073706684,smsemoa,-0.44850660791174457,False,10,17
BBOB_F37,0.1979404534507514,0.6065264181422775,0.2045230974496791,12,0.2539185871646663,smsemoa,0.22045701474233972,True,4,17
BBOB_F49,0.2726553045552879,0.7332066598639795,0.2792914841566978,12,0.2070601036537373,nsga2,-0.3167930458068553,False,10,17
BBOB_F5,0.090364871542885,0.7184650199363076,0.1174895875110258,16,0.1192824482234564,smsemoa,0.2424294362771545,True,8,17
BBOB_F55,0.1172860177005082,0.9441334256372098,0.1476557296574574,11,0.6061479210199184,nsga2,0.8065059474209529,True,5,16
DTLZ1,79.38235156797764,0.0,79.38235156797764,25,45.34570273153767,nsga2,-0.7506036247348236,False,9,17
DTLZ2,0.1869603260520184,0.3801926803324202,0.2082332451119312,94,0.1700820491933293,smsemoa,-0.09923608598755677,False,9,16
DTLZ3,299.9544918120799,0.0,299.9544918120799,32,129.76799112603217,smsemoa,-1.311467482923124,False,11,16
DTLZ4,0.2136371876194944,0.2031537623755506,0.3981428184045891,17,0.2823977915542932,nsga3,0.2434884619895443,True,2,15
DTLZ7,0.6977032729539132,0.0,0.8045995027983355,34,1.1247085866087754,nsga3,0.37965862334382083,True,7,15
MMF1,0.0666859982269712,0.7470628104204576,0.0985407417744539,11,0.0570132770384747,nsga3,-0.16965734458605125,False,14,17
MMF11_L,0.0260538715864112,0.977303500988812,0.0650767051756753,12,0.0231565498976292,nsga3,-0.12511888435844382,False,8,17
MMF16_20,0.0402721736350217,0.6937271998570711,0.0747474644439881,111,0.0316158421272363,smsemoa,-0.2737972777365362,False,11,15
MMF4,0.0311249824934595,0.4789810664888769,0.0352522054794536,25,0.0377119334276083,nsga3,0.17466489610756994,True,9,17
WFG1,0.5217684614749941,0.1673291379497583,0.5217684614749941,77,0.4953917959793528,smsemoa,-0.05324404988075472,False,8,14
WFG2,0.2085026837797858,0.4555536770881249,0.2125461063169239,8,0.1227556938180429,nsga2,-0.6985174153212244,False,12,16
WFG4,0.0848970520512503,0.2649329510211888,0.0851836242560044,49,0.044424346453198,smsemoa,-0.9110478561725416,False,9,16
WFG5,0.1368461751806692,0.2085253622436608,0.1371466400693662,36,0.0930752077028518,nsga2,-0.47027525974004636,False,15,16
WFG9,0.1345494028141959,0.1813962796938404,0.1472270328051167,15,0.0955346891283579,nsga3,-0.4083826936770459,False,10,16
ZDT1,0.3972630146418627,0.2994682614442321,0.398828200850723,26,0.4440783896843883,nsga2,0.10542142137517167,True,9,16
ZDT3,0.3562110022142805,0.2182485311188068,0.3562113461485857,17,0.3442625865872861,nsga2,-0.03470727314704855,False,10,15
ZDT4,55.444167231813715,0.0,55.447163132697334,1,43.898268794314845,nsga2,-0.26301489226368197,False,10,17
ZDT6,4.277823731996254,0.0,4.278055809924445,4,6.445675963031797,nsga2,0.3363265921943536,True,9,16
