problema,D,M,n3,n3_online,n3_sonda,n3_online_esp,n3_sonda_esp,sigma_min,sigma_nan,sigma_zero,mu_nan,pred_tipo,pred_classe_null,pred_score_null,pred_conf_null,modelo_flag,transf_tipo,espaco_vals,espaco_por_ger_ok,espaco_por_ger_n,transfparams_unico_por_ger,tp_vs_ymin_err,tp_vs_ymin_n,tp_vs_ymin_fail,ftm3_ok,ftm3_n,U5_dX_max,U5_blocos,X_fora_bounds,X_min,X_max
BBOB_F1,10,2,195400,125400,70000,125400,70000,0.6056964993476868,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",101,101,101,0.0,100,0,101,101,2.384185791015625e-07,35,853,-5.0,5.0
BBOB_F17,10,2,195400,125400,70000,125400,70000,4.728461265563965,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",101,101,101,0.0,100,0,101,101,2.384185791015625e-07,35,8261,-5.0,5.0
BBOB_F22,10,2,195400,125400,70000,125400,70000,15.802848815917969,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",101,101,101,0.0,100,0,101,101,2.384185791015625e-07,35,6406,-5.0,5.0
BBOB_F37,10,2,195400,125400,70000,125400,70000,16.729082107543945,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",101,101,101,0.0,100,0,101,101,2.384185791015625e-07,35,1778,-5.0,5.0
BBOB_F49,10,2,195400,125400,70000,125400,70000,0.6390717029571533,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",101,101,101,0.0,100,0,101,101,2.384185791015625e-07,35,3378,-5.0,5.0
BBOB_F5,10,2,195400,125400,70000,125400,70000,0.5162976980209351,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",101,101,101,0.0,100,0,101,101,2.384185791015625e-07,35,1162,-5.0,5.0
BBOB_F55,10,2,195400,125400,70000,125400,70000,0.3240123987197876,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",101,101,101,0.0,100,0,101,101,2.384185791015625e-07,35,2239,-5.0,5.0
DTLZ1,7,3,137400,87400,50000,87400,50000,1.1408613920211792,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",71,71,71,0.0,70,0,71,71,2.9802322387695312e-08,25,10895,0.0,1.0
DTLZ2,12,3,234000,152000,82000,152000,82000,0.0019587501883506775,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",121,121,121,0.0,121,0,121,121,2.9802322387695312e-08,41,15216,0.0,1.0
DTLZ3,12,3,234000,152000,82000,152000,82000,20.033939361572266,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",121,121,121,0.0,121,0,121,121,2.9802322387695312e-08,41,28135,0.0,1.0
DTLZ4,12,3,234000,152000,82000,152000,82000,0.0038918417412787676,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",121,121,121,0.0,121,0,121,121,2.9802322387695312e-08,41,12748,0.0,1.0
DTLZ7,22,3,427400,277400,150000,277400,150000,0.012003554962575436,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",221,221,221,0.0,220,0,221,221,2.9802322387695312e-08,75,157047,0.0,1.0
MMF1,2,2,40700,24700,16000,24700,16000,0.003512145020067692,0,0,0,['valor'],True,True,True,['EDN-MCdropout'],['translacao'],"['cru', 'transformado']",21,21,21,0.0,20,0,21,21,1.1920928955078125e-07,8,59,-1.0,3.0
