config,celula,arquivo,n_header,n_decision,n_sonda,n_footer,n_guard,n_chaves_header,n_chaves_sigma,chaves_header,chaves_sigma,chaves_decision,hits_padrao
b5m,BBOB_F1,exp_off_b5m_BBOB_F1_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,BBOB_F17,exp_off_b5m_BBOB_F17_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,BBOB_F22,exp_off_b5m_BBOB_F22_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,BBOB_F37,exp_off_b5m_BBOB_F37_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,BBOB_F49,exp_off_b5m_BBOB_F49_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,BBOB_F5,exp_off_b5m_BBOB_F5_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,BBOB_F55,exp_off_b5m_BBOB_F55_42.jsonl,1,801,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,DTLZ1,exp_off_b5m_DTLZ1_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,DTLZ2,exp_off_b5m_DTLZ2_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
b5m,DTLZ3,exp_off_b5m_DTLZ3_42.jsonl,1,381,1,2,0,22,18,D;M;alg;ambiente;dataset_hash;dataset_path;dist;doe_hash;f_hash;maxfe;n_dataset;pinning;problema;rec;regime;semente;sigma_dict;sonda_S;sonda_x_hash;tier;ts;versao,LHS_determinismo;desdeo_emo_pin;dist_min_arquivo;espaco_modelo;fe_treino_max;fidelidade_por_modo;modelo;modelo_hp;mu_*;overshoot;patches_vendorizados;pop_inicial_②;pymoo;rampa_theta;regime;sigma_*;sonda_offline;④_1_linha,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts,header:sigma_dict[fidelidade_por_modo]~texto;header:sigma_dict[rampa_theta]~texto
