celula,pop,n_ger,offspring_gerados,slots_mudados,grupos,grupos_multi_slot,frac_multi,tam_medio_grupo,offspring_invisiveis,frac_invisivel,turnover_medio
BBOB_F1,50,801,40000,12691,11396,832,0.073008,1.1136,28604,0.7151,0.317275
BBOB_F17,50,801,40000,26028,6301,4126,0.654817,4.1308,33699,0.842475,0.6507
BBOB_F22,50,801,40000,8757,5278,1333,0.252558,1.6592,34722,0.86805,0.218925
BBOB_F37,50,801,40000,14476,11835,1621,0.136967,1.2232,28165,0.704125,0.3619
BBOB_F49,50,801,40000,28815,13605,6219,0.457111,2.118,26395,0.659875,0.720375
BBOB_F5,50,801,40000,12160,10259,1345,0.131104,1.1853,29741,0.743525,0.304
BBOB_F55,50,801,40000,18696,11645,4250,0.364964,1.6055,28355,0.708875,0.4674
DTLZ1,105,381,39900,1050,508,239,0.470472,2.0669,39392,0.987268,0.026316
DTLZ2,105,381,39900,5688,5225,304,0.058182,1.0886,34675,0.869048,0.142556
DTLZ3,105,381,39900,0,0,0,,,39900,1.0,0.0
DTLZ4,105,381,39900,33219,14978,8077,0.539258,2.2179,24922,0.624612,0.832556
DTLZ7,105,381,39900,14857,9888,2688,0.271845,1.5025,30012,0.75218,0.372356
MMF1,50,801,40000,13623,6660,2955,0.443694,2.0455,33340,0.8335,0.340575
MMF11_L,50,801,40000,3436,2898,233,0.0804,1.1856,37102,0.92755,0.0859
MMF16_20,105,381,39900,5891,5204,392,0.075327,1.132,34696,0.869574,0.147644
MMF4,50,801,40000,4152,3417,477,0.139596,1.2151,36583,0.914575,0.1038
WFG1,50,801,40000,10544,9290,840,0.09042,1.135,30710,0.76775,0.2636
WFG2,50,801,40000,10781,8274,1401,0.169326,1.303,31726,0.79315,0.269525
WFG4,50,801,40000,9840,7393,1740,0.235358,1.331,32607,0.815175,0.246
WFG5,50,801,40000,7558,5588,1128,0.201861,1.3525,34412,0.8603,0.18895
WFG9,50,801,40000,8828,6572,1483,0.225654,1.3433,33428,0.8357,0.2207
ZDT1,50,801,40000,9242,8236,637,0.077343,1.1221,31764,0.7941,0.23105
ZDT3,50,801,40000,12319,8692,2195,0.252531,1.4173,31308,0.7827,0.307975
ZDT4,50,801,40000,35717,12201,7553,0.619048,2.9274,27799,0.694975,0.892925
ZDT6,50,801,40000,7570,6019,1074,0.178435,1.2577,33981,0.849525,0.18925
swap_medium-lhs_DTLZ2,105,381,39900,5717,5312,227,0.042733,1.0762,34588,0.866867,0.143283
swap_medium-lhs_MMF16_20,105,381,39900,39620,19042,9756,0.512341,2.0807,20858,0.522757,0.992982
swap_medium-lhs_WFG9,50,801,40000,9492,7108,1551,0.218205,1.3354,32892,0.8223,0.2373
swap_medium-lhs_ZDT1,50,801,40000,5143,3550,712,0.200563,1.4487,36450,0.91125,0.128575
swap_medium-lhs_ZDT4,50,801,40000,39949,15608,8732,0.559457,2.5595,24392,0.6098,0.998725
swap_medium-mvns_DTLZ2,105,381,39900,5999,5636,194,0.034422,1.0644,34264,0.858747,0.150351
swap_medium-mvns_MMF16_20,105,381,39900,38190,19096,9624,0.50398,1.9999,20804,0.521404,0.957143
swap_medium-mvns_WFG9,50,801,40000,18626,11324,3701,0.326828,1.6448,28676,0.7169,0.46565
swap_medium-mvns_ZDT1,50,801,40000,6805,4996,693,0.138711,1.3621,35004,0.8751,0.170125
swap_medium-mvns_ZDT4,50,801,40000,375,64,39,0.609375,5.8594,39936,0.9984,0.009375
swap_small-lhs_DTLZ2,105,381,39900,5688,5225,304,0.058182,1.0886,34675,0.869048,0.142556
swap_small-lhs_MMF16_20,105,381,39900,5891,5204,392,0.075327,1.132,34696,0.869574,0.147644
swap_small-lhs_WFG9,50,801,40000,8828,6572,1483,0.225654,1.3433,33428,0.8357,0.2207
swap_small-lhs_ZDT1,50,801,40000,9242,8236,637,0.077343,1.1221,31764,0.7941,0.23105
swap_small-lhs_ZDT4,50,801,40000,35717,12201,7553,0.619048,2.9274,27799,0.694975,0.892925
swap_small-mvns_DTLZ2,105,381,39900,5764,5018,409,0.081507,1.1487,34882,0.874236,0.144461
swap_small-mvns_MMF16_20,105,381,39900,7281,5788,915,0.158086,1.2579,34112,0.854937,0.182481
swap_small-mvns_WFG9,50,801,40000,11446,7687,2042,0.265643,1.489,32313,0.807825,0.28615
swap_small-mvns_ZDT1,50,801,40000,1712,749,251,0.335113,2.2857,39251,0.981275,0.0428
swap_small-mvns_ZDT4,50,801,40000,39863,16359,8920,0.545266,2.4368,23641,0.591025,0.996575
