alg,label,fe_final_man,n_ger_man,n_real,n_pop,n_sur,n_tim,n_decision,footer_fe_final,ger_max_sur,ger_min_sur,n_fin
b1,BBOB_F1,309,205,309,43255,291680,204,0,309,204,1,
b1,BBOB_F17,309,207,309,43884,294932,206,0,309,206,1,
b1,BBOB_F22,309,265,309,63865,392720,264,0,309,264,1,
b1,BBOB_F37,309,516,309,189114,894464,515,0,309,515,1,
b1,BBOB_F49,309,505,309,182305,868880,504,0,309,504,1,
b1,BBOB_F5,309,215,309,46440,308020,214,0,309,214,1,
b1,BBOB_F55,309,202,309,42319,287816,201,0,309,201,1,
b1,DTLZ1,216,154,216,23485,202360,153,0,216,153,1,
b1,DTLZ2,371,241,371,60491,362000,240,0,371,240,1,
b1,DTLZ3,371,241,371,60491,362000,240,0,371,240,1,
b1,DTLZ7,681,441,681,203301,846800,440,0,681,440,1,
b1,MMF1,61,49,61,2205,54224,48,0,61,48,1,
b1,MMF11_L,61,41,61,1681,45200,40,0,61,40,1,
b1,MMF16_20,619,401,619,168019,736400,400,0,619,400,1,
b1,MMF4,61,41,61,1681,45200,40,0,61,40,1,
b1,WFG1,681,444,681,205350,854888,443,0,,443,1,
b1,WFG2,681,441,681,203301,846800,440,0,681,440,1,
b1,WFG4,681,441,681,203301,846800,440,0,681,440,1,
b1,WFG5,681,441,681,203301,846800,440,0,681,440,1,
b1,WFG9,681,441,681,203301,846800,440,0,681,440,1,
b1,ZDT1,929,604,929,380822,1365176,603,0,929,603,1,
b1,ZDT3,929,602,929,378959,1359456,601,0,929,601,1,
b1,ZDT4,309,201,309,42009,285200,200,0,309,200,1,
b1,ZDT6,309,201,309,42009,285200,200,0,309,200,1,
b3,BBOB_F1,309,41,309,8569,111750,40,0,309,41,1,
b3,BBOB_F17,309,41,309,8569,105123,40,0,309,40,1,
b3,BBOB_F22,309,41,309,8569,102203,40,0,309,40,1,
b3,BBOB_F37,309,41,309,8569,101160,40,0,309,40,1,
b3,BBOB_F49,309,41,309,8569,106529,40,0,309,41,1,
b3,BBOB_F5,309,43,309,9202,118536,42,0,309,43,1,
b3,BBOB_F55,309,41,309,8569,103065,40,0,309,41,1,
b3,DTLZ1,216,29,216,4234,60293,28,0,216,29,1,
b3,DTLZ2,371,49,371,12299,115807,48,0,371,48,1,
b3,DTLZ3,371,49,371,12299,103998,48,0,371,48,1,
b3,DTLZ4,371,49,371,12299,95881,48,0,371,49,1,
b3,DTLZ7,681,99,681,48114,210518,98,0,681,99,1,
b3,MMF1,61,9,61,369,24709,8,0,61,9,1,
b3,MMF11_L,61,9,61,369,23048,8,0,61,8,1,
b3,MMF16_20,619,81,619,33939,167175,80,0,619,80,1,
b3,MMF4,61,9,61,369,24978,8,0,61,9,1,
b3,WFG1,681,90,681,41715,230962,89,0,681,90,1,
b3,WFG2,681,95,681,45220,272288,94,0,681,95,1,
b3,WFG4,681,93,681,43803,266881,92,0,681,93,1,
b3,WFG5,681,89,681,41029,256774,88,0,681,89,1,
b3,WFG9,681,91,681,42406,248308,90,0,681,90,1,
b3,ZDT1,929,121,929,76109,344965,120,0,929,121,1,
b3,ZDT3,929,132,929,86658,379101,131,0,929,132,1,
b3,ZDT4,309,44,309,9526,99841,43,0,309,44,1,
b3,ZDT6,309,41,309,8569,102415,40,0,309,40,1,
b4,BBOB_F1,309,201,309,42009,202200,200,0,309,200,1,
b4,BBOB_F17,309,201,309,42009,202200,200,0,309,200,1,
b4,BBOB_F22,309,205,309,42926,206202,204,0,309,204,1,
b4,BBOB_F37,309,202,309,42319,204201,201,0,309,201,1,
b4,BBOB_F49,309,201,309,42009,202200,200,0,309,200,1,
b4,BBOB_F5,309,201,309,42009,202200,200,0,309,200,1,
b4,BBOB_F55,309,201,309,42009,202200,200,0,309,200,1,
b4,DTLZ1,216,141,216,20586,142140,140,0,216,140,1,
b4,DTLZ2,371,271,371,68670,272240,270,0,371,270,1,
b4,DTLZ3,371,244,371,61576,246242,243,0,371,243,1,
b4,DTLZ4,371,339,371,96998,342237,338,0,371,339,1,
b4,DTLZ7,681,424,681,202087,426441,423,0,681,423,1,
b4,MMF1,61,46,61,1915,48041,45,0,61,45,1,
b4,MMF11_L,61,43,61,1705,44042,42,0,61,42,1,
b4,MMF16_20,619,91,619,30291,94393,90,0,619,91,1,
b4,MMF4,61,51,61,2257,52045,50,0,61,50,1,
b4,WFG1,681,186,681,90093,188439,185,0,681,186,1,
b4,WFG2,681,444,681,204831,446441,443,0,681,443,1,
b4,WFG4,681,275,681,132346,276441,274,0,681,274,1,
b4,WFG5,681,371,681,168990,372440,370,0,681,370,1,
b4,WFG9,681,443,681,204513,444441,442,0,681,442,1,
b4,ZDT1,929,558,929,364918,560600,557,0,929,557,1,
b4,ZDT3,929,548,929,341441,550599,547,0,929,548,1,
b4,ZDT4,309,202,309,42319,204201,201,0,309,201,1,
b4,ZDT6,309,204,309,42435,206200,203,0,309,203,1,
b5m,BBOB_F1,309,801,309,0,60050,1,801,309,801,1,50
b5m,BBOB_F17,309,801,309,0,60050,1,801,309,801,1,50
b5m,BBOB_F22,309,801,309,0,60050,1,801,309,801,1,50
