config,mecanismo,contratual,cobertura,nota
sobol_batch,95.0,100.0,100.0,95.0
c217,95.0,99.9,100.0,94.90500000000002
c141,93.0,99.9,100.0,92.90700000000001
e74,93.0,100.0,99.88095238095238,92.88928571428572
moead_media,93.0,100.0,99.40476190476191,92.44642857142857
e81,96.0,98.9,96.54761904761905,91.66617142857143
b5r,91.0,100.0,99.52380952380952,90.56666666666666
smsemoa,90,100.0,100.0,90.0
moead,90,100.0,100.0,90.0
nsga3,90,99.8,100.0,89.82
nsga2,90,100.0,99.40476190476191,89.46428571428572
b3,93.0,100.0,95.71428571428572,89.01428571428572
c262,96.0,98.1,93.0952380952381,87.67337142857143
c149,93.0,97.2,96.66666666666667,87.3828
c122,93.0,98.4,95.0,86.9364
treed_media,95.0,90.0,100.0,85.5
e103,90,100.0,92.61904761904762,83.35714285714286
c311,95.0,87.3,100.0,82.935
b1,93.0,99.9,87.14285714285714,80.9618142857143
b4,85.0,100.0,94.16666666666667,80.04166666666667
b5m,90,100.0,86.78571428571429,78.10714285714286
e7,90,100.0,86.19047619047619,77.57142857142857
c238,90,98.1,87.38095238095238,77.14864285714285
c154,93.0,98.0,83.0952380952381,75.733
