problema,obj,n_hi,n_lo,noise_hi,noise_lo,sigma_hi,sigma_lo,d_sigma_pct,cob_hi,cob_lo,wape_hi,wape_lo,outsc_hi,outsc_lo
BBOB_F1,0,17,85,0.0009661586579306,0.0001,9.404192924499512,4.319736957550049,117.70290684165006,0.991,0.995,0.0465784311624208,0.020462330902669,0.5465375235811138,1.0985720894706728
BBOB_F1,1,18,84,0.0009627575284211001,0.0001,9.335287809371948,4.341842293739319,115.00752855148342,0.99575,0.9975,0.0426536889571061,0.020406764747659498,0.6538390008890289,1.1719971651653935
BBOB_F17,1,47,55,0.0031161956354953,0.0009519456986762,63.30503845214844,43.322954177856445,46.1235496366621,0.889,0.8215,0.3631738546236412,0.3392363429508626,0.7889758931329554,1.3309524853477337
BBOB_F22,0,21,81,0.001187256642081,0.0001097737260669,110870.44921875,77464.2109375,43.12473834943334,0.9745,0.9275,0.0992395733259211,0.087217326070446,0.502681828899303,0.6514170862252846
BBOB_F22,1,34,68,0.002091617110252,0.0004763473526953,178.6812400817871,153.81860733032227,16.163605420034038,1.0,1.0,0.03492686686505245,0.02397638163888285,0.3033917107232505,0.29599771551156184
BBOB_F37,0,47,55,0.0016490057465067,0.0005110984527558,173.5333251953125,157.3689422607422,10.271647443488433,0.999,1.0,0.0364146107113754,0.0257268120140337,0.2609499765689844,0.2948364715862235
BBOB_F37,1,27,75,0.0030170326986592,0.0005929309741365,582.4964599609375,375.54345703125,55.10760447424501,0.9435,0.888,0.3513840336917354,0.3253121946983396,1.1984191233707688,2.965022266347398
BBOB_F49,0,14,88,0.00221306307313175,0.00036879934698305,513.1308898925781,352.10052490234375,45.73420191148442,0.9355,0.9045000000000001,0.2596679907281105,0.23206016593325035,0.8705242442910698,1.5790970866833791
BBOB_F49,1,32,70,0.0032778688030296,0.0009188095645809001,9.02058219909668,9.995930910110474,-9.757457507306986,0.988,0.989,0.05614323263690465,0.05740804347532065,0.17984563723763186,0.13938019435743904
BBOB_F5,0,17,85,0.0010796555173786,0.0001,9.538226127624512,4.453917741775513,114.15362116279648,0.9885,0.996,0.0483542946442127,0.0206120725952296,0.6447790001659961,1.1097587263720627
BBOB_F5,1,15,87,0.0019811187209885,0.00047433023823,163.61355590820312,130.5110321044922,25.36377444108156,0.998,0.9995,0.0404837076151937,0.0237261370285374,0.5119008601314635,0.4041138264327032
DTLZ1,0,58,14,0.11356467389033151,0.0063791888594578496,18.73848247528076,33.47716999053955,-44.02608559631491,0.84375,0.9215,0.2824108519952371,0.34255102008840277,0.4385532141139278,0.6205271920404711
DTLZ1,1,58,14,0.12614370182438725,0.0111288816327169,15.706782341003418,29.411438465118408,-46.59634767734512,0.8342499999999999,0.9125,0.26325704360578817,0.32609811058283866,0.41370859805279575,0.7370080458455888
DTLZ1,2,50,22,0.16041259603450714,0.008931476361871301,38.5476713180542,53.66524028778076,-28.170131892931703,0.8625,0.937,0.27023367896328215,0.29153522139243193,0.47604030201558967,0.6232842675114287
MMF1,0,9,13,0.0014622579395298,0.0004984523424787,0.0168300298973917,0.0075599695555865,122.62033958794203,0.9845,0.947,0.0149985625571352,0.0044320652103441,0.6949758869369153,0.466020648055674
MMF1,1,17,5,0.4127654373101075,0.0068041608147052,0.7079487442970276,1.1739562153816223,-39.69547287869744,0.6045,0.721,0.7412688947992971,0.7926413868787628,1.2802685894652943,1.4502136630645477
MMF11_L,1,16,7,0.02761774707532995,0.0065901527505109,0.5248593240976334,0.6101580560207367,-13.979776400789566,0.872,0.881,0.1156478547540169,0.1321912024632173,1.7675788751216563,1.1525577314504862
MMF4,0,11,11,0.0014232867771592,0.0004305302935388,0.0140455234795808,0.0068175280466675,106.02076564168212,0.9525,0.9455,0.0149113190220073,0.0045897627702385,0.6461661570966608,0.4546186266393772
ZDT4,1,95,7,0.1854516121629304,0.0065220090186185,20.93625545501709,25.649925231933594,-18.376933789452487,0.8925,0.929,0.1235085875840926,0.1392497926862267,0.5190978991926489,0.8138929051496174
