problema,D,n_it,n_plateau_disjunto,pct,spread_med
BBOB_F1,10,201,0,0.0,
BBOB_F17,10,201,124,61.691542288557216,7.794157266616821
BBOB_F22,10,201,29,14.427860696517413,3.607536792755127
BBOB_F37,10,201,45,22.388059701492537,5.16653311252594
BBOB_F49,10,201,1,0.4975124378109453,4.725261688232422
BBOB_F5,10,201,2,0.9950248756218906,2.972562473267317
DTLZ1,7,141,72,51.06382978723404,0.9495489839464426
MMF1,2,41,21,51.21951219512195,0.488834023475647
MMF11_L,2,43,11,25.58139534883721,0.38999776169657707
MMF4,2,41,22,53.65853658536585,0.825376033782959
ZDT4,10,201,127,63.18407960199005,7.223226308822632
