exp,alg,problema,bloco,modelo_flag,fe_treino_max,obj,wape,corr,cobertura95,n_validas,n_nan,k_bloco,geracao,fe,fe_treino_max_j,it,noise,ls_med,outputscale,mll
main,c154,MMF1,1,GP,20,0,0.022954,0.997863,0.958,2000,0,1,1,22,20,1,0.0027231690718542,0.311687323999944,1.0112015817194309,-0.7620370078131883
main,c154,MMF1,1,GP,20,1,0.822766,0.154394,0.658,2000,0,1,1,22,20,1,0.0066970717198036,0.1122360470687709,1.5003537739168076,-0.7620370078131883
main,c154,MMF1,2,GP,21,0,0.021395,0.998141,0.958,2000,0,2,2,23,21,2,0.0027347191930348,0.3129345209046904,0.909491378223346,-0.750534046284384
main,c154,MMF1,2,GP,21,1,0.795103,0.216027,0.721,2000,0,2,2,23,21,2,0.006831940530229,0.1086947391522766,1.4502136630645477,-0.750534046284384
main,c154,MMF1,4,GP,23,0,0.018262,0.99897,0.9845,2000,0,3,4,25,23,4,0.0029207363233929,0.2701013779805128,0.7190415591631233,-0.6926470824475441
main,c154,MMF1,4,GP,23,1,0.792641,0.220497,0.6805,2000,0,3,4,25,23,4,0.0068430363458499,0.1155230281390677,1.5350290304042329,-0.6926470824475441
main,c154,MMF1,6,GP,25,0,0.016266,0.999201,0.9855,2000,0,4,6,27,25,6,0.0020403074722362,0.2567437155656753,0.6949758869369153,-0.7696343489953793
main,c154,MMF1,6,GP,25,1,0.761371,0.220186,0.7255,2000,0,4,6,27,25,6,0.2098247573784159,0.1360418440152634,1.2717563802758076,-0.7696343489953793
main,c154,MMF1,8,GP,27,0,0.014999,0.999363,0.9875,2000,0,5,8,29,27,8,0.0014622579395298,0.239494255714213,0.7111759367422898,-0.629646216710175
main,c154,MMF1,8,GP,27,1,0.760189,0.1891,0.7735,2000,0,5,8,29,27,8,0.0068041608147052,0.0829731648248598,1.213525572084904,-0.629646216710175
main,c154,MMF1,10,GP,29,0,0.012368,0.999499,0.9795,2000,0,6,10,31,29,10,0.0011228247252462,0.2325793063027438,0.6932358389619094,-0.5692639041679006
main,c154,MMF1,10,GP,29,1,0.759921,0.1923,0.7545,2000,0,6,10,31,29,10,0.0067794654950504,0.0896059800278995,1.2598214284317488,-0.5692639041679006
main,c154,MMF1,12,GP,31,0,0.012371,0.999527,0.989,2000,0,7,12,33,31,12,0.0013469685816902,0.2338107879011252,0.6825060256193449,-0.6685234791654455
main,c154,MMF1,12,GP,31,1,0.749546,0.277948,0.662,2000,0,7,12,33,31,12,0.4198391159620926,0.2167255379508805,0.979160619485614,-0.6685234791654455
main,c154,MMF1,14,GP,33,0,0.009753,0.999683,0.9855,2000,0,8,14,35,33,14,0.001172439810765,0.2371811066726021,0.6006938028988773,-0.6024465891884424
main,c154,MMF1,14,GP,33,1,0.747461,0.285841,0.637,2000,0,8,14,35,33,14,0.4189926561852794,0.236333532079591,1.0303327789160468,-0.6024465891884424
main,c154,MMF1,16,GP,35,0,0.007921,0.999785,0.981,2000,0,9,16,37,35,16,0.0010657331022342,0.242481770348917,0.5894741561810071,-0.5602642455240558
main,c154,MMF1,16,GP,35,1,0.742793,0.283372,0.642,2000,0,9,16,37,35,16,0.4232725027512502,0.231245536508226,1.0904147018680788,-0.5602642455240558
main,c154,MMF1,18,GP,37,0,0.006881,0.999818,0.975,2000,0,10,18,39,37,18,0.0008961922748343,0.2410161073953618,0.5599827031715328,-0.5002637544856463
main,c154,MMF1,18,GP,37,1,0.741765,0.280842,0.6265,2000,0,10,18,39,37,18,0.4127654373101075,0.24391105786227,1.1774149251514625,-0.5002637544856463
main,c154,MMF1,20,GP,39,0,0.005262,0.999893,0.971,2000,0,11,20,41,39,20,0.0007689861541047,0.2314472446921544,0.4995916664001137,-0.4233626572891196
main,c154,MMF1,20,GP,39,1,0.741247,0.292852,0.6205,2000,0,11,20,41,39,20,0.3593016861970727,0.249399829443186,1.2802685894652943,-0.4233626572891196
main,c154,MMF1,22,GP,41,0,0.005121,0.999892,0.965,2000,0,12,22,43,41,22,0.0007214204750858,0.2347353494620531,0.487068849904437,-0.4126935520855455
main,c154,MMF1,22,GP,41,1,0.736161,0.327798,0.623,2000,0,12,22,43,41,22,0.4126441511023833,0.2510209742673792,1.1665253239682123,-0.4126935520855455
main,c154,MMF1,24,GP,43,0,0.004884,0.999903,0.9575,2000,0,13,24,45,43,24,0.0006174084011036,0.2263008079439782,0.4513971120825382,-0.3624729784550783
main,c154,MMF1,24,GP,43,1,0.735476,0.330294,0.6165,2000,0,13,24,45,43,24,0.4012120209598918,0.2569654489816237,1.255118611575921,-0.3624729784550783
main,c154,MMF1,26,GP,45,0,0.004758,0.999906,0.9525,2000,0,14,26,47,45,26,0.0005947522775499,0.230159132859351,0.466020648055674,-0.3300416226324748
main,c154,MMF1,26,GP,45,1,0.734855,0.326002,0.6045,2000,0,14,26,47,45,26,0.4009873084849097,0.2598372543625254,1.3061622753173046,-0.3300416226324748
main,c154,MMF1,28,GP,47,0,0.00479,0.999903,0.949,2000,0,15,28,49,47,28,0.000596392037566,0.2314746913188495,0.508658543446694,-0.2977440882879726
main,c154,MMF1,28,GP,47,1,0.736079,0.326167,0.5905,2000,0,15,28,49,47,28,0.3981451145760237,0.2641940803472341,1.36047570122452,-0.2977440882879726
main,c154,MMF1,30,GP,49,0,0.004432,0.999914,0.947,2000,0,16,30,51,49,30,0.0004984523424787,0.2272728040240602,0.4840513653299477,-0.2502476637281923
main,c154,MMF1,30,GP,49,1,0.735404,0.328652,0.5875,2000,0,16,30,51,49,30,0.3882732714263922,0.2687171465931048,1.463001604576238,-0.2502476637281923
main,c154,MMF1,32,GP,51,0,0.004174,0.999921,0.946,2000,0,17,32,53,51,32,0.0004401456152728,0.2155163103967058,0.4101201645786221,-0.2189285413812308
main,c154,MMF1,32,GP,51,1,0.740882,0.324297,0.5865,2000,0,17,32,53,51,32,0.3987825331682139,0.2430172198946138,1.3501878773047755,-0.2189285413812308
main,c154,MMF1,34,GP,53,0,0.004079,0.999921,0.9425,2000,0,18,34,55,53,34,0.0004216585017029,0.2243573160893888,0.4737157065614398,-0.2038220234033159
main,c154,MMF1,34,GP,53,1,0.739333,0.329608,0.571,2000,0,18,34,55,53,34,0.4289250181508933,0.2588478404630807,1.3386243736037235,-0.2038220234033159
main,c154,MMF1,36,GP,55,0,0.00376,0.999929,0.9425,2000,0,19,36,57,55,36,0.0003696853677375,0.2146877894546663,0.4047467400025147,-0.1708601397602915
main,c154,MMF1,36,GP,55,1,0.741269,0.324567,0.563,2000,0,19,36,57,55,36,0.4418830121362953,0.2494861475673538,1.2674628878433158,-0.1708601397602915
main,c154,MMF1,38,GP,57,0,0.003626,0.999932,0.9425,2000,0,20,38,59,57,38,0.0003503138993729,0.2136572788537492,0.4117348470364429,-0.1470723564085693
main,c154,MMF1,38,GP,57,1,0.741622,0.324412,0.5525,2000,0,20,38,59,57,38,0.4440075264350393,0.25522617688164,1.3153478336700408,-0.1470723564085693
main,c154,MMF1,40,GP,59,0,0.003449,0.999936,0.942,2000,0,21,40,61,59,40,0.0003117962745253,0.2080949966414251,0.3814313031684171,-0.1104873510707062
main,c154,MMF1,40,GP,59,1,0.742691,0.324104,0.539,2000,0,21,40,61,59,40,0.4421944699791683,0.2557043241517078,1.3514643810024545,-0.1104873510707062
main,c154,MMF1,41,GP,60,0,0.003538,0.999934,0.9395,2000,0,22,41,61,60,41,0.0003080430824894,0.2175615720541518,0.4438349725299578,-0.096002504546359
main,c154,MMF1,41,GP,60,1,0.742709,0.323741,0.535,2000,0,22,41,61,60,41,0.4408498490041924,0.2554665581090565,1.3743425793136064,-0.096002504546359
main,c154,MMF4,1,GP,20,0,0.021899,0.99848,0.946,2000,0,1,1,22,20,1,0.0019073960429861,0.2832609828307344,0.8316717378803764,-0.795116093961874
main,c154,MMF4,1,GP,20,1,0.311867,0.518432,0.9195,2000,0,1,1,22,20,1,0.0067795933284623,0.0866928055644529,1.1910066651237614,-0.795116093961874
main,c154,MMF4,2,GP,21,0,0.020857,0.998605,0.941,2000,0,2,2,23,21,2,0.0016267171386643,0.2852182915004049,0.7794330360763975,-0.7530256370581554
main,c154,MMF4,2,GP,21,1,0.308795,0.565711,0.964,2000,0,2,2,23,21,2,0.0067644840037092,0.0762309324367631,1.1483298918343918,-0.7530256370581554
main,c154,MMF4,4,GP,23,0,0.018596,0.998825,0.955,2000,0,3,4,25,23,4,0.0019388958875011,0.2845536201615958,0.7374414201342104,-0.6726884757701304
main,c154,MMF4,4,GP,23,1,0.308148,0.568196,0.9545,2000,0,3,4,25,23,4,0.006710627531032,0.0804141986597666,1.2008771867387522,-0.6726884757701304
main,c154,MMF4,6,GP,25,0,0.017245,0.999025,0.9565,2000,0,4,6,27,25,6,0.0018239021395554,0.2750167556173447,0.6930129691303435,-0.6127445841084403
