problema,it,obj,noise,ls_min,ls_med,ls_max,outputscale,mll,n_train
BBOB_F1,1,0,0.001967502563573976,1.1306433697758342,1.2406058426063136,1.3484446518085684,0.6337413534657086,-0.5785991063688021,109
BBOB_F1,1,1,0.0020381371161633786,1.1717936586141322,1.2684069421610156,1.414292478459707,0.7256042512106213,-0.5785991063688021,109
BBOB_F1,2,0,0.001929883497883324,1.1414301547664127,1.2460492138538037,1.37853861548133,0.6130281272677839,-0.5550574991892292,110
BBOB_F1,2,1,0.001987840503950731,1.1743253505910458,1.2825958923714964,1.411588703787845,0.7139076982907316,-0.5550574991892292,110
BBOB_F1,3,0,0.001847366472340509,1.1622015536753267,1.2606384621163338,1.3886379630213093,0.6234724423700436,-0.5355444636547908,111
BBOB_F1,3,1,0.0019936116199549573,1.2055932385551709,1.3067611113754487,1.4414239436957519,0.7059150577137019,-0.5355444636547908,111
BBOB_F1,4,0,0.0018294076679240808,1.1726242860504827,1.2744224614466704,1.4199742808759168,0.6159275322805848,-0.5118955082393405,112
BBOB_F1,4,1,0.0018934933926995812,1.2171186992577636,1.3168092020292828,1.451641562825391,0.6969348427450848,-0.5118955082393405,112
BBOB_F1,5,0,0.0017487969196128927,1.185641881138396,1.2876992834259617,1.4275553489599966,0.608089692804712,-0.48787754005409534,113
BBOB_F1,5,1,0.001774777802332468,1.2393763826548554,1.3182397795885743,1.4478737825975132,0.6832633951292859,-0.48787754005409534,113
BBOB_F1,6,0,0.0016718339792506061,1.1976392444482888,1.2988625199380117,1.435146987875282,0.5986919325843382,-0.4636958958185301,114
BBOB_F1,6,1,0.0017020413278943346,1.2427779072025935,1.3223764201847663,1.4629001323470816,0.6711493878082989,-0.4636958958185301,114
BBOB_F1,7,0,0.001581275700065284,1.2078345275956077,1.3079172541047264,1.4467993315935186,0.5952056313326732,-0.4392154768241233,115
BBOB_F1,7,1,0.0015904942305217786,1.2544168892932557,1.3310624599997054,1.4744156996724416,0.6559043969761601,-0.4392154768241233,115
BBOB_F1,8,0,0.0015489766386827825,1.2162778045558424,1.3120996487702266,1.4498038734001317,0.5878312891563267,-0.42000101561027836,116
BBOB_F1,8,1,0.0015332885249090954,1.2641871771181246,1.3430960892943244,1.4833174464430605,0.6543375188184873,-0.42000101561027836,116
BBOB_F1,9,0,0.0014492283994339272,1.2256554455914086,1.3222104393736198,1.4646934955610484,0.5755503474076533,-0.39773029566883566,117
BBOB_F1,9,1,0.0014685291316103716,1.2754951407428785,1.3495154117653625,1.490468488382828,0.6530371870980475,-0.39773029566883566,117
