exp,alg,problema,bloco,modelo_flag,fe_treino_max,obj,wape,corr,cobertura95,n_validas,n_nan
main,c154,MMF1,1,GP,20,0,0.022954,0.997863,0.958,2000,0
main,c154,MMF1,1,GP,20,1,0.822766,0.154394,0.658,2000,0
main,c154,MMF1,2,GP,21,0,0.021395,0.998141,0.958,2000,0
main,c154,MMF1,2,GP,21,1,0.795103,0.216027,0.721,2000,0
main,c154,MMF1,4,GP,23,0,0.018262,0.99897,0.9845,2000,0
main,c154,MMF1,4,GP,23,1,0.792641,0.220497,0.6805,2000,0
main,c154,MMF1,6,GP,25,0,0.016266,0.999201,0.9855,2000,0
main,c154,MMF1,6,GP,25,1,0.761371,0.220186,0.7255,2000,0
main,c154,MMF1,8,GP,27,0,0.014999,0.999363,0.9875,2000,0
main,c154,MMF1,8,GP,27,1,0.760189,0.1891,0.7735,2000,0
main,c154,MMF1,10,GP,29,0,0.012368,0.999499,0.9795,2000,0
main,c154,MMF1,10,GP,29,1,0.759921,0.1923,0.7545,2000,0
main,c154,MMF1,12,GP,31,0,0.012371,0.999527,0.989,2000,0
main,c154,MMF1,12,GP,31,1,0.749546,0.277948,0.662,2000,0
main,c154,MMF1,14,GP,33,0,0.009753,0.999683,0.9855,2000,0
main,c154,MMF1,14,GP,33,1,0.747461,0.285841,0.637,2000,0
main,c154,MMF1,16,GP,35,0,0.007921,0.999785,0.981,2000,0
main,c154,MMF1,16,GP,35,1,0.742793,0.283372,0.642,2000,0
main,c154,MMF1,18,GP,37,0,0.006881,0.999818,0.975,2000,0
main,c154,MMF1,18,GP,37,1,0.741765,0.280842,0.6265,2000,0
main,c154,MMF1,20,GP,39,0,0.005262,0.999893,0.971,2000,0
main,c154,MMF1,20,GP,39,1,0.741247,0.292852,0.6205,2000,0
main,c154,MMF1,22,GP,41,0,0.005121,0.999892,0.965,2000,0
main,c154,MMF1,22,GP,41,1,0.736161,0.327798,0.623,2000,0
main,c154,MMF1,24,GP,43,0,0.004884,0.999903,0.9575,2000,0
main,c154,MMF1,24,GP,43,1,0.735476,0.330294,0.6165,2000,0
main,c154,MMF1,26,GP,45,0,0.004758,0.999906,0.9525,2000,0
main,c154,MMF1,26,GP,45,1,0.734855,0.326002,0.6045,2000,0
main,c154,MMF1,28,GP,47,0,0.00479,0.999903,0.949,2000,0
main,c154,MMF1,28,GP,47,1,0.736079,0.326167,0.5905,2000,0
main,c154,MMF1,30,GP,49,0,0.004432,0.999914,0.947,2000,0
main,c154,MMF1,30,GP,49,1,0.735404,0.328652,0.5875,2000,0
main,c154,MMF1,32,GP,51,0,0.004174,0.999921,0.946,2000,0
main,c154,MMF1,32,GP,51,1,0.740882,0.324297,0.5865,2000,0
main,c154,MMF1,34,GP,53,0,0.004079,0.999921,0.9425,2000,0
main,c154,MMF1,34,GP,53,1,0.739333,0.329608,0.571,2000,0
main,c154,MMF1,36,GP,55,0,0.00376,0.999929,0.9425,2000,0
main,c154,MMF1,36,GP,55,1,0.741269,0.324567,0.563,2000,0
main,c154,MMF1,38,GP,57,0,0.003626,0.999932,0.9425,2000,0
main,c154,MMF1,38,GP,57,1,0.741622,0.324412,0.5525,2000,0
main,c154,MMF1,40,GP,59,0,0.003449,0.999936,0.942,2000,0
main,c154,MMF1,40,GP,59,1,0.742691,0.324104,0.539,2000,0
main,c154,MMF1,41,GP,60,0,0.003538,0.999934,0.9395,2000,0
main,c154,MMF1,41,GP,60,1,0.742709,0.323741,0.535,2000,0
main,c154,MMF4,1,GP,20,0,0.021899,0.99848,0.946,2000,0
main,c154,MMF4,1,GP,20,1,0.311867,0.518432,0.9195,2000,0
main,c154,MMF4,2,GP,21,0,0.020857,0.998605,0.941,2000,0
main,c154,MMF4,2,GP,21,1,0.308795,0.565711,0.964,2000,0
main,c154,MMF4,4,GP,23,0,0.018596,0.998825,0.955,2000,0
main,c154,MMF4,4,GP,23,1,0.308148,0.568196,0.9545,2000,0
main,c154,MMF4,6,GP,25,0,0.017245,0.999025,0.9565,2000,0
main,c154,MMF4,6,GP,25,1,0.307816,0.56951,0.9475,2000,0
main,c154,MMF4,8,GP,27,0,0.015326,0.999243,0.954,2000,0
main,c154,MMF4,8,GP,27,1,0.301579,0.595735,0.9455,2000,0
main,c154,MMF4,10,GP,29,0,0.014911,0.999274,0.936,2000,0
main,c154,MMF4,10,GP,29,1,0.301475,0.594019,0.9355,2000,0
main,c154,MMF4,12,GP,31,0,0.013155,0.999379,0.9335,2000,0
main,c154,MMF4,12,GP,31,1,0.283321,0.634807,0.938,2000,0
main,c154,MMF4,14,GP,33,0,0.010936,0.999531,0.9565,2000,0
main,c154,MMF4,14,GP,33,1,0.28004,0.641987,0.928,2000,0
main,c154,MMF4,16,GP,35,0,0.008339,0.999744,0.9525,2000,0
main,c154,MMF4,16,GP,35,1,0.28707,0.622187,0.922,2000,0
main,c154,MMF4,18,GP,37,0,0.00647,0.999819,0.9535,2000,0
main,c154,MMF4,18,GP,37,1,0.284098,0.624074,0.912,2000,0
main,c154,MMF4,20,GP,39,0,0.006213,0.999837,0.952,2000,0
main,c154,MMF4,20,GP,39,1,0.284824,0.625014,0.908,2000,0
main,c154,MMF4,22,GP,41,0,0.005835,0.999852,0.9495,2000,0
main,c154,MMF4,22,GP,41,1,0.287083,0.642468,0.8885,2000,0
main,c154,MMF4,24,GP,43,0,0.005771,0.999853,0.9475,2000,0
main,c154,MMF4,24,GP,43,1,0.263873,0.694761,0.893,2000,0
main,c154,MMF4,26,GP,45,0,0.005361,0.999866,0.9455,2000,0
main,c154,MMF4,26,GP,45,1,0.262002,0.697158,0.8875,2000,0
main,c154,MMF4,28,GP,47,0,0.005182,0.999873,0.9455,2000,0
main,c154,MMF4,28,GP,47,1,0.259996,0.699345,0.8845,2000,0
main,c154,MMF4,30,GP,49,0,0.004868,0.999885,0.9465,2000,0
main,c154,MMF4,30,GP,49,1,0.259284,0.700813,0.8755,2000,0
main,c154,MMF4,32,GP,51,0,0.00459,0.999892,0.9435,2000,0
main,c154,MMF4,32,GP,51,1,0.252409,0.712408,0.8705,2000,0
main,c154,MMF4,34,GP,53,0,0.004295,0.999901,0.9435,2000,0
main,c154,MMF4,34,GP,53,1,0.242666,0.728014,0.8605,2000,0
main,c154,MMF4,36,GP,55,0,0.004135,0.999911,0.943,2000,0
main,c154,MMF4,36,GP,55,1,0.237455,0.734215,0.863,2000,0
main,c154,MMF4,38,GP,57,0,0.003722,0.999919,0.943,2000,0
main,c154,MMF4,38,GP,57,1,0.235317,0.739644,0.856,2000,0
main,c154,MMF4,40,GP,59,0,0.003596,0.999926,0.944,2000,0
main,c154,MMF4,40,GP,59,1,0.229621,0.746718,0.8535,2000,0
main,c154,MMF4,41,GP,60,0,0.003327,0.999933,0.947,2000,0
main,c154,MMF4,41,GP,60,1,0.210634,0.791643,0.87,2000,0
main,c154,MMF11_L,1,GP,20,0,0.001974,0.999972,1.0,2000,0
main,c154,MMF11_L,1,GP,20,1,0.134556,0.949073,0.8375,2000,0
main,c154,MMF11_L,2,GP,21,0,0.001695,0.999978,1.0,2000,0
main,c154,MMF11_L,2,GP,21,1,0.147765,0.957198,0.8905,2000,0
main,c154,MMF11_L,4,GP,23,0,0.001321,0.999986,1.0,2000,0
main,c154,MMF11_L,4,GP,23,1,0.140946,0.957632,0.892,2000,0
main,c154,MMF11_L,6,GP,25,0,0.001047,0.99999,1.0,2000,0
main,c154,MMF11_L,6,GP,25,1,0.131694,0.971404,0.895,2000,0
main,c154,MMF11_L,8,GP,27,0,0.000793,0.999996,1.0,2000,0
main,c154,MMF11_L,8,GP,27,1,0.131114,0.970077,0.881,2000,0
main,c154,MMF11_L,10,GP,29,0,0.000762,0.999996,1.0,2000,0
main,c154,MMF11_L,10,GP,29,1,0.130042,0.97019,0.862,2000,0
main,c154,MMF11_L,12,GP,31,0,0.000756,0.999997,1.0,2000,0
main,c154,MMF11_L,12,GP,31,1,0.132191,0.969636,0.8385,2000,0
main,c154,MMF11_L,14,GP,33,0,0.000723,0.999996,1.0,2000,0
main,c154,MMF11_L,14,GP,33,1,0.1336,0.96563,0.8525,2000,0
main,c154,MMF11_L,16,GP,35,0,0.000403,0.999999,1.0,2000,0
main,c154,MMF11_L,16,GP,35,1,0.122113,0.970597,0.91,2000,0
main,c154,MMF11_L,18,GP,37,0,0.000433,0.999999,1.0,2000,0
main,c154,MMF11_L,18,GP,37,1,0.117269,0.970411,0.9115,2000,0
main,c154,MMF11_L,20,GP,39,0,0.000421,0.999999,1.0,2000,0
