problema,obj,err_infill_med,err_sonda_med,razao_err,sigma_infill_med,sigma_sonda_med,razao_sigma,z_infill,cob_infill
BBOB_F1,0,0.37729835510253906,1.259167221846944,0.29964118232772813,1.5075876712799072,3.257802963256836,0.46276208758354187,0.2344469279050827,1.0
BBOB_F1,1,0.39423179626464844,1.425278944052053,0.276599747656309,1.5105676651000977,3.3569631576538086,0.44998040795326233,0.23426416516304016,1.0
BBOB_F17,0,85915.984375,256333.9684863406,0.3351720604270138,292921.8125,574041.625,0.5102797150611877,0.29521381855010986,1.0
BBOB_F17,1,7.542291641235352,31.217205576991304,0.2416068799826981,29.014806747436523,39.20042037963867,0.7401657104492188,0.28230994939804077,1.0
BBOB_F22,0,9254.8359375,51646.63715151843,0.1791953251544453,20278.544921875,66110.7734375,0.3067358732223511,0.46174097061157227,0.995
BBOB_F22,1,24.374099731445312,33.85490734908069,0.7199576557726771,48.35523986816406,143.117431640625,0.33787107467651367,0.523752748966217,0.965
BBOB_F37,0,22.094818115234375,37.496389297139785,0.5892518860987973,47.212440490722656,148.60159301757812,0.3177115321159363,0.5163211822509766,0.945
BBOB_F37,1,36.520172119140625,196.31019358758942,0.18603298917764097,102.30900573730469,326.2087707519531,0.31363046169281006,0.3327561020851135,1.0
BBOB_F49,0,28.175048828125,183.74831792290013,0.15333500271794112,58.39325714111328,323.4570617675781,0.18052862584590912,0.4086605906486511,0.995
BBOB_F49,1,2.9979324340820312,3.64962768549141,0.8214351414528931,3.991067886352539,10.235633850097656,0.3899189829826355,0.7945874929428101,0.895
BBOB_F5,0,0.3424649238586426,1.219041036338787,0.2809297748393986,1.4538722038269043,3.365724563598633,0.43196409940719604,0.23098821938037872,0.995
BBOB_F5,1,21.138641357421875,28.133897543338094,0.7513584395784279,46.869773864746094,119.75457763671875,0.3913818895816803,0.430461049079895,0.94
DTLZ1,0,11.818037033081055,9.352308069033555,1.2636492452822186,26.963123321533203,16.817584991455078,1.6032695770263672,0.4295012950897217,0.9071428571428571
DTLZ1,1,10.36484146118164,8.84521829283801,1.1718016580296353,22.42502212524414,13.769197463989258,1.6286368370056152,0.4084813594818115,0.9285714285714286
DTLZ1,2,46.53063201904297,26.071294895695267,1.784745721499465,50.72854995727539,41.63994598388672,1.218266487121582,0.9662083387374878,0.8142857142857143
MMF1,0,0.004506491124629974,0.0005703689530491829,7.901010566122767,0.012287100777029991,0.005445112474262714,2.256537437438965,0.37044012546539307,0.875
MMF1,1,0.7266465425491333,1.1455195721325695,0.6343379547818319,0.8470669984817505,0.6165467500686646,1.3738893270492554,0.8561124801635742,0.775
MMF11_L,0,0.00033186376094818115,0.00013094954192638397,2.534287299261767,0.0029312199912965298,0.0017601693980395794,1.6653056144714355,0.12739983201026917,1.0
MMF11_L,1,0.5544829368591309,0.24322005520475676,2.279758288815184,0.7753996253013611,0.45225775241851807,1.7145081758499146,0.7652024030685425,0.7857142857142857
MMF4,0,0.0034109801054000854,0.0004832465201616287,7.058468013922241,0.011484985239803791,0.005040059797465801,2.2787399291992188,0.28162771463394165,0.875
MMF4,1,0.14747560024261475,0.11648967952015338,1.2659971325365404,0.3885015845298767,0.1848551630973816,2.101654052734375,0.5119651556015015,0.95
ZDT4,0,0.00202611880376935,0.000674983486533165,3.001730922597612,0.005986317060887814,0.004289327189326286,1.3956308364868164,0.3355979919433594,1.0
ZDT4,1,17.87574005126953,15.93454797152269,1.1218228520329556,22.50057601928711,16.305131912231445,1.3799690008163452,0.8505479097366333,0.865
