problema,bloco,obj,wape,cob,sigma_med,nan_sigma,it,noise,ls_med,ls_min,ls_max,outputscale,mll
BBOB_F1,1,0,0.050419281262734,0.9925,11.14507007598877,0.0,1,0.0019675025635739,1.2406058426063136,1.1306433697758342,1.3484446518085684,0.6337413534657086,-0.5785991063688021
BBOB_F1,1,1,0.04490780612926,0.996,11.192689895629885,0.0,1,0.0020381371161633,1.2684069421610156,1.1717936586141322,1.414292478459707,0.7256042512106213,-0.5785991063688021
BBOB_F1,2,0,0.0517398252438499,0.9925,11.055868148803713,0.0,2,0.0019298834978833,1.2460492138538035,1.1414301547664127,1.37853861548133,0.6130281272677839,-0.5550574991892292
BBOB_F1,2,1,0.0452916785204993,0.996,11.044516563415527,0.0,2,0.0019878405039507,1.2825958923714964,1.1743253505910458,1.411588703787845,0.7139076982907316,-0.5550574991892292
BBOB_F1,4,0,0.0506956480516404,0.992,10.805039405822754,0.0,4,0.001829407667924,1.2744224614466704,1.1726242860504827,1.4199742808759168,0.6159275322805848,-0.5118955082393405
BBOB_F1,4,1,0.0473234795028091,0.996,10.826712131500244,0.0,4,0.0018934933926995,1.3168092020292828,1.2171186992577636,1.451641562825391,0.6969348427450848,-0.5118955082393405
BBOB_F1,6,0,0.0506522264455182,0.991,10.552967071533203,0.0,6,0.0016718339792506,1.2988625199380115,1.1976392444482888,1.435146987875282,0.5986919325843382,-0.4636958958185301
BBOB_F1,6,1,0.0467682327561847,0.9955,10.593736171722412,0.0,6,0.0017020413278943,1.3223764201847663,1.2427779072025935,1.4629001323470816,0.6711493878082989,-0.4636958958185301
BBOB_F1,8,0,0.04969988354849,0.9905,10.3614182472229,0.0,8,0.0015489766386827,1.3120996487702266,1.2162778045558424,1.4498038734001315,0.5878312891563267,-0.4200010156102783
BBOB_F1,8,1,0.0461479164608201,0.9955,10.34092617034912,0.0,8,0.001533288524909,1.3430960892943244,1.2641871771181246,1.4833174464430603,0.6543375188184873,-0.4200010156102783
BBOB_F1,10,0,0.04903302531979,0.9905,10.113072872161863,0.0,10,0.0013607734141673,1.333430303778274,1.2396841242904997,1.474373892752022,0.5674382544757512,-0.3749879648469192
BBOB_F1,10,1,0.0452880957425329,0.9955,10.09268283843994,0.0,10,0.0013885617719744,1.3612211562784742,1.2898840304650008,1.501982510093916,0.6500483720576095,-0.3749879648469192
BBOB_F1,12,0,0.0481052461322904,0.99,9.88379430770874,0.0,12,0.0012077970348124,1.361042760893122,1.2630405990912028,1.4908265410603196,0.5472188109720794,-0.3336193006194972
BBOB_F1,12,1,0.0436297215028528,0.996,9.880549907684326,0.0,12,0.0012597995370819,1.385589681676464,1.3026605897257588,1.5093352944208211,0.6562448434561889,-0.3336193006194972
BBOB_F1,14,0,0.0473836622205445,0.99,9.633149147033691,0.0,14,0.0010757575512086,1.3790885097139178,1.2842705502672886,1.5175723072521785,0.5381741586761272,-0.2933548309694003
BBOB_F1,14,1,0.0438178808616879,0.996,9.638387203216553,0.0,14,0.0011376029953985,1.39859809280335,1.3212545550365389,1.540417464673545,0.6515328771030211,-0.2933548309694003
BBOB_F1,16,0,0.0465784311624208,0.99,9.404192924499512,0.0,16,0.0009661586579306,1.401579351613934,1.3066701138956758,1.5382404576975497,0.5412105657193784,-0.2531644107504284
BBOB_F1,16,1,0.0429891633825686,0.996,9.43310022354126,0.0,16,0.0010074212786832,1.4217681224531324,1.350730569143485,1.5596403182126284,0.6365806429802352,-0.2531644107504284
BBOB_F1,18,0,0.0459559494579048,0.99,9.190905094146729,0.0,18,0.0008658725734193,1.4212134980852698,1.326247584383762,1.5689933596020658,0.5369442095737994,-0.2164265087604482
BBOB_F1,18,1,0.0423182145316436,0.996,9.237475395202637,0.0,18,0.000918093778159,1.4416820550699023,1.373137741287038,1.5676528758122754,0.6339368227365061,-0.2164265087604482
BBOB_F1,20,0,0.0452708597802216,0.99,8.968026161193848,0.0,20,0.0007847862481892,1.4394227584274069,1.348431873008271,1.590552528458406,0.5453694477628347,-0.1798491692462219
BBOB_F1,20,1,0.0414944537012616,0.9955,8.990565776824951,0.0,20,0.0008276713648557,1.4622467541596589,1.4071363580409793,1.586945567788844,0.6218355180010018,-0.1798491692462219
BBOB_F1,22,0,0.0451649168725975,0.99,8.778148174285889,0.0,22,0.0007053499062097,1.4567728251040202,1.36469831162077,1.6192853959400897,0.5426774928566865,-0.1435663293726406
BBOB_F1,22,1,0.0413207785430376,0.995,8.810902118682861,0.0,22,0.0007354697695034,1.480819902251839,1.4318582127665602,1.6110693438579355,0.6248510008019162,-0.1435663293726406
BBOB_F1,24,0,0.0438265015143502,0.991,8.569751262664795,0.0,24,0.0006347940371567,1.4766694365346424,1.4046351335690286,1.6380272618294651,0.5363992096580772,-0.1131793600332164
BBOB_F1,24,1,0.0397067509716886,0.995,8.649678230285645,0.0,24,0.0006788562876479,1.5044022108297528,1.4561592954549978,1.609153105952534,0.6431281496889509,-0.1131793600332164
BBOB_F1,26,0,0.0418369405868477,0.9925,8.43080186843872,0.0,26,0.0005934725764575,1.5043051841953303,1.4247333085479474,1.6225596016518296,0.5352355099485706,-0.0835444636578957
BBOB_F1,26,1,0.0385803957552479,0.996,8.491266250610352,0.0,26,0.0006376198126646,1.527012850575569,1.4745567445174896,1.6423871930160665,0.6533404829595705,-0.0835444636578957
BBOB_F1,28,0,0.0412748590610513,0.9925,8.258588314056396,0.0,28,0.0005390578678948,1.5251188602529122,1.4473333724680677,1.6466323315901896,0.5453744179725888,-0.0515475052283774
BBOB_F1,28,1,0.0379843580413709,0.9955,8.320900440216064,0.0,28,0.0005724927077161,1.547986838177049,1.5014613731090571,1.6597674122564663,0.6454711489960101,-0.0515475052283774
BBOB_F1,30,0,0.0407834760085082,0.992,8.097596645355225,0.0,30,0.0004949101944586,1.5452877858817768,1.4666466947895105,1.6693877106678887,0.5480047003039075,-0.023361996995892
BBOB_F1,30,1,0.0376197756125661,0.996,8.135846614837646,0.0,30,0.000536079292513,1.5851298455949918,1.53046741403278,1.688895192229277,0.6556260656047032,-0.023361996995892
BBOB_F1,32,0,0.0399644494700347,0.9915,7.902383327484131,0.0,32,0.0004519390245366,1.5675248355022238,1.4910299515567529,1.6880448429341837,0.5465375235811138,0.0071075819481622
BBOB_F1,32,1,0.0373650356306072,0.9955,7.96711802482605,0.0,32,0.0004895741043467,1.613264427167432,1.5431437824917345,1.7239979836651562,0.6624663754058028,0.0071075819481622
BBOB_F1,34,0,0.039095753120621,0.9925,7.780720710754395,0.0,34,0.0004170685266945,1.6056958806569894,1.5120850859777624,1.6967969990186151,0.5528633810642096,0.0351289596677493
BBOB_F1,34,1,0.0363479462993472,0.9955,7.817382574081421,0.0,34,0.0004558578945906,1.6390231684039736,1.570323781864684,1.73671329065622,0.6702791930170457,0.0351289596677493
BBOB_F1,36,0,0.0388844225515969,0.992,7.622857332229614,0.0,36,0.0003704895774672,1.6262969164468826,1.5264333198477855,1.7262755761804762,0.5485926525172858,0.0639482660452822
BBOB_F1,36,1,0.0353279863399362,0.996,7.608094930648804,0.0,36,0.0004124509648399,1.6654864236082778,1.6050138664073803,1.7617795895365718,0.6908016279450031,0.0639482660452822
BBOB_F1,38,0,0.0378743834911474,0.9925,7.478274822235107,0.0,38,0.0003462114734432,1.650090845941547,1.5632811951005847,1.7405396690539632,0.5617711687108985,0.0912281150106031
BBOB_F1,38,1,0.0345110782363998,0.996,7.434936046600342,0.0,38,0.0003730420876553,1.6939143157928525,1.623312969385717,1.803642557611002,0.7045753154344562,0.0912281150106031
BBOB_F1,40,0,0.0371385122877318,0.9925,7.341376543045044,0.0,40,0.000321291665605,1.668970379930791,1.5958257340800424,1.7636509115201229,0.5744624301859824,0.1189873132237114
BBOB_F1,40,1,0.0343788659068075,0.996,7.356109142303467,0.0,40,0.0003469587400436,1.7025642928209466,1.6424194127237888,1.803173524985299,0.6886729866083321,0.1189873132237114
BBOB_F1,42,0,0.0367356518947963,0.9925,7.218030214309692,0.0,42,0.000299570784584,1.689753313661699,1.613488012263712,1.7847193446607987,0.5892496788725394,0.1456383717014462
BBOB_F1,42,1,0.0337666130313559,0.996,7.228390216827393,0.0,42,0.0003121895755246,1.7274362619117458,1.6698406269133346,1.812810931417564,0.6884409363339704,0.1456383717014462
BBOB_F1,44,0,0.0357285926382863,0.992,7.085464954376221,0.0,44,0.0002822054835926,1.7101420078692071,1.6308235597943452,1.8068393666414055,0.6013273358502222,0.1702504498058192
BBOB_F1,44,1,0.0328383955664664,0.996,7.092339754104614,0.0,44,0.0002914680762885,1.7605471380341722,1.6971881055109757,1.8395078993503415,0.6943096897406428,0.1702504498058192
BBOB_F1,46,0,0.0349529544572557,0.9915,6.97349739074707,0.0,46,0.0002694694598738,1.7311240064443874,1.65137618477586,1.8362113552174877,0.6265636425982173,0.1932481879994542
BBOB_F1,46,1,0.0325219984904695,0.996,6.9962286949157715,0.0,46,0.0002713165402575,1.7793169874580097,1.713796636999535,1.8630037087733171,0.6894392739466694,0.1932481879994542
BBOB_F1,48,0,0.0342163023937346,0.9925,6.8603596687316895,0.0,48,0.0002467332857404,1.750830492083436,1.6771552089539992,1.8508492553048832,0.6252433506676378,0.218284348474801
BBOB_F1,48,1,0.0319951142972547,0.996,6.8762853145599365,0.0,48,0.0002538230661667,1.8092687793631297,1.731370195351723,1.8871557019927616,0.7074680308070415,0.218284348474801
BBOB_F1,50,0,0.033624006418184,0.9915,6.74145770072937,0.0,50,0.0002301126107267,1.7782719227398185,1.696237689513975,1.8691333639547056,0.6348871841379435,0.2448677610575646
BBOB_F1,50,1,0.031279490407287,0.9955,6.747999668121338,0.0,50,0.0002364219928897,1.8331381004169915,1.7514970734836668,1.9060917426238604,0.7153195860497001,0.2448677610575646
BBOB_F1,52,0,0.0319820183675739,0.9935,6.644709587097168,0.0,52,0.0002245494913553,1.80877026962212,1.737168340407621,1.8909734985375628,0.657770139796618,0.2667318229355012
BBOB_F1,52,1,0.030522008178759,0.996,6.647497653961182,0.0,52,0.0002235726436569,1.8466498508291451,1.7712248858147417,1.9251879350810492,0.7174583890915501,0.2667318229355012
BBOB_F1,54,0,0.0311593843719471,0.993,6.5390636920928955,0.0,54,0.0002096788898279,1.828912081624359,1.765529611373175,1.9140278575492804,0.6613191931145062,0.2892015138531826
BBOB_F1,54,1,0.0298456939877791,0.9965,6.536881923675537,0.0,54,0.0002121232009908,1.8753847602042315,1.7923063456412005,1.9332558931440205,0.7356934564389344,0.2892015138531826
BBOB_F1,56,0,0.0305734290222435,0.9935,6.41880989074707,0.0,56,0.0001945966356713,1.8594795060783933,1.787987973240551,1.9359161804892315,0.6683856375083022,0.3122403184958154
BBOB_F1,56,1,0.0293616890724088,0.9975,6.416171550750732,0.0,56,0.0001988012130824,1.8994213351951552,1.819248889151492,1.9661871413012304,0.7528952357094383,0.3122403184958154
BBOB_F1,58,0,0.0302059839033032,0.9935,6.315606117248535,0.0,58,0.0001817078915924,1.8749840524437031,1.7997906258012522,1.9511604065918744,0.6768773903436063,0.3358155873162872
BBOB_F1,58,1,0.0289079401009657,0.997,6.315800905227661,0.0,58,0.0001852325148994,1.9167587586451167,1.8467132625368332,1.9752625269389557,0.7656186412357253,0.3358155873162872
BBOB_F1,60,0,0.0291324944843948,0.9945,6.215843677520752,0.0,60,0.00016845270287,1.904108627666132,1.84722215617576,1.956092661140556,0.6843933351654458,0.3575710084115278
BBOB_F1,60,1,0.0287417312317091,0.9965,6.2163450717926025,0.0,60,0.00017314510038,1.938856001319316,1.8671878501244044,2.004006230006115,0.7769805552221525,0.3575710084115278
BBOB_F1,62,0,0.029316888865169,0.994,6.106459140777588,0.0,62,0.0001602477744402,1.923871338184443,1.865184914963534,1.994587560303562,0.7021184971099956,0.3790841673914586
BBOB_F1,62,1,0.0281882259614304,0.997,6.106973886489868,0.0,62,0.0001629027908255,1.9606765958147072,1.8914552511312437,2.0364808592134036,0.7925512394203718,0.3790841673914586
