problema,D,pos_exata,pos_empate,pos_mismatch,n_empates_med,n_empates_max
BBOB_F1,10,3,0,197,1.0,1
BBOB_F17,10,4,11,185,2.0,35
BBOB_F22,10,1,4,195,1.0,28
BBOB_F37,10,2,8,190,1.0,50
BBOB_F49,10,6,0,194,1.0,11
BBOB_F5,10,2,0,198,1.0,7
DTLZ1,7,16,19,105,2.0,21
MMF1,2,14,21,5,3.0,7
MMF11_L,2,18,11,13,1.0,6
MMF4,2,13,13,14,2.0,9
ZDT4,10,1,13,186,3.0,38
