problema,n_ckpt,igd0,igdN,viol_igd,viol_igd_max,viol_hv,nd0,ndN,ganho_pct
BBOB_F1,20,1.6651151931674129,0.103299018237793,0,0.0,0,1,13,-93.79628396511741
BBOB_F17,20,2.4167899424756034,0.02217810287619306,0,0.0,0,1,7,-99.08233220908411
BBOB_F22,20,6.550407018400444,0.17675603894738123,0,0.0,0,1,15,-97.30160219890361
BBOB_F37,20,1.182738987190214,0.20118680753497267,0,0.0,0,1,11,-82.98975431486163
BBOB_F49,20,1.3383037553621309,0.15205681461508033,0,0.0,0,1,22,-88.6380940047549
BBOB_F5,20,0.9165469299595926,0.10626389945177162,0,0.0,0,1,16,-88.40606018325145
DTLZ1,20,541.7753550899159,83.48756119703116,0,0.0,0,1,16,-84.590003880266
MMF1,20,2.8112970162129414,0.05528466747620975,0,0.0,0,1,9,-98.0334818001307
MMF11_L,20,0.5728206234612008,0.046853995577399284,0,0.0,0,1,15,-91.8204768371834
MMF4,20,0.3675238638476179,0.027452253464502637,0,0.0,0,1,19,-92.53048409507231
ZDT4,20,160.0026906116995,50.42486667521462,0,0.0,0,1,2,-68.4849882946109
