problema,D,bloco,n,fe_treino_max,wape0,cov0,sigma_med0,nan_sigma0,wape1,cov1,sigma_med1,nan_sigma1,wape2,cov2,sigma_med2,nan_sigma2
BBOB_F1,10,1,2000,108,0.050419281262734046,0.9925,11.14507007598877,0,0.04490780612926003,0.996,11.192689895629883,0,,,,
BBOB_F1,10,2,2000,109,0.05173982524384998,0.9925,11.055868148803711,0,0.045291678520499395,0.996,11.044516563415527,0,,,,
BBOB_F1,10,4,2000,111,0.05069564805164044,0.992,10.805039405822754,0,0.04732347950280913,0.996,10.826712131500244,0,,,,
BBOB_F1,10,6,2000,113,0.05065222644551828,0.991,10.552967071533203,0,0.04676823275618474,0.9955,10.593736171722412,0,,,,
BBOB_F1,10,8,2000,115,0.049699883548490094,0.9905,10.3614182472229,0,0.04614791646082014,0.9955,10.340926170349121,0,,,,
BBOB_F1,10,10,2000,117,0.04903302531979009,0.9905,10.113072872161865,0,0.045288095742532994,0.9955,10.092682838439941,0,,,,
BBOB_F1,10,12,2000,119,0.04810524613229046,0.99,9.88379430770874,0,0.043629721502852895,0.996,9.880549907684326,0,,,,
BBOB_F1,10,14,2000,121,0.04738366222054451,0.99,9.633149147033691,0,0.0438178808616879,0.996,9.638387203216553,0,,,,
BBOB_F1,10,16,2000,123,0.04657843116242086,0.99,9.404192924499512,0,0.04298916338256863,0.996,9.43310022354126,0,,,,
BBOB_F1,10,18,2000,125,0.04595594945790481,0.99,9.190905094146729,0,0.04231821453164367,0.996,9.237475395202637,0,,,,
BBOB_F1,10,20,2000,127,0.045270859780221676,0.99,8.968026161193848,0,0.04149445370126168,0.9955,8.990565776824951,0,,,,
BBOB_F1,10,22,2000,129,0.045164916872597514,0.99,8.778148174285889,0,0.0413207785430376,0.995,8.810902118682861,0,,,,
BBOB_F1,10,24,2000,131,0.0438265015143502,0.991,8.569751262664795,0,0.03970675097168867,0.995,8.649678230285645,0,,,,
BBOB_F1,10,26,2000,133,0.04183694058684772,0.9925,8.43080186843872,0,0.038580395755247916,0.996,8.491266250610352,0,,,,
BBOB_F1,10,28,2000,135,0.04127485906105138,0.9925,8.258588314056396,0,0.03798435804137095,0.9955,8.320900440216064,0,,,,
BBOB_F1,10,30,2000,137,0.040783476008508235,0.992,8.097596645355225,0,0.03761977561256612,0.996,8.135846614837646,0,,,,
BBOB_F1,10,32,2000,139,0.03996444947003476,0.9915,7.902383327484131,0,0.037365035630607286,0.9955,7.96711802482605,0,,,,
BBOB_F1,10,34,2000,141,0.03909575312062108,0.9925,7.7807207107543945,0,0.03634794629934728,0.9955,7.817382574081421,0,,,,
BBOB_F1,10,36,2000,143,0.03888442255159698,0.992,7.622857332229614,0,0.03532798633993628,0.996,7.608094930648804,0,,,,
BBOB_F1,10,38,2000,145,0.037874383491147405,0.9925,7.478274822235107,0,0.034511078236399845,0.996,7.434936046600342,0,,,,
BBOB_F1,10,40,2000,147,0.037138512287731885,0.9925,7.341376543045044,0,0.03437886590680753,0.996,7.356109142303467,0,,,,
BBOB_F1,10,42,2000,149,0.03673565189479635,0.9925,7.218030214309692,0,0.033766613031355946,0.996,7.228390216827393,0,,,,
BBOB_F1,10,44,2000,151,0.035728592638286386,0.992,7.085464954376221,0,0.03283839556646643,0.996,7.092339754104614,0,,,,
BBOB_F1,10,46,2000,153,0.0349529544572557,0.9915,6.97349739074707,0,0.0325219984904695,0.996,6.9962286949157715,0,,,,
BBOB_F1,10,48,2000,155,0.03421630239373467,0.9925,6.8603596687316895,0,0.03199511429725474,0.996,6.8762853145599365,0,,,,
BBOB_F1,10,50,2000,157,0.033624006418184096,0.9915,6.74145770072937,0,0.03127949040728709,0.9955,6.747999668121338,0,,,,
BBOB_F1,10,52,2000,159,0.03198201836757395,0.9935,6.644709587097168,0,0.03052200817875907,0.996,6.647497653961182,0,,,,
BBOB_F1,10,54,2000,161,0.03115938437194715,0.993,6.5390636920928955,0,0.02984569398777916,0.9965,6.536881923675537,0,,,,
BBOB_F1,10,56,2000,163,0.030573429022243567,0.9935,6.41880989074707,0,0.02936168907240885,0.9975,6.416171550750732,0,,,,
BBOB_F1,10,58,2000,165,0.030205983903303223,0.9935,6.315606117248535,0,0.028907940100965788,0.997,6.315800905227661,0,,,,
BBOB_F1,10,60,2000,167,0.029132494484394873,0.9945,6.215843677520752,0,0.02874173123170912,0.9965,6.2163450717926025,0,,,,
BBOB_F1,10,62,2000,169,0.029316888865169023,0.994,6.106459140777588,0,0.028188225961430485,0.997,6.106973886489868,0,,,,
BBOB_F1,10,64,2000,171,0.02885389633988676,0.994,5.998797416687012,0,0.027470882309990566,0.997,5.998444557189941,0,,,,
