problema,obj,wape_infill,wape_sonda_med,wape_sonda_N,razao
BBOB_F1,0,0.0156137506325597,0.0365105,0.022602,0.6908127879196398
BBOB_F1,1,0.0143758463045936,0.033534999999999995,0.022162,0.6486709820681166
BBOB_F17,0,0.0566323024080559,0.0255675,0.018228,3.106885144176865
BBOB_F17,1,0.3587826527576561,0.3689025,0.351188,1.0216256043989433
BBOB_F22,0,0.2142704781018551,0.0977865,0.089009,2.4072900279955407
BBOB_F22,1,0.0541083491193057,0.033013,0.02552,2.1202331159602545
BBOB_F37,0,0.0584004375462982,0.035734,0.028121,2.0767553624088118
BBOB_F37,1,0.1450114308114459,0.34801800000000005,0.326763,0.4437816729906565
BBOB_F49,0,0.0564744840252319,0.251977,0.237449,0.23783837382019676
BBOB_F49,1,0.1670287897621466,0.0552815,0.056984,2.9311524245778924
BBOB_F5,0,0.0141178307330272,0.03585,0.022829,0.6184165199100793
BBOB_F5,1,0.0347933762380305,0.0344,0.024591,1.414882527673966
DTLZ1,0,0.7083767894263168,0.3141315,0.283853,2.495576194108629
DTLZ1,1,0.8653974140205071,0.299888,0.263252,3.287334622416951
DTLZ1,2,0.5593125060254795,0.2783035,0.270157,2.070323945059649
MMF1,0,0.0215434013778741,0.0189765,0.014999,1.436322513359164
MMF1,1,0.6208952393104825,0.7914775000000001,0.760189,0.8167643037593053
MMF11_L,0,0.002115607119076,0.0013835,0.000793,2.667852609175284
MMF11_L,1,0.1709469675847427,0.132835,0.131114,1.30380407572603
MMF4,0,0.01558928629342,0.018612499999999997,0.015326,1.0171790612958371
MMF4,1,0.2807222358205907,0.30672299999999997,0.301579,0.9308414571989121
ZDT4,0,1.006656638457346,0.008322,0.005587,180.17838526174086
ZDT4,1,0.1225364703610859,0.1330985,0.126105,0.9717019179341494
