problema,D,n_it,dup_pares,A_H1,A_H0,A_nulo,A_nulo_n,B_H1,B_H0,B_nulo,B_n
BBOB_F1,10,201,0,0,0,0,0,0.10976039355383262,0.01110337772955838,-0.00836675290018128,201
BBOB_F17,10,201,0,0,0,0,0,0.47866120907740517,0.12248903296973189,7.891900668560737e-05,201
BBOB_F22,10,201,0,0,0,0,0,0.4332265974764404,0.07603802142113644,0.00624094014637617,201
BBOB_F37,10,201,0,0,0,0,0,0.5425819911685702,0.08852149002244908,-0.0005884282819181626,201
BBOB_F49,10,201,0,0,0,0,0,0.8350905664121941,0.16409620659911026,0.04855937153150791,193
BBOB_F5,10,201,0,0,0,0,0,0.10057934429889409,0.028382961667538138,0.00260769887073916,201
DTLZ1,7,141,112,112,58,174,3360,0.21594465148012307,0.08226097419108169,0.0022850470754391563,141
MMF1,2,41,2,2,0,5,60,0.49700167442450305,0.20784610835083953,-0.03320158102766799,41
MMF11_L,2,43,61,60,34,346,1830,0.38125989727071985,0.09539181137623316,-0.038481814726253095,43
MMF4,2,41,14,14,5,68,420,0.4506560615331067,0.041377038940497685,-0.03880233211367496,41
ZDT4,10,201,17,17,5,3,510,0.33642400141241496,0.04960042442556349,-0.0002936868082770368,201
