problema,D,corte,sobol_trunc,melhor_piso_EA,melhor_piso_alg,pior_piso_EA,melhor_SA,melhor_SA_alg,n_SA_pior_que_sobol,n_SA,sobol_pior_que_todos_pisos
DTLZ2,12,371,0.3622816119370073,0.1700820491933293,smsemoa,0.3518633395536835,0.0306550164345873,c262,1,12,True
MMF16_20,20,619,0.0535374135495066,0.0316158421272363,smsemoa,0.0600143363541736,0.0189070252046334,c238,0,11,False
WFG9,22,681,0.2082681270559705,0.0955346891283579,nsga3,0.1497323119704348,0.0750818925426917,c141,1,12,True
ZDT1,30,929,1.8086455999126825,0.4440783896843883,nsga2,1.686875225032134,0.000702785674901,c262,0,12,True
ZDT4,10,309,91.5931989827232,43.898268794314845,nsga2,65.17103599448568,5.928104893929911,c262,1,13,True
