problema,D,M,n_linhas,max_abs_diff,max_rel_diff,mediana_rel_diff,frac_bit_a_bit,frac_rel_le_1e6,n_linhas_init,n_linhas_opt
DTLZ2,12,3,2131,2.384185791015625e-07,5.7781654305813096e-06,0.0,0.6014390739871734,0.9870170498983263,131,2000
MMF16_20,20,3,2219,2.384185791015625e-07,3.669560030928617e-05,0.0,0.5574583145561064,0.9839266937058735,219,2000
WFG9,22,2,2241,8.392333984375e-05,4.08777949030964e-05,0.0,0.5399375278893351,0.9950914770191879,241,2000
ZDT1,30,2,2329,4.76837158203125e-07,1.1878075827735591e-07,0.0,0.9647917561185058,1.0,329,2000
ZDT4,10,2,2109,7.62939453125e-05,4.979673388202141e-07,0.0,0.6417733522996681,1.0,109,2000
