problema,tempo_total_s,soma_componentes_s,nao_contabilizado_s,frac_nao_contabilizada,soma_tempo_geracao_s,soma_tempo_busca_s,aval_no_loop_opt_s
DTLZ2,3.2655,0.1604,3.1050999999999997,0.9508804164752718,0.30074477195739746,0.16044259071350098,0.14030218124389648
MMF16_20,3.3378,0.2064,3.1314,0.9381628617652346,0.3580930233001709,0.20643854141235352,0.15165448188781738
WFG9,6.8203,0.2439,6.5764,0.9642391097165813,3.4093940258026123,0.24393773078918457,3.1654562950134277
ZDT1,3.3356,0.268,3.0675999999999997,0.9196546348483031,0.3859548568725586,0.26798391342163086,0.11797094345092773
ZDT4,3.1561,0.1415,3.0145999999999997,0.9551661861157758,0.2549560070037842,0.1414790153503418,0.11347699165344238
