problema,D,igd_plus_obs,hv_obs,nnd_obs,igd_plus_cfA_sobol_unico,hv_cfA,nnd_cfA,delta_rel_igd_cfA,CD_obs_por_iteracao,CD_cfA_sobol_unico,razao_CD_obs_sobre_unico,cfB_pontos_unicos_sem_scramble,cfB_primeiro_ponto_eh_origem
DTLZ2,12,0.29939265920795055,0.16647146889829056,116,0.29400307964943295,0.15294583402010925,120,0.018331711235624104,0.0040718571782931276,0.0009917238916444296,4.105837534620011,10,True
MMF16_20,20,0.028344487374127807,0.7155453731523123,221,0.024999563616669454,0.7227232526901255,226,0.13379928580945274,0.03569074815873827,0.02039061071575075,1.7503520937295374,10,True
WFG9,22,0.20387767339914784,0.12421681517581287,24,0.1884508901564453,0.1381420818526782,20,0.08186102612673121,0.058832038810601894,0.03777760322435975,1.5573258700717632,10,True
ZDT1,30,1.8086455999126825,0.0,26,1.9835379490561678,0.0,22,-0.08817191989026718,0.38009582267753245,0.3189280312131242,1.1917918322567664,10,True
ZDT4,10,68.13137113595556,0.0,7,58.71316262231461,0.0,5,0.160410512617514,0.0021361827345734922,0.00033243728210331124,6.425821800304674,10,True
