label,alg,n_final,n_nd,fantasia,origem_ger
BBOB_F1,moead_media,50,29,0.58,801
BBOB_F1,b5m,50,27,0.54,801
BBOB_F1,b5r,48,28,0.5833333333333334,828
BBOB_F1,e103,100,99,0.99,99
BBOB_F17,moead_media,50,50,1.0,801
BBOB_F17,b5m,50,7,0.14,801
BBOB_F17,b5r,29,3,0.10344827586206896,2461
BBOB_F17,e103,100,9,0.09,99
BBOB_F22,moead_media,50,17,0.34,801
BBOB_F22,b5m,50,22,0.44,801
BBOB_F22,b5r,39,5,0.1282051282051282,1144
BBOB_F22,e103,100,20,0.2,99
BBOB_F37,moead_media,50,3,0.06,801
BBOB_F37,b5m,50,9,0.18,801
BBOB_F37,b5r,50,7,0.14,814
BBOB_F37,e103,100,5,0.05,99
BBOB_F49,moead_media,50,4,0.08,801
BBOB_F49,b5m,50,15,0.3,801
BBOB_F49,b5r,46,2,0.043478260869565216,919
BBOB_F49,e103,100,15,0.15,99
BBOB_F5,moead_media,50,28,0.56,801
BBOB_F5,b5m,50,21,0.42,801
BBOB_F5,b5r,46,27,0.5869565217391305,879
BBOB_F5,e103,100,74,0.74,99
BBOB_F55,moead_media,50,4,0.08,801
BBOB_F55,b5m,50,9,0.18,801
BBOB_F55,b5r,44,7,0.1590909090909091,942
BBOB_F55,e103,100,4,0.04,99
DTLZ1,moead_media,105,94,0.8952380952380953,381
DTLZ1,b5m,105,4,0.0380952380952381,381
DTLZ1,b5r,51,5,0.09803921568627451,870
DTLZ1,e103,100,24,0.24,99
DTLZ2,moead_media,105,99,0.9428571428571428,381
DTLZ2,b5m,105,83,0.7904761904761904,381
DTLZ2,b5r,83,71,0.8554216867469879,504
DTLZ2,e103,100,81,0.81,99
DTLZ3,moead_media,105,104,0.9904761904761905,381
DTLZ3,b5m,105,26,0.24761904761904763,381
DTLZ3,b5r,38,4,0.10526315789473684,1077
DTLZ3,e103,100,46,0.46,99
DTLZ4,moead_media,105,3,0.02857142857142857,381
DTLZ4,b5m,105,12,0.11428571428571428,381
DTLZ4,b5r,14,8,0.5714285714285714,2312
DTLZ4,e103,100,22,0.22,99
DTLZ7,moead_media,105,33,0.3142857142857143,381
DTLZ7,b5m,105,28,0.26666666666666666,381
DTLZ7,b5r,52,18,0.34615384615384615,785
DTLZ7,e103,100,40,0.4,99
MMF1,moead_media,50,1,0.02,801
MMF1,b5m,50,19,0.38,801
MMF1,b5r,44,20,0.45454545454545453,909
MMF1,e103,100,37,0.37,99
MMF11_L,moead_media,50,18,0.36,801
MMF11_L,b5m,50,32,0.64,801
MMF11_L,b5r,48,21,0.4375,848
MMF11_L,e103,100,73,0.73,99
MMF16_20,moead_media,105,65,0.6190476190476191,381
MMF16_20,b5m,105,45,0.42857142857142855,381
MMF16_20,b5r,74,56,0.7567567567567568,595
MMF16_20,e103,100,100,1.0,99
MMF4,moead_media,50,13,0.26,801
MMF4,b5m,50,32,0.64,801
MMF4,b5r,48,33,0.6875,865
MMF4,e103,100,71,0.71,99
WFG1,moead_media,50,18,0.36,801
WFG1,b5m,50,24,0.48,801
WFG1,b5r,46,24,0.5217391304347826,935
WFG1,e103,100,38,0.38,99
WFG2,moead_media,50,2,0.04,801
WFG2,b5m,50,14,0.28,801
WFG2,b5r,42,12,0.2857142857142857,923
WFG2,e103,100,12,0.12,99
WFG4,moead_media,50,15,0.3,801
WFG4,b5m,50,21,0.42,801
WFG4,b5r,46,18,0.391304347826087,937
WFG4,e103,100,26,0.26,99
WFG5,moead_media,50,15,0.3,801
WFG5,b5m,50,21,0.42,801
WFG5,b5r,44,11,0.25,930
WFG5,e103,100,31,0.31,99
WFG9,moead_media,50,1,0.02,801
WFG9,b5m,50,19,0.38,801
WFG9,b5r,45,15,0.3333333333333333,906
WFG9,e103,100,19,0.19,99
ZDT1,moead_media,50,23,0.46,801
ZDT1,b5m,50,13,0.26,801
ZDT1,b5r,47,18,0.3829787234042553,878
ZDT1,e103,100,95,0.95,99
ZDT3,moead_media,50,15,0.3,801
ZDT3,b5m,50,12,0.24,801
ZDT3,b5r,45,15,0.3333333333333333,921
ZDT3,e103,100,26,0.26,99
ZDT4,moead_media,50,17,0.34,801
ZDT4,b5m,50,13,0.26,801
ZDT4,b5r,12,4,0.3333333333333333,3845
ZDT4,e103,100,7,0.07,99
ZDT6,moead_media,50,18,0.36,801
ZDT6,b5m,50,12,0.24,801
ZDT6,b5r,38,9,0.23684210526315788,950
ZDT6,e103,100,5,0.05,99
swap_medium-lhs_DTLZ2,moead_media,105,105,1.0,381
swap_medium-lhs_DTLZ2,b5m,105,66,0.6285714285714286,381
swap_medium-lhs_DTLZ2,b5r,100,90,0.9,408
swap_medium-lhs_DTLZ2,e103,100,70,0.7,99
swap_medium-lhs_MMF16_20,moead_media,105,38,0.3619047619047619,381
swap_medium-lhs_MMF16_20,b5m,105,40,0.38095238095238093,381
swap_medium-lhs_MMF16_20,b5r,88,58,0.6590909090909091,512
swap_medium-lhs_MMF16_20,e103,100,100,1.0,99
swap_medium-lhs_WFG9,moead_media,50,1,0.02,801
swap_medium-lhs_WFG9,b5m,50,20,0.4,801
swap_medium-lhs_WFG9,b5r,44,12,0.2727272727272727,905
swap_medium-lhs_WFG9,e103,100,11,0.11,99
swap_medium-lhs_ZDT1,moead_media,50,18,0.36,801
swap_medium-lhs_ZDT1,b5m,50,22,0.44,801
swap_medium-lhs_ZDT1,b5r,48,7,0.14583333333333334,852
swap_medium-lhs_ZDT1,e103,100,92,0.92,99
swap_medium-lhs_ZDT4,moead_media,50,10,0.2,801
swap_medium-lhs_ZDT4,b5m,50,2,0.04,801
swap_medium-lhs_ZDT4,b5r,8,2,0.25,5465
swap_medium-lhs_ZDT4,e103,200,10,0.05,99
swap_medium-mvns_DTLZ2,moead_media,105,4,0.0380952380952381,381
swap_medium-mvns_DTLZ2,b5m,105,34,0.3238095238095238,381
swap_medium-mvns_DTLZ2,b5r,88,72,0.8181818181818182,454
swap_medium-mvns_DTLZ2,e103,100,22,0.22,99
swap_medium-mvns_MMF16_20,moead_media,105,6,0.05714285714285714,381
swap_medium-mvns_MMF16_20,b5m,105,19,0.18095238095238095,381
swap_medium-mvns_MMF16_20,b5r,70,39,0.5571428571428572,647
swap_medium-mvns_MMF16_20,e103,100,99,0.99,99
swap_medium-mvns_WFG9,moead_media,50,50,1.0,801
swap_medium-mvns_WFG9,b5m,50,21,0.42,801
swap_medium-mvns_WFG9,b5r,42,13,0.30952380952380953,954
swap_medium-mvns_WFG9,e103,100,19,0.19,99
swap_medium-mvns_ZDT1,moead_media,50,22,0.44,801
swap_medium-mvns_ZDT1,b5m,50,27,0.54,801
swap_medium-mvns_ZDT1,b5r,47,8,0.1702127659574468,864
swap_medium-mvns_ZDT1,e103,100,94,0.94,99
