label,problema,exp,obj,fbest_g1,fbest_gN,fmin_dataset,fmin_real_final,abaixo_do_dataset,gap_abs,gap_rel,mu_negativo,f_ds_min_negativo
BBOB_F1,BBOB_F1,off,0,50.82198453782655,-12.588775887153282,18.065044403076172,6.330447196960449,True,30.653820290229454,1.6968582864379578,True,False
BBOB_F1,BBOB_F1,off,1,40.937210521896304,-14.303950786274953,18.29159164428711,7.649357795715332,True,32.59554243056206,1.7819959610098999,True,False
BBOB_F17,BBOB_F17,off,0,-466432.12308597565,-8903163.713999853,325594.71875,1951002.5,True,9228758.432749853,28.34431242675017,True,False
BBOB_F17,BBOB_F17,off,1,3.21824990376845e-33,1.1501354855776247e-13,10.654142379760742,87.22391510009766,True,10.654142379760627,0.9999999999999891,False,False
BBOB_F22,BBOB_F22,off,0,95618.12624708272,-284421.2388800932,8767.8330078125,68675.7421875,True,293189.0718879057,33.439171529232155,True,False
BBOB_F22,BBOB_F22,off,1,1211.864191209982,563.4044849062315,1099.072265625,757.3397216796875,True,535.6677807187685,0.4873817650326705,False,False
BBOB_F37,BBOB_F37,off,0,1430.5277983039696,744.0953173697212,931.3229370117188,1245.1800537109375,True,187.22761964199753,0.20103404759120805,False,False
BBOB_F37,BBOB_F37,off,1,109.34281636540811,-391.6957361537988,215.8182830810547,208.0699005126953,True,607.5140192348535,2.8149330564671855,True,False
BBOB_F49,BBOB_F49,off,0,-25.26584760196897,-1045.6355009474078,138.30792236328125,270.0218505859375,True,1183.943423310689,8.56019961171081,True,False
BBOB_F49,BBOB_F49,off,1,60.702008874974354,-35.56243261814279,14.40285587310791,67.58024597167969,True,49.9652884912507,3.4691236884861625,True,False
BBOB_F5,BBOB_F5,off,0,43.06700002473417,-17.95410644674081,19.993112564086914,5.987935543060303,True,37.94721901082772,1.8980145732281468,True,False
BBOB_F5,BBOB_F5,off,1,1328.9553170008958,490.602215412752,924.8676147460938,642.2218017578125,True,434.26539933334175,0.46954330804691624,False,False
BBOB_F55,BBOB_F55,off,0,61.233373886461095,30.90193689037475,45.41205596923828,78.43029022216797,True,14.510119078863532,0.31952129823614583,False,False
BBOB_F55,BBOB_F55,off,1,62.77565787031551,28.975141296913538,57.984622955322266,78.03018188476562,True,29.009481658408728,0.5002961161058308,False,False
DTLZ1,DTLZ1,off,0,0.0,5.136845705307281e-281,0.07567314803600311,24.4056396484375,True,0.07567314803600311,1.0,False,False
DTLZ1,DTLZ1,off,1,-10.445768809238572,-32.97867926647444,0.3403964042663574,24.01685905456543,True,33.319075670740794,97.88315990749682,True,False
DTLZ1,DTLZ1,off,2,0.0,1.3048679879767138e-280,0.49790263175964355,267.88232421875,True,0.49790263175964355,1.0,False,False
DTLZ2,DTLZ2,off,0,0.0,0.0,0.00028587772976607084,0.9419935345649719,True,0.00028587772976607084,1.0,False,False
DTLZ2,DTLZ2,off,1,1.4075447048182128e-26,1.843345005310585e-53,0.00031014170963317156,0.8991556167602539,True,0.00031014170963317156,1.0,False,False
DTLZ2,DTLZ2,off,2,0.0,0.0,0.0013352293753996491,2.5545245786746777e-16,True,0.0013352293753996491,1.0,False,False
DTLZ3,DTLZ3,off,0,0.0,0.0,0.013192221522331238,480.3734436035156,True,0.013192221522331238,1.0,False,False
DTLZ3,DTLZ3,off,1,1.2411622203850624e-24,7.071202836553721e-11,0.3531966507434845,680.4913330078125,True,0.35319665067277245,0.9999999997997941,False,False
DTLZ3,DTLZ3,off,2,39.150965532044665,-339.3604829722834,2.4187467098236084,7.516733427777008e-16,True,341.77922968210703,141.30426650049353,True,False
DTLZ4,DTLZ4,off,0,0.0,0.0,0.4650670886039734,1.5435622930526733,True,0.4650670886039734,1.0,False,False
DTLZ4,DTLZ4,off,1,-0.07940714789534085,-0.24782899819483006,0.0,0.0,True,0.24782899819483006,247828998194.83008,True,False
DTLZ4,DTLZ4,off,2,0.0,0.0,0.0,0.0,False,0.0,0.0,False,False
DTLZ7,DTLZ7,off,0,0.00012687593698501587,8.754897862672806e-05,0.0011359096970409155,0.0,True,0.0010483607184141874,0.9229261103635296,False,False
DTLZ7,DTLZ7,off,1,0.0029216515831649303,4.8317015171051025e-05,0.0010369119700044394,0.0,True,0.0009885949548333883,0.9534029728957183,False,False
DTLZ7,DTLZ7,off,2,13.023235725424684,4.513494095757892,12.523015022277832,4.513848304748535,True,8.00952092651994,0.6395840707905719,False,False
MMF1,MMF1,off,0,0.016211188190411008,-0.008424920924375202,0.010540240444242954,0.04882822930812836,True,0.018965161368618158,1.7993101266467664,True,False
MMF1,MMF1,off,1,8.55860785602321e-36,2.179109333671949e-06,0.020413659512996674,4.353461742401123,True,0.020411480403663,0.9998932523915036,False,False
MMF11_L,MMF11_L,off,0,0.10398646500236808,0.09885671411390295,0.10708782821893692,0.10000000149011612,True,0.008231114105033965,0.07686320884391988,False,False
MMF11_L,MMF11_L,off,1,0.12224993394169946,0.020719913761050257,1.2568538188934326,15.833712577819824,True,1.2361339051323823,0.9835144601149458,False,False
MMF16_20,MMF16_20,off,0,-0.20319065635014866,-0.92957302244694,0.001186947338283062,1.1843233456677278e-23,True,0.930759969785223,784.1628181512939,True,False
MMF16_20,MMF16_20,off,1,-0.2723024183318259,-0.7922157728189037,0.000509826117195189,0.0,True,0.7927255989360988,1554.8940554424375,True,False
MMF16_20,MMF16_20,off,2,-0.24042475233311222,-0.8972271600969617,0.006500831805169582,0.0,True,0.9037279919021313,139.01728563158179,True,False
MMF4,MMF4,off,0,0.02962254328960059,0.009152161875831085,0.013254711404442787,0.00021016500249970704,True,0.004102549528611702,0.309516322417747,False,False
MMF4,MMF4,off,1,0.16650093481063122,-0.0469314729947138,0.035930655896663666,0.001282834098674357,True,0.08286212889137747,2.30616800121012,True,False
WFG1,WFG1,off,0,2.80131135318868,2.424317906374476,2.6824207305908203,1.8655359745025635,True,0.2581028242163441,0.09622011240551936,False,False
WFG1,WFG1,off,1,0.9099220598370508,0.7634485278872621,0.9670406579971313,1.0310031175613403,True,0.2035921301098692,0.2105310965223896,False,False
