label,alg,problema,n_final,n_nd,fantasia,igd7,hv7
swap_small-mvns_DTLZ2,moead_media,DTLZ2,105,102,0.9714285714285714,0.6855614410586673,0.00860947182430531
swap_small-mvns_DTLZ2,b5m,DTLZ2,105,38,0.3619047619047619,0.25672441727149076,0.1427774342195891
swap_small-mvns_DTLZ2,b5r,DTLZ2,78,59,0.7564102564102564,0.18412558966187423,0.3546570315481469
swap_small-mvns_DTLZ2,e103,DTLZ2,100,52,0.52,0.4650504000568012,0.0024225387799942347
swap_small-mvns_MMF16_20,moead_media,MMF16_20,105,52,0.49523809523809526,0.08182246325694491,0.5578378559002981
swap_small-mvns_MMF16_20,b5m,MMF16_20,105,52,0.49523809523809526,0.13808707553010616,0.41932907700741673
swap_small-mvns_MMF16_20,b5r,MMF16_20,86,44,0.5116279069767442,0.2298629132323189,0.3586397141246891
swap_small-mvns_MMF16_20,e103,MMF16_20,100,51,0.51,0.2297896344181093,0.18231487598733917
swap_small-mvns_WFG9,moead_media,WFG9,50,11,0.22,0.3237291682122958,0.027003156774502098
swap_small-mvns_WFG9,b5m,WFG9,50,19,0.38,0.21585779231176816,0.18072997498369991
swap_small-mvns_WFG9,b5r,WFG9,46,17,0.3695652173913043,0.33174433506087336,0.0349518116320545
swap_small-mvns_WFG9,e103,WFG9,100,13,0.13,0.1875123882893775,0.1330165568059591
swap_small-mvns_ZDT1,moead_media,ZDT1,50,20,0.4,0.19577202927587883,0.5567530589229998
swap_small-mvns_ZDT1,b5m,ZDT1,50,46,0.92,1.5715033269870011,0.0
swap_small-mvns_ZDT1,b5r,ZDT1,47,7,0.14893617021276595,0.2866788829404834,0.40933541047407784
swap_small-mvns_ZDT1,e103,ZDT1,100,96,0.96,0.003236177617453243,0.8694323654922773
swap_small-mvns_ZDT4,moead_media,ZDT4,50,1,0.02,204.2132483475365,0.0
swap_small-mvns_ZDT4,b5m,ZDT4,50,1,0.02,230.33197698523173,0.0
swap_small-mvns_ZDT4,b5r,ZDT4,8,4,0.5,149.83316582803292,0.0
swap_small-mvns_ZDT4,e103,ZDT4,100,1,0.01,133.7068243973414,0.0
