label,vs,obj,identico_bit,dmax,dmax_rel,piso_colapso,outro_colapso
BBOB_F1,b5m,0,False,1.52587890625e-05,5.565335705502024e-08,False,False
BBOB_F1,b5m,1,False,1.52587890625e-05,5.851074473763139e-08,False,False
BBOB_F1,b5r,0,False,1.52587890625e-05,5.565335705502024e-08,False,False
BBOB_F1,b5r,1,False,1.52587890625e-05,5.851074473763139e-08,False,False
BBOB_F17,b5m,0,False,8.0,9.87995557576775e-08,False,False
BBOB_F17,b5m,1,False,2292.9042926776688,0.9999999981694259,False,False
BBOB_F17,b5r,0,False,8.0,9.87995557576775e-08,False,False
BBOB_F17,b5r,1,False,2292.9042926776688,0.9999999981694259,False,False
BBOB_F22,b5m,0,False,0.125,5.197018989907389e-08,False,False
BBOB_F22,b5m,1,False,0.000244140625,7.091485912373203e-08,False,False
BBOB_F22,b5r,0,False,0.125,5.197018989907389e-08,False,False
BBOB_F22,b5r,1,False,0.000244140625,7.091485912373203e-08,False,False
BBOB_F37,b5m,0,True,0.0,0.0,False,False
BBOB_F37,b5m,1,False,0.000244140625,3.990456424415368e-08,False,False
BBOB_F37,b5r,0,True,0.0,0.0,False,False
BBOB_F37,b5r,1,False,0.00048828125,7.980912848830736e-08,False,False
BBOB_F49,b5m,0,False,0.00048828125,4.3439259968767175e-08,False,False
BBOB_F49,b5m,1,False,7.62939453125e-06,7.360005699588414e-08,False,False
BBOB_F49,b5r,0,False,0.000244140625,2.1719629984383588e-08,False,False
BBOB_F49,b5r,1,False,7.62939453125e-06,7.360005699588414e-08,False,False
BBOB_F5,b5m,0,False,1.52587890625e-05,6.345479638942208e-08,False,False
BBOB_F5,b5m,1,True,0.0,0.0,False,False
BBOB_F5,b5r,0,False,1.52587890625e-05,6.345479638942208e-08,False,False
BBOB_F5,b5r,1,False,0.000244140625,7.6011101573407e-08,False,False
BBOB_F55,b5m,0,False,7.62939453125e-06,7.25588675534376e-08,False,False
BBOB_F55,b5m,1,False,7.62939453125e-06,7.146830269999386e-08,False,False
BBOB_F55,b5r,0,False,7.62939453125e-06,7.25588675534376e-08,False,False
BBOB_F55,b5r,1,False,7.62939453125e-06,7.146830269999386e-08,False,False
DTLZ1,b5m,0,True,0.0,0.0,False,False
DTLZ1,b5m,1,False,311.171142578125,313393037000.3366,False,True
DTLZ1,b5m,2,True,0.0,0.0,False,False
DTLZ1,b5r,0,False,281.15625,1.0,True,False
DTLZ1,b5r,1,False,3.814697265625e-06,1.2259161418437936e-08,False,False
DTLZ1,b5r,2,False,13.87158201954596,0.9999999991562577,True,False
DTLZ2,b5m,0,False,2.422010660171509,1.0,True,False
DTLZ2,b5m,1,False,2.3915584087371826,1.0,False,False
DTLZ2,b5m,2,False,2.680209159851074,1.0,True,False
DTLZ2,b5r,0,False,2.422010660171509,1.0,True,False
DTLZ2,b5r,1,False,2.266740560531616,1.0,False,False
DTLZ2,b5r,2,False,2.344080924987793,1.0,True,False
DTLZ3,b5m,0,True,0.0,0.0,True,True
DTLZ3,b5m,1,False,2.084369659423828,2.084369659423828e+30,False,True
DTLZ3,b5m,2,False,1623.7130126953125,1.6237130126953125e+33,False,True
DTLZ3,b5r,0,False,0.7905457615852356,1.0,True,False
DTLZ3,b5r,1,False,2.084369659423828,2.084369659423828e+30,False,True
DTLZ3,b5r,2,False,1623.7130126953125,1.6237130126953125e+33,False,True
DTLZ4,b5m,0,False,2.8339076042175293,1.0,True,False
DTLZ4,b5m,1,False,0.9370982050895691,9.37098205089569e+29,False,True
DTLZ4,b5m,2,False,0.7674064636230469,1.0,True,False
DTLZ4,b5r,0,False,2.8813819885253906,1.0,True,False
DTLZ4,b5r,1,False,5.364418029785156e-07,5.724498219108604e-07,False,False
DTLZ4,b5r,2,True,0.0,0.0,True,True
DTLZ7,b5m,0,False,1.1920928955078125e-06,1.1921088829337753e-06,False,False
DTLZ7,b5m,1,False,1.1920928955078125e-06,1.1920919007488125e-06,False,False
DTLZ7,b5m,2,False,1.9073486328125e-06,7.313575319550218e-08,False,False
DTLZ7,b5r,0,False,1.2814998626708984e-06,1.28151697276842e-06,False,False
DTLZ7,b5r,1,False,9.834766387939453e-07,9.834757008784286e-07,False,False
DTLZ7,b5r,2,False,1.9073486328125e-06,7.313575319550218e-08,False,False
MMF1,b5m,0,False,1.1920928955078125e-07,1.1093433109149842e-07,False,False
MMF1,b5m,1,False,8.047661350108683,0.9989861132852709,False,False
MMF1,b5r,0,False,1.1920928955078125e-07,1.1093434339792559e-07,False,False
MMF1,b5r,1,False,7.986306712962687,0.9989783320793665,False,False
MMF11_L,b5m,0,False,0.09676253795623779,0.08797211000710754,False,False
MMF11_L,b5m,1,False,15.376909852027893,0.7933651685133415,False,False
MMF11_L,b5r,0,False,0.09698319435119629,0.0881720709794958,False,False
MMF11_L,b5r,1,False,13.3262038230896,0.6939422458450484,False,False
MMF16_20,b5m,0,False,2.384185791015625e-07,6.872457362587277e-08,False,False
MMF16_20,b5m,1,False,2.384185791015625e-07,6.857322166321332e-08,False,False
MMF16_20,b5m,2,False,2.384185791015625e-07,6.850976664956892e-08,False,False
MMF16_20,b5r,0,False,2.384185791015625e-07,6.872457362587277e-08,False,False
MMF16_20,b5r,1,False,2.384185791015625e-07,6.857322166321332e-08,False,False
MMF16_20,b5r,2,False,2.384185791015625e-07,6.850976664956892e-08,False,False
MMF4,b5m,0,False,0.6900050789117813,0.6622318048440938,False,False
MMF4,b5m,1,False,0.19662809371948242,0.07076655834393908,False,False
MMF4,b5r,0,False,0.6900050193071365,0.6622317476385852,False,False
MMF4,b5r,1,False,0.19662892818450928,0.07076686474064882,False,False
WFG1,b5m,0,False,2.384185791015625e-07,7.684881141401583e-08,False,False
WFG1,b5m,1,False,1.1920928955078125e-07,9.252656460801538e-08,False,False
WFG1,b5r,0,False,2.384185791015625e-07,7.684881141401583e-08,False,False
WFG1,b5r,1,False,1.1920928955078125e-07,9.252657316918132e-08,False,False
WFG2,b5m,0,False,5.364418029785156e-07,2.096108337312834e-07,False,False
WFG2,b5m,1,False,4.76837158203125e-07,8.242979969146526e-08,False,False
WFG2,b5r,0,False,2.384185791015625e-07,9.316038790494958e-08,False,False
WFG2,b5r,1,False,4.76837158203125e-07,8.242979969146526e-08,False,False
WFG4,b5m,0,False,2.384185791015625e-07,9.255423400449962e-08,False,False
WFG4,b5m,1,True,0.0,0.0,False,False
WFG4,b5r,0,False,4.76837158203125e-07,1.8510848514157328e-07,False,False
WFG4,b5r,1,True,0.0,0.0,False,False
WFG5,b5m,0,False,2.384185791015625e-07,7.88924634187481e-08,False,False
WFG5,b5m,1,True,0.0,0.0,False,False
WFG5,b5r,0,False,2.384185791015625e-07,7.88924634187481e-08,False,False
WFG5,b5r,1,True,0.0,0.0,False,False
WFG9,b5m,0,False,2.384185791015625e-07,7.015399854991684e-08,False,False
WFG9,b5m,1,True,0.0,0.0,False,False
WFG9,b5r,0,False,2.384185791015625e-07,7.015399854991684e-08,False,False
WFG9,b5r,1,True,0.0,0.0,False,False
ZDT1,b5m,0,False,4.76837158203125e-07,4.768548371618221e-07,False,False
ZDT1,b5m,1,False,4.76837158203125e-07,7.465637722613185e-08,False,False
ZDT1,b5r,0,False,3.8743019104003906e-07,3.874446013826885e-07,False,False
ZDT1,b5r,1,False,4.76837158203125e-07,7.465637722613185e-08,False,False
ZDT3,b5m,0,False,4.76837158203125e-07,4.768614884277638e-07,False,False
ZDT3,b5m,1,False,9.5367431640625e-07,1.4382907812608546e-07,False,False
ZDT3,b5r,0,False,5.364418029785156e-07,5.364692384366142e-07,False,False
ZDT3,b5r,1,False,9.5367431640625e-07,1.4382906778268435e-07,False,False
ZDT4,b5m,0,False,1.1920928955078125e-07,1.1917540629577453e-07,False,False
ZDT4,b5m,1,False,1.52587890625e-05,6.217317504789045e-08,False,False
ZDT4,b5r,0,False,1.1920928955078125e-07,1.1917540629577453e-07,False,False
ZDT4,b5r,1,False,1.52587890625e-05,6.217317504789045e-08,False,False
ZDT6,b5m,0,False,1.3876005411148071,1.0,True,False
ZDT6,b5m,1,False,0.010839462280273438,0.0011313944541166095,False,False
ZDT6,b5r,0,False,1.3876005411148071,1.0,True,False
ZDT6,b5r,1,False,0.23084735870361328,0.02433515908267908,False,False
