fonte,prob,n_gen,di10_f_best_presente,di10_n_front1_presente,n_front1_nan,n_front1_zero,n_front1_min,n_front1_max,n_front1_unicos,nadir_f1_vazio,nadir_f1_len_ok,fbest_len_ok,fbest_todos_zero,tger_nan,tger_zero,q_params,q_sigma_dict,q_timing,q_doe_hash,q_campanha_id,q_repo_hash,repo_hash_val,campanha_val,frac_F1_eq_pop
s42,BBOB_F1,11,11,11,0,0,7,18,6,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,BBOB_F17,11,11,11,0,0,4,13,6,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,BBOB_F22,11,11,11,0,0,5,9,5,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,BBOB_F37,11,11,11,0,0,5,10,6,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,BBOB_F49,11,11,11,0,0,5,17,9,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,BBOB_F5,11,11,11,0,0,5,16,6,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,BBOB_F55,11,11,11,0,0,3,13,7,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,DTLZ1,11,11,11,0,0,14,15,2,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.8181818181818182
s42,DTLZ2,18,18,18,0,0,15,15,1,0,18,18,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,1.0
s42,DTLZ3,18,18,18,0,0,9,15,6,0,18,18,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.4444444444444444
s42,DTLZ4,18,18,18,0,0,13,15,3,0,18,18,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.8888888888888888
s42,DTLZ7,33,33,33,0,0,5,15,8,0,33,33,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.5151515151515151
s42,MMF1,3,3,3,0,0,7,13,3,0,3,3,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,MMF11_L,3,3,3,0,0,9,12,3,0,3,3,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,MMF16_20,30,30,30,0,0,14,15,2,0,30,30,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.9666666666666667
s42,MMF4,3,3,3,0,0,9,19,3,0,3,3,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,WFG1,23,23,23,0,0,18,20,2,0,23,23,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.9565217391304348
s42,WFG2,23,23,23,0,0,8,20,10,0,23,23,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.13043478260869565
s42,WFG4,23,23,23,0,0,20,20,1,0,23,23,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,1.0
s42,WFG5,23,23,23,0,0,20,20,1,0,23,23,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,1.0
s42,WFG9,23,23,23,0,0,15,20,5,0,23,23,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.6086956521739131
s42,ZDT1,31,31,31,0,0,6,18,10,0,31,31,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,ZDT3,31,31,31,0,0,10,19,10,0,31,31,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,ZDT4,11,11,11,0,0,3,8,6,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
s42,ZDT6,11,11,11,0,0,2,10,6,0,11,11,0,0,0,PRESENTE,<AUSENTE>,PRESENTE,PRESENTE,<AUSENTE>,<VAZIO>,,<AUSENTE>,0.0
smokeT11,DTLZ2,18,18,18,0,0,15,15,1,0,18,18,0,0,0,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,PRESENTE,195f64ed0a69dc3f6c64c66912076e243be90c49,t11-smoke-195f64e,1.0
