alg,prob,D,Nef,n_off,ngen,ev,ch_tot,dup_off,ch_init,A24_ceil_dupoff,T11_floor_chtot,ok_A24,ok_T11
nsga2,BBOB_F1,10,20,20,11,nsga2_gen,38,16,21,11,11,1,1
nsga2,BBOB_F17,10,20,20,11,nsga2_gen,30,7,21,11,11,1,1
nsga2,BBOB_F22,10,20,20,11,nsga2_gen,24,3,21,11,11,1,1
nsga2,BBOB_F37,10,20,20,11,nsga2_gen,24,3,21,11,11,1,1
nsga2,BBOB_F49,10,20,20,11,nsga2_gen,24,3,21,11,11,1,1
nsga2,BBOB_F5,10,20,20,11,nsga2_gen,27,6,21,11,11,1,1
nsga2,BBOB_F55,10,20,20,11,nsga2_gen,27,6,21,11,11,1,1
nsga2,DTLZ1,7,20,20,8,nsga2_gen,23,2,21,8,8,1,1
nsga2,DTLZ2,12,20,20,13,nsga2_gen,25,4,21,13,13,1,1
nsga2,DTLZ3,12,20,20,13,nsga2_gen,24,3,21,13,13,1,1
nsga2,DTLZ4,12,20,20,13,nsga2_gen,22,1,21,13,13,1,1
nsga2,DTLZ7,22,20,20,23,nsga2_gen,36,15,21,23,23,1,1
nsga2,MMF1,2,20,20,3,nsga2_gen,22,1,21,3,3,1,1
nsga2,MMF11_L,2,20,20,3,nsga2_gen,22,1,21,3,3,1,1
nsga2,MMF16_20,20,20,20,21,nsga2_gen,31,10,21,21,21,1,1
nsga2,MMF4,2,20,20,3,nsga2_gen,21,0,21,2,3,0,1
nsga2,WFG1,22,20,20,23,nsga2_gen,33,12,21,23,23,1,1
nsga2,WFG2,22,20,20,23,nsga2_gen,32,11,21,23,23,1,1
nsga2,WFG4,22,20,20,23,nsga2_gen,32,11,21,23,23,1,1
nsga2,WFG5,22,20,20,23,nsga2_gen,31,10,21,23,23,1,1
nsga2,WFG9,22,20,20,23,nsga2_gen,31,10,21,23,23,1,1
nsga2,ZDT1,30,20,20,31,nsga2_gen,40,17,21,31,32,1,0
nsga2,ZDT3,30,20,20,31,nsga2_gen,32,11,21,31,31,1,1
nsga2,ZDT4,10,20,20,11,nsga2_gen,27,6,21,11,11,1,1
nsga2,ZDT6,10,20,20,11,nsga2_gen,30,8,21,11,11,1,1
nsga3,BBOB_F1,10,20,20,11,nsga3_gen,23,2,21,11,11,1,1
nsga3,BBOB_F17,10,20,20,11,nsga3_gen,22,1,21,11,11,1,1
nsga3,BBOB_F22,10,20,20,11,nsga3_gen,32,11,21,11,11,1,1
nsga3,BBOB_F37,10,20,20,11,nsga3_gen,25,4,21,11,11,1,1
nsga3,BBOB_F49,10,20,20,11,nsga3_gen,22,1,21,11,11,1,1
nsga3,BBOB_F5,10,20,20,11,nsga3_gen,23,2,21,11,11,1,1
nsga3,BBOB_F55,10,20,20,11,nsga3_gen,31,10,21,11,11,1,1
nsga3,DTLZ1,7,15,14,11,nsga3_gen,21,4,16,11,11,1,1
nsga3,DTLZ2,12,15,14,18,nsga3_gen,24,8,16,18,18,1,1
nsga3,DTLZ3,12,15,14,18,nsga3_gen,23,7,16,18,18,1,1
nsga3,DTLZ4,12,15,14,18,nsga3_gen,20,4,16,18,18,1,1
nsga3,DTLZ7,22,15,14,33,nsga3_gen,32,16,16,33,33,1,1
nsga3,MMF1,2,20,20,3,nsga3_gen,23,2,21,3,3,1,1
nsga3,MMF11_L,2,20,20,3,nsga3_gen,22,1,21,3,3,1,1
nsga3,MMF16_20,20,15,14,30,nsga3_gen,25,9,16,30,30,1,1
nsga3,MMF4,2,20,20,3,nsga3_gen,22,1,21,3,3,1,1
nsga3,WFG1,22,20,20,23,nsga3_gen,31,10,21,23,23,1,1
nsga3,WFG2,22,20,20,23,nsga3_gen,34,13,21,23,23,1,1
nsga3,WFG4,22,20,20,23,nsga3_gen,36,15,21,23,23,1,1
nsga3,WFG5,22,20,20,23,nsga3_gen,37,16,21,23,23,1,1
nsga3,WFG9,22,20,20,23,nsga3_gen,28,7,21,23,23,1,1
nsga3,ZDT1,30,20,20,31,nsga3_gen,38,17,21,31,31,1,1
nsga3,ZDT3,30,20,20,31,nsga3_gen,32,11,21,31,31,1,1
nsga3,ZDT4,10,20,20,11,nsga3_gen,26,5,21,11,11,1,1
nsga3,ZDT6,10,20,20,11,nsga3_gen,23,2,21,11,11,1,1
moead,BBOB_F1,10,20,20,12,moead_gen,55,32,21,12,12,1,1
moead,BBOB_F17,10,20,20,14,moead_gen,95,72,21,14,14,1,1
moead,BBOB_F22,10,20,20,14,moead_gen,84,63,21,14,14,1,1
moead,BBOB_F37,10,20,20,13,moead_gen,62,41,21,13,13,1,1
moead,BBOB_F49,10,20,20,14,moead_gen,90,68,21,14,14,1,1
moead,BBOB_F5,10,20,20,14,moead_gen,90,68,21,14,14,1,1
moead,BBOB_F55,10,20,20,13,moead_gen,72,48,21,13,13,1,1
moead,DTLZ1,7,15,14,11,moead_gen,28,12,16,11,12,1,0
moead,DTLZ2,12,15,14,17,moead_gen,28,12,16,18,19,0,0
moead,DTLZ3,12,15,14,18,moead_gen,42,25,16,19,20,0,0
moead,DTLZ4,12,15,14,18,moead_gen,37,20,16,19,19,0,0
moead,DTLZ7,22,15,14,33,moead_gen,69,51,16,36,36,0,0
moead,MMF1,2,20,20,3,moead_gen,34,11,21,3,3,1,1
moead,MMF11_L,2,20,20,3,moead_gen,32,10,21,3,3,1,1
moead,MMF16_20,20,15,14,29,moead_gen,41,25,16,31,31,0,0
moead,MMF4,2,20,20,3,moead_gen,31,9,21,3,3,1,1
moead,WFG1,22,20,20,31,moead_gen,183,162,21,31,31,1,1
moead,WFG2,22,20,20,27,moead_gen,109,87,21,27,27,1,1
moead,WFG4,22,20,20,27,moead_gen,115,92,21,27,27,1,1
moead,WFG5,22,20,20,26,moead_gen,99,77,21,26,26,1,1
moead,WFG9,22,20,20,25,moead_gen,64,43,21,25,25,1,1
moead,ZDT1,30,20,20,38,moead_gen,179,154,21,38,38,1,1
moead,ZDT3,30,20,20,38,moead_gen,179,155,21,38,38,1,1
moead,ZDT4,10,20,20,14,moead_gen,90,68,21,14,14,1,1
moead,ZDT6,10,20,20,14,moead_gen,87,65,21,14,14,1,1
smsemoa,BBOB_F1,10,20,20,11,smsemoa_gen,21,0,21,10,11,0,1
smsemoa,BBOB_F17,10,20,20,11,smsemoa_gen,21,0,21,10,11,0,1
smsemoa,BBOB_F22,10,20,20,11,smsemoa_gen,21,0,21,10,11,0,1
smsemoa,BBOB_F37,10,20,20,11,smsemoa_gen,21,0,21,10,11,0,1
smsemoa,BBOB_F49,10,20,20,11,smsemoa_gen,21,0,21,10,11,0,1
smsemoa,BBOB_F5,10,20,20,11,smsemoa_gen,21,0,21,10,11,0,1
smsemoa,BBOB_F55,10,20,20,11,smsemoa_gen,21,0,21,10,11,0,1
smsemoa,DTLZ1,7,20,20,8,smsemoa_gen,21,0,21,7,8,0,1
smsemoa,DTLZ2,12,20,20,13,smsemoa_gen,21,0,21,12,13,0,1
