prob,D,M,Nef,n_off,n_ger,off,dup,taxa,prev,taxa_prev
BBOB_F1,10,2,20,20,11,200,2,1.0,3.486784401000001,1.7433922005000004
BBOB_F17,10,2,20,20,11,200,1,0.5,3.486784401000001,1.7433922005000004
BBOB_F22,10,2,20,20,11,200,11,5.5,3.486784401000001,1.7433922005000004
BBOB_F37,10,2,20,20,11,200,4,2.0,3.486784401000001,1.7433922005000004
BBOB_F49,10,2,20,20,11,200,1,0.5,3.486784401000001,1.7433922005000004
BBOB_F5,10,2,20,20,11,200,2,1.0,3.486784401000001,1.7433922005000004
BBOB_F55,10,2,20,20,11,200,10,5.0,3.486784401000001,1.7433922005000004
DTLZ1,7,3,15,14,11,140,4,2.857142857142857,3.1725556528317305,2.266111180594093
DTLZ2,12,3,15,14,18,238,8,3.361344537815126,5.584997297824306,2.346637520094246
DTLZ3,12,3,15,14,18,238,7,2.9411764705882355,5.584997297824306,2.346637520094246
DTLZ4,12,3,15,14,18,238,4,1.680672268907563,5.584997297824306,2.346637520094246
DTLZ7,22,3,15,14,33,448,16,3.5714285714285716,10.732780832722113,2.3957100073040434
MMF1,2,2,20,20,3,40,2,5.0,0.5,1.25
MMF11_L,2,2,20,20,3,40,1,2.5,0.5,1.25
MMF16_20,20,3,15,14,30,406,9,2.2167487684729066,9.703018966524533,2.389906149390279
MMF4,2,2,20,20,3,40,1,2.5,0.5,1.25
WFG1,22,2,20,20,23,440,10,2.272727272727273,7.905843024103342,1.7967825054780322
WFG2,22,2,20,20,23,440,13,2.9545454545454546,7.905843024103342,1.7967825054780322
WFG4,22,2,20,20,23,440,15,3.409090909090909,7.905843024103342,1.7967825054780322
WFG5,22,2,20,20,23,440,16,3.6363636363636362,7.905843024103342,1.7967825054780322
WFG9,22,2,20,20,23,440,7,1.5909090909090908,7.905843024103342,1.7967825054780322
ZDT1,30,2,20,20,31,600,17,2.8333333333333335,10.849845403848317,1.8083075673080529
ZDT3,30,2,20,20,31,600,11,1.8333333333333333,10.849845403848317,1.8083075673080529
ZDT4,10,2,20,20,11,200,5,2.5,3.486784401000001,1.7433922005000004
ZDT6,10,2,20,20,11,200,2,1.0,3.486784401000001,1.7433922005000004
