problema,D,M,n_gens,argmax_muda_sem_sigma,frac_muda,n2_monotona,frac_n2,greedy_totalmente_zero,frac_exploracao_med,frac_exploracao_min
BBOB_F1,10,2,200,1,0.005,200,1.0,189,1.0,0.0
BBOB_F17,10,2,200,169,0.845,200,1.0,22,0.3183296202945567,0.00025184839762493194
BBOB_F22,10,2,200,165,0.825,200,1.0,9,0.0774749726522011,9.992007221626409e-16
BBOB_F37,10,2,200,136,0.68,200,1.0,68,0.4781333946904528,0.00028519987185904316
BBOB_F49,10,2,200,144,0.72,200,1.0,54,0.7642316186378637,0.0008667167012331722
BBOB_F5,10,2,200,65,0.325,200,1.0,74,0.004227760153434124,0.0
BBOB_F55,10,2,200,161,0.805,200,1.0,11,0.016488027301040764,1.4471757125988916e-12
DTLZ1,7,3,140,75,0.5357142857142857,140,1.0,7,0.30037482094925455,0.006117164623136162
DTLZ2,12,3,240,213,0.8875,240,1.0,0,0.022347529117916598,0.0
DTLZ3,12,3,240,221,0.9208333333333333,240,1.0,4,0.19740636167293246,0.0028385583281540505
DTLZ4,12,3,240,171,0.7125,240,1.0,69,0.21865401039078103,1.835098928049117e-05
DTLZ7,22,3,440,408,0.9272727272727272,440,1.0,8,0.13012123845028267,0.0
MMF1,2,2,40,2,0.05,40,1.0,9,0.13443960193369275,3.612244026118816e-08
MMF11_L,2,2,40,1,0.025,40,1.0,3,0.016080199455529076,0.0
MMF16_20,20,3,400,338,0.845,400,1.0,0,0.011434481688605003,0.0
MMF4,2,2,40,3,0.075,40,1.0,5,0.016258203989971576,1.5332179970073412e-13
WFG1,22,2,440,370,0.8409090909090909,440,1.0,0,0.006110277248528917,0.0
WFG2,22,2,440,373,0.8477272727272728,440,1.0,25,0.025751054375126203,1.226663215447843e-11
WFG4,22,2,440,428,0.9727272727272728,440,1.0,0,0.03234005165278914,2.4666460853861594e-05
WFG5,22,2,440,217,0.49318181818181817,440,1.0,23,0.3631381652567063,9.36282162911084e-11
WFG9,22,2,440,413,0.9386363636363636,440,1.0,0,0.040053324531703516,1.0998748656287916e-07
ZDT1,30,2,600,493,0.8216666666666667,600,1.0,44,0.06624878342592322,0.0
ZDT3,30,2,600,494,0.8233333333333334,600,1.0,80,0.3433328690248501,0.0
ZDT4,10,2,200,150,0.75,200,1.0,43,0.7430428643951446,5.84135685620657e-05
ZDT6,10,2,200,105,0.525,200,1.0,86,0.8848897157609198,0.0
