problema,n_gens,pool,n_rsid,rsid_do_infill,rsid_de_antigo,x_identico_ao_infill,frac_pool_colapsado
BBOB_F1,200,100,200,200,0,287,0.01435
BBOB_F17,200,100,202,202,0,721,0.03605
BBOB_F22,200,100,201,201,0,776,0.0388
BBOB_F37,200,100,202,202,0,1267,0.06335
BBOB_F49,200,100,203,203,0,566,0.0283
BBOB_F5,200,100,201,201,0,246,0.0123
BBOB_F55,200,100,209,209,0,385,0.01925
DTLZ1,140,70,141,141,0,1151,0.11744897959183674
DTLZ2,240,120,242,242,0,292,0.010138888888888888
DTLZ3,240,120,240,240,0,248,0.008611111111111111
DTLZ4,240,120,241,241,0,246,0.008541666666666666
DTLZ7,440,220,440,440,0,440,0.004545454545454545
MMF1,40,20,561,561,0,741,0.92625
MMF11_L,40,20,517,517,0,697,0.87125
MMF16_20,400,200,400,400,0,401,0.0050125
MMF4,40,20,540,540,0,703,0.87875
WFG1,440,220,440,440,0,440,0.004545454545454545
WFG2,440,220,440,440,0,442,0.0045661157024793385
WFG4,440,220,440,440,0,443,0.004576446280991736
WFG5,440,220,440,440,0,440,0.004545454545454545
WFG9,440,220,440,440,0,440,0.004545454545454545
ZDT1,600,300,600,600,0,602,0.0033444444444444446
ZDT3,600,300,600,600,0,600,0.0033333333333333335
ZDT4,200,100,227,227,0,828,0.0414
ZDT6,200,100,209,209,0,1228,0.0614
