problema,D,M,n_blocos,S,u5_dx_max,u5_ok,wape_1,wape_n,dwape,corr_1,corr_n,cob_1,cob_n,mu_max,sig_med_1,sig_med_n,wape_min,wape_min_bloco,cob_max
BBOB_F1,10,2,101,2000,2.384185791015625e-07,True,0.0002561224574345202,0.00014955452253541157,-0.41608196316152235,0.9999994541839219,0.9999998313020662,1.0,0.7885,271.00439453125,0.43835630267858505,0.013226360781118274,0.00012944635583127319,56,1.0
BBOB_F17,10,2,101,2000,2.384185791015625e-07,True,0.21026095627718105,0.18399327089353898,-0.12492897325651908,0.9388243282010723,0.9401293536213728,0.829,0.79,77895544.0,141069.6041841507,77238.45064735413,0.16995267399377495,89,0.9235
BBOB_F22,10,2,101,2000,2.384185791015625e-07,True,0.06787970690318192,0.0621888382065415,-0.08383755552682937,0.9773590627038625,0.9783526828426117,0.87675,0.89375,2423424.75,37023.35165023804,32742.54202079773,0.061378243103684595,46,0.9565
BBOB_F37,10,2,101,2000,2.384185791015625e-07,True,0.22466573170286916,0.18113835204347933,-0.19374285223416632,0.8730160566506536,0.9100436385154527,0.9179999999999999,0.9137500000000001,6902.322265625,280.69603157043457,199.94583320617676,0.18113835204347933,101,0.952
BBOB_F49,10,2,101,2000,2.384185791015625e-07,True,0.16121011301469593,0.15692112159697216,-0.02660497742677459,0.8414535450137738,0.8093001542846313,0.94675,0.90625,5712.89013671875,203.72434306144714,149.34012866020203,0.14880069053266692,26,0.94675
BBOB_F5,10,2,101,2000,2.384185791015625e-07,True,0.012534547107665502,0.05224807338391036,3.1683255832959496,0.9934103733572083,0.8912030292969342,0.983,0.98875,3917.088623046875,39.9775176346302,176.26625869236887,0.012534547107665502,1,0.99575
BBOB_F55,10,2,101,2000,2.384185791015625e-07,True,0.054821750128999314,0.14185234789699958,1.587519507553322,,0.11186347789987786,0.94975,0.99675,98.91026306152344,5.446946144104004,17.624753713607788,0.05464807093994799,4,0.998
DTLZ1,7,3,71,2000,2.9802322387695312e-08,True,0.3849657467066827,0.39614242213003725,0.02903290882102927,0.7549204596403211,0.712111983037134,0.8305,0.901,564.8180541992188,32.39677047729492,40.76854133605957,0.34640019748942036,15,0.913
DTLZ2,12,3,121,2000,2.9802322387695312e-08,True,0.14569718652793093,0.07633698468384845,-0.4760572492646298,0.9622597951674364,0.9902061202851751,0.837,0.955,3.1266531944274902,0.09947335720062256,0.08131014555692673,0.07633698468384845,121,0.979
DTLZ3,12,3,121,2000,2.9802322387695312e-08,True,0.27067852699479333,0.2403012994784819,-0.11222621850936765,0.8579260193390711,0.8688067695398982,0.7925,0.87,1844.0301513671875,110.93665313720703,127.23869705200195,0.23466595680291086,106,0.8815
DTLZ4,12,3,121,2000,2.9802322387695312e-08,True,0.2749156651506925,0.4927489666937048,0.7923640925431041,0.746397469884628,0.14339489555188267,0.965,0.995,3.8305721282958984,0.1802166998386383,0.6408866047859192,0.19519153231460257,3,0.996
DTLZ7,22,3,221,2000,2.9802322387695312e-08,True,0.0002409882591055217,0.00015235155311349568,-0.36780508030150383,0.9999998398979496,0.9999999232101341,0.9865,0.9685,25.95842170715332,0.00020323036733316258,8.630671436549164e-05,0.00014471978693137322,216,0.9905
