problema,n_trans,subidas,escala_mudou,frente_mudou,sub_escala,sub_frente,sub_so_modelo
BBOB_F1,199,5,4,11,1,0,4
BBOB_F17,199,97,8,23,4,7,86
BBOB_F22,199,91,9,18,3,5,83
BBOB_F37,199,98,14,16,6,3,89
BBOB_F49,199,99,7,17,3,7,89
BBOB_F5,199,92,12,84,4,20,68
BBOB_F55,199,101,24,62,13,25,63
DTLZ1,139,67,13,45,8,18,41
DTLZ2,239,115,22,101,11,31,73
DTLZ3,239,128,12,53,6,21,101
DTLZ4,239,120,14,18,7,3,110
DTLZ7,439,203,32,105,18,36,149
MMF1,39,14,4,9,0,3,11
MMF11_L,39,20,6,21,3,12,5
MMF16_20,399,197,16,213,8,102,87
MMF4,39,14,7,12,2,5,7
WFG1,439,217,4,142,3,62,152
WFG2,439,224,9,40,2,14,208
WFG4,439,205,17,48,8,19,178
WFG5,439,215,5,142,1,65,149
WFG9,439,222,9,23,4,10,208
ZDT1,599,283,18,39,6,11,266
ZDT3,599,286,12,23,5,5,276
ZDT4,199,92,9,31,4,11,77
ZDT6,199,87,12,19,2,9,76
